# Time forceX forceY forceZ normalForce
0 0 0 0 0
1.25e-05 0.00481121 0.00481121 3.12838e-06 -0.00755198
2.5e-05 0.00789139 0.00789139 5.90388e-06 -0.012389
3.75e-05 0.00967476 0.00967476 8.60539e-06 -0.0151905
5e-05 0.0109895 0.0109895 1.13189e-05 -0.0172558
6.25e-05 0.0121635 0.0121635 1.40934e-05 -0.0190998
7.5e-05 0.0131094 0.0131094 1.69558e-05 -0.0205855
8.75e-05 0.013663 0.013663 1.99138e-05 -0.0214551
0.0001 0.013776 0.013776 2.29528e-05 -0.0216328
0.0001125 0.0135293 0.0135293 2.60378e-05 -0.0212457
0.000125 0.0130688 0.0130688 2.91208e-05 -0.0205227
0.0001375 0.0125448 0.0125448 3.21504e-05 -0.0196998
0.00015 0.01208 0.01208 3.50817e-05 -0.0189699
0.0001625 0.0117593 0.0117593 3.78842e-05 -0.0184663
0.000175 0.0116293 0.0116293 4.05464e-05 -0.0182623
0.0001875 0.0117015 0.0117015 4.30776e-05 -0.0183757
0.0002 0.0119572 0.0119572 4.55054e-05 -0.0187775
0.0002125 0.0123564 0.0123564 4.78711e-05 -0.0194044
0.000225 0.0128465 0.0128465 5.02241e-05 -0.0201741
0.0002375 0.0133723 0.0133723 5.26146e-05 -0.021
0.00025 0.0138841 0.0138841 5.5087e-05 -0.0218038
0.0002625 0.0143429 0.0143429 5.76749e-05 -0.0225242
0.000275 0.0147237 0.0147237 6.03981e-05 -0.023122
0.0002875 0.0150163 0.0150163 6.32616e-05 -0.0235815
0.0003 0.0152245 0.0152245 6.6256e-05 -0.0239082
0.0003125 0.015363 0.015363 6.93606e-05 -0.0241256
0.000325 0.0154548 0.0154548 7.25463e-05 -0.0242694
0.0003375 0.0155269 0.0155269 7.578e-05 -0.0243825
0.00035 0.0156073 0.0156073 7.90282e-05 -0.0245085
0.0003625 0.0157211 0.0157211 8.22607e-05 -0.024687
0.000375 0.0158885 0.0158885 8.54533e-05 -0.0249498
0.0003875 0.0161228 0.0161228 8.85891e-05 -0.0253176
0.0004 0.0164298 0.0164298 9.16594e-05 -0.0257996
0.0004125 0.0168077 0.0168077 9.46636e-05 -0.0263931
0.000425 0.0172486 0.0172486 9.76078e-05 -0.0270854
0.0004375 0.0177392 0.0177392 0.000100503 -0.0278559
0.00045 0.018263 0.018263 0.000103362 -0.0286785
0.0004625 0.0188023 0.0188023 0.000106201 -0.0295255
0.000475 0.0193396 0.0193396 0.000109034 -0.0303695
0.0004875 0.0198597 0.0198597 0.000111872 -0.0311863
0.0005 0.0203501 0.0203501 0.000114726 -0.0319566
0.0005125 0.0208025 0.0208025 0.000117602 -0.0326672
0.000525 0.0212125 0.0212125 0.000120502 -0.0333113
0.0005375 0.0215798 0.0215798 0.000123428 -0.0338883
0.00055 0.0219074 0.0219074 0.000126377 -0.0344028
0.0005625 0.022201 0.022201 0.000129347 -0.034864
0.000575 0.0224682 0.0224682 0.000132335 -0.0352838
0.0005875 0.0227176 0.0227176 0.000135339 -0.0356755
0.0006 0.0229575 0.0229575 0.000138355 -0.0360524
0.0006125 0.023196 0.023196 0.000141384 -0.0364268
0.000625 0.0234394 0.0234394 0.000144425 -0.0368091
0.0006375 0.0236931 0.0236931 0.000147479 -0.0372073
0.00065 0.0239603 0.0239603 0.000150549 -0.0376268
0.0006625 0.0242429 0.0242429 0.000153638 -0.0380705
0.000675 0.0245415 0.0245415 0.000156746 -0.0385393
0.0006875 0.0248554 0.0248554 0.000159877 -0.0390321
0.0007 0.0251836 0.0251836 0.000163032 -0.0395472
0.0007125 0.0255242 0.0255242 0.000166211 -0.0400819
0.000725 0.0258757 0.0258757 0.000169412 -0.0406337
0.0007375 0.0262366 0.0262366 0.000172634 -0.0412002
0.00075 0.0266055 0.0266055 0.000175873 -0.0417795
0.0007625 0.0269818 0.0269818 0.000179126 -0.0423702
0.000775 0.0273647 0.0273647 0.000182389 -0.0429715
0.0007875 0.0277541 0.0277541 0.000185656 -0.0435828
0.0008 0.0281495 0.0281495 0.000188923 -0.0442038
0.0008125 0.028551 0.028551 0.000192187 -0.0448342
0.000825 0.0289579 0.0289579 0.000195445 -0.0454732
0.0008375 0.0293697 0.0293697 0.000198695 -0.04612
0.00085 0.0297855 0.0297855 0.000201935 -0.046773
0.0008625 0.0302041 0.0302041 0.000205166 -0.0474305
0.000875 0.0306242 0.0306242 0.000208389 -0.0480901
0.0008875 0.0310441 0.0310441 0.000211605 -0.0487496
0.0009 0.0314623 0.0314623 0.000214818 -0.0494066
0.0009125 0.0318775 0.0318775 0.00021803 -0.0500586
0.000925 0.0322885 0.0322885 0.000221243 -0.0507041
0.0009375 0.0326945 0.0326945 0.000224462 -0.0513417
0.00095 0.0330951 0.0330951 0.000227688 -0.0519709
0.0009625 0.0334905 0.0334905 0.000230923 -0.0525918
0.000975 0.0338813 0.0338813 0.000234169 -0.0532055
0.0009875 0.0342686 0.0342686 0.000237426 -0.0538137
0.001 0.0346537 0.0346537 0.000240695 -0.0544184
0.0010125 0.0350384 0.0350384 0.000243975 -0.0550225
0.001025 0.0354245 0.0354245 0.000247265 -0.0556286
0.0010375 0.0358137 0.0358137 0.000250564 -0.0562397
0.00105 0.0362077 0.0362077 0.000253871 -0.0568583
0.0010625 0.0366079 0.0366079 0.000257183 -0.0574867
0.001075 0.0370155 0.0370155 0.0002605 -0.0581266
0.0010875 0.0374312 0.0374312 0.000263818 -0.0587794
0.0011 0.0378554 0.0378554 0.000267137 -0.0594453
0.0011125 0.0382879 0.0382879 0.000270456 -0.0601245
0.001125 0.0387284 0.0387284 0.000273772 -0.0608161
0.0011375 0.0391761 0.0391761 0.000277086 -0.061519
0.00115 0.03963 0.03963 0.000280397 -0.0622318
0.0011625 0.0400889 0.0400889 0.000283703 -0.0629524
0.001175 0.0405516 0.0405516 0.000287005 -0.063679
0.0011875 0.0410169 0.0410169 0.000290303 -0.0644096
0.0012 0.0414834 0.0414834 0.000293596 -0.0651423
0.0012125 0.0419502 0.0419502 0.000296884 -0.0658753
0.001225 0.0424162 0.0424162 0.000300169 -0.0666071
0.0012375 0.0428806 0.0428806 0.000303449 -0.0673365
0.00125 0.0433429 0.0433429 0.000306725 -0.0680625
0.0012625 0.0438027 0.0438027 0.000309999 -0.0687845
0.001275 0.0442596 0.0442596 0.00031327 -0.0695022
0.0012875 0.0447137 0.0447137 0.000316538 -0.0702153
0.0013 0.045165 0.045165 0.000319806 -0.0709241
0.0013125 0.0456137 0.0456137 0.000323073 -0.0716288
0.001325 0.0460601 0.0460601 0.000326339 -0.0723298
0.0013375 0.0465046 0.0465046 0.000329607 -0.0730278
0.00135 0.0469477 0.0469477 0.000332876 -0.0737235
0.0013625 0.0473896 0.0473896 0.000336146 -0.0744176
0.001375 0.0478311 0.0478311 0.000339419 -0.0751108
0.0013875 0.0482726 0.0482726 0.000342694 -0.075804
0.0014 0.0487145 0.0487145 0.000345972 -0.076498
0.0014125 0.0491574 0.0491574 0.000349253 -0.0771934
