# Time Dx Dy Dz magD
2.5e-05 0 1.28005e-11 -2.60529e-13 1.28031e-11
5e-05 0 4.3844e-11 -1.24822e-12 4.38617e-11
7.5e-05 0 9.974e-11 -3.86897e-12 9.9815e-11
0.0001 0 1.85126e-10 -9.45464e-12 1.85367e-10
0.000125 0 3.01782e-10 -1.95123e-11 3.02412e-10
0.00015 0 4.48786e-10 -3.53376e-11 4.50175e-10
0.000175 0 6.23656e-10 -5.76514e-11 6.26315e-10
0.0002 0 8.2393e-10 -8.64222e-11 8.2845e-10
0.000225 0 1.04856e-09 -1.20978e-10 1.05552e-09
0.00025 0 1.29866e-09 -1.60389e-10 1.30853e-09
0.000275 0 1.57748e-09 -2.04003e-10 1.59062e-09
0.0003 0 1.88971e-09 -2.51919e-10 1.90643e-09
0.000325 0 2.24056e-09 -3.05255e-10 2.26126e-09
0.00035 0 2.63485e-09 -3.66102e-10 2.66017e-09
0.000375 0 3.07663e-09 -4.3722e-10 3.10754e-09
0.0004 0 3.56913e-09 -5.2161e-10 3.60704e-09
0.000425 0 4.1152e-09 -6.22136e-10 4.16196e-09
0.00045 0 4.71789e-09 -7.41361e-10 4.77578e-09
0.000475 0 5.38085e-09 -8.8165e-10 5.45261e-09
0.0005 0 6.1087e-09 -1.04549e-09 6.19753e-09
0.000525 0 6.90693e-09 -1.23595e-09 7.01664e-09
0.00055 0 7.78174e-09 -1.45707e-09 7.91698e-09
0.000575 0 8.73977e-09 -1.71418e-09 8.90629e-09
0.0006 0 9.78786e-09 -2.014e-09 9.99292e-09
0.000625 0 1.0933e-08 -2.36465e-09 1.11858e-08
0.00065 0 1.21824e-08 -2.77562e-09 1.24946e-08
0.000675 0 1.35435e-08 -3.25776e-09 1.39298e-08
0.0007 0 1.50244e-08 -3.82345e-09 1.55033e-08
0.000725 0 1.66338e-08 -4.48692e-09 1.72283e-08
0.00075 0 1.83811e-08 -5.2647e-09 1.91202e-08
0.000775 0 2.02765e-08 -6.17623e-09 2.11963e-08
0.0008 0 2.23312e-08 -7.24446e-09 2.34769e-08
0.000825 0 2.4557e-08 -8.49664e-09 2.59854e-08
0.00085 0 2.69665e-08 -9.96507e-09 2.87488e-08
0.000875 0 2.95731e-08 -1.16881e-08 3.1799e-08
0.0009 0 3.23913e-08 -1.37112e-08 3.51738e-08
0.000925 0 3.54368e-08 -1.60888e-08 3.8918e-08
0.00095 0 3.87263e-08 -1.8886e-08 4.3086e-08
0.000975 0 4.22783e-08 -2.21812e-08 4.77437e-08
0.001 0 4.61128e-08 -2.60693e-08 5.29716e-08
0.001025 0 5.02517e-08 -3.06653e-08 5.88693e-08
0.00105 0 5.47191e-08 -3.61094e-08 6.55597e-08
0.001075 0 5.95416e-08 -4.25714e-08 7.31951e-08
