# Time forceX forceY forceZ normalForce
0 0 0 0 0
5e-05 0.0135454 0.0135454 1.17753e-05 -0.0212647
0.0001 0.0139983 0.0139983 2.32052e-05 -0.0219812
0.00015 0.0133778 0.0133778 3.46352e-05 -0.0210079
0.0002 0.0134736 0.0134736 4.57878e-05 -0.0211586
0.00025 0.0143642 0.0143642 5.68528e-05 -0.0225573
0.0003 0.0156077 0.0156077 6.81244e-05 -0.02451
0.00035 0.016878 0.016878 7.97187e-05 -0.0265047
0.0004 0.0181156 0.0181156 9.15785e-05 -0.0284482
0.00045 0.0193792 0.0193792 0.000103599 -0.0304325
0.0005 0.0207106 0.0207106 0.000115713 -0.0325232
0.00055 0.0221043 0.0221043 0.000127907 -0.0347118
0.0006 0.0235346 0.0235346 0.000140192 -0.036958
0.00065 0.0249825 0.0249825 0.000152583 -0.0392317
0.0007 0.0264444 0.0264444 0.000165088 -0.0415274
0.00075 0.0279251 0.0279251 0.000177703 -0.0438526
0.0008 0.0294325 0.0294325 0.000190416 -0.0462196
0.00085 0.0309719 0.0309719 0.000203215 -0.0486369
0.0009 0.0325452 0.0325452 0.000216082 -0.0511075
0.00095 0.0341515 0.0341515 0.000229005 -0.0536298
0.001 0.0357884 0.0357884 0.000241969 -0.0562002
0.00105 0.0374532 0.0374532 0.000254966 -0.0588145
0.0011 0.0391434 0.0391434 0.000267985 -0.0614686
0.00115 0.0408568 0.0408567 0.000281017 -0.0641591
0.0012 0.0425912 0.0425912 0.000294057 -0.0668826
0.00125 0.0443448 0.0443448 0.000307097 -0.0696363
0.0013 0.0461158 0.0461158 0.000320131 -0.0724174
0.00135 0.0479025 0.0479025 0.000333154 -0.075223
0.0014 0.0497032 0.0497031 0.00034616 -0.0780505
0.00145 0.0515162 0.0515162 0.000359145 -0.0808975
0.0015 0.0533401 0.0533401 0.000372104 -0.0837616
0.00155 0.0551736 0.0551736 0.000385034 -0.0866408
0.0016 0.0570156 0.0570156 0.00039793 -0.0895333
0.00165 0.058865 0.058865 0.000410789 -0.0924373
0.0017 0.0607207 0.0607207 0.000423608 -0.0953514
0.00175 0.062582 0.062582 0.000436383 -0.0982742
0.0018 0.064448 0.064448 0.000449113 -0.101204
0.00185 0.0663178 0.0663178 0.000461793 -0.104141
0.0019 0.0681907 0.0681907 0.000474421 -0.107082
0.00195 0.070066 0.070066 0.000486994 -0.110026
0.002 0.0719429 0.0719429 0.000499509 -0.112974
0.00205 0.0738207 0.0738207 0.000511964 -0.115922
0.0021 0.0756989 0.0756989 0.000524354 -0.118872
0.00215 0.0775768 0.0775768 0.000536677 -0.121821
0.0022 0.0794538 0.0794538 0.000548928 -0.124768
0.00225 0.0813294 0.0813294 0.000561102 -0.127713
0.0023 0.0832032 0.0832032 0.000573194 -0.130656
0.00235 0.0850746 0.0850746 0.000585195 -0.133595
0.0024 0.0869433 0.0869433 0.000597098 -0.136529
0.00245 0.0888088 0.0888087 0.000608892 -0.139458
0.0025 0.0906706 0.0906706 0.000620567 -0.142382
0.00255 0.0925286 0.0925286 0.000632109 -0.1453
0.0026 0.0943822 0.0943822 0.000643503 -0.14821
0.00265 0.0962313 0.0962313 0.000654732 -0.151114
0.0027 0.0980754 0.0980754 0.000665779 -0.15401
0.00275 0.0999143 0.0999143 0.000676624 -0.156897
0.0028 0.101748 0.101748 0.000687247 -0.159777
0.00285 0.103576 0.103576 0.000697628 -0.162647
0.0029 0.105398 0.105398 0.000707745 -0.165508
0.00295 0.107214 0.107214 0.000717578 -0.16836
0.003 0.109024 0.109024 0.000727109 -0.171203
0.00305 0.106905 0.106905 0.000730833 -0.167876
0.0031 0.103035 0.103035 0.000728707 -0.161798
0.00315 0.10248 0.10248 0.000726172 -0.160927
0.0032 0.103388 0.103388 0.000723303 -0.162351
0.00325 0.104552 0.104552 0.000720144 -0.16418
0.0033 0.105524 0.105524 0.000716561 -0.165705
0.00335 0.106278 0.106278 0.000712404 -0.166891
0.0034 0.106902 0.106902 0.000707628 -0.167869
0.00345 0.107444 0.107444 0.00070228 -0.168721
0.0035 0.107917 0.107917 0.000696439 -0.169464
0.00355 0.108326 0.108326 0.000690158 -0.170106
0.0036 0.108684 0.108684 0.000683465 -0.170668
0.00365 0.109005 0.109005 0.000676366 -0.171173
0.0037 0.109301 0.109301 0.000668866 -0.171638
0.00375 0.109573 0.109573 0.000660978 -0.172064
0.0038 0.109816 0.109816 0.000652723 -0.172446
0.00385 0.110027 0.110027 0.000644127 -0.172778
0.0039 0.110203 0.110203 0.000635222 -0.173054
0.00395 0.110342 0.110342 0.00062604 -0.173273
0.004 0.110447 0.110447 0.00061661 -0.173437
0.00405 0.110519 0.110519 0.000606961 -0.17355
0.0041 0.11056 0.11056 0.00059712 -0.173615
0.00415 0.110575 0.110575 0.000587109 -0.173638
0.0042 0.110563 0.110563 0.000576952 -0.17362
0.00425 0.110529 0.110529 0.000566669 -0.173566
0.0043 0.110474 0.110474 0.000556279 -0.173479
0.00435 0.110399 0.110399 0.0005458 -0.173361
0.0044 0.110306 0.110306 0.00053525 -0.173216
0.00445 0.110198 0.110199 0.000524643 -0.173047
0.0045 0.110077 0.110077 0.000513993 -0.172856
0.00455 0.109943 0.109943 0.000503315 -0.172646
0.0046 0.109799 0.109799 0.00049262 -0.17242
0.00465 0.109645 0.109645 0.00048192 -0.172179
0.0047 0.109484 0.109484 0.000471226 -0.171925
0.00475 0.109315 0.109315 0.00046055 -0.171659
0.0048 0.109139 0.109139 0.000449901 -0.171384
0.00485 0.108959 0.108959 0.00043929 -0.171101
0.0049 0.108774 0.108774 0.000428726 -0.17081
0.00495 0.108585 0.108585 0.00041822 -0.170514
0.005 0.108393 0.108393 0.000407782 -0.170213
0.00505 0.108199 0.108199 0.000397421 -0.169908
0.0051 0.108003 0.108003 0.000387149 -0.1696
0.00515 0.107806 0.107806 0.000376977 -0.16929
0.0052 0.107608 0.107608 0.000366916 -0.168979
0.00525 0.10741 0.10741 0.000356979 -0.168668
0.0053 0.107211 0.107211 0.000347181 -0.168356
0.00535 0.107013 0.107013 0.000337537 -0.168045
0.0054 0.106815 0.106815 0.000328064 -0.167734
0.00545 0.106619 0.106619 0.00031878 -0.167425
0.0055 0.106423 0.106423 0.000309706 -0.167117
0.00555 0.106228 0.106228 0.000300865 -0.166812
0.0056 0.106034 0.106034 0.00029228 -0.166508
0.00565 0.105842 0.105842 0.000283979 -0.166206
0.0057 0.105652 0.105652 0.00027599 -0.165907
0.00575 0.105463 0.105463 0.000268342 -0.16561
0.0058 0.105276 0.105276 0.000261066 -0.165316
0.00585 0.10509 0.10509 0.000254193 -0.165024
0.0059 0.104906 0.104906 0.000247756 -0.164736
0.00595 0.104724 0.104724 0.000241785 -0.164449
0.006 0.104543 0.104543 0.000236311 -0.164165
0.00605 0.104364 0.104364 0.000231362 -0.163884
0.0061 0.104186 0.104186 0.000226963 -0.163604
0.00615 0.104009 0.104009 0.000223138 -0.163326
0.0062 0.103833 0.103833 0.000219906 -0.16305
0.00625 0.103657 0.103657 0.000217282 -0.162774
0.0063 0.103482 0.103482 0.000215276 -0.1625
0.00635 0.103307 0.103307 0.000213895 -0.162225
0.0064 0.103131 0.103131 0.000213141 -0.161949
0.00645 0.102955 0.102955 0.000213009 -0.161672
0.0065 0.102778 0.102778 0.000213493 -0.161394
0.00655 0.102599 0.102599 0.000214581 -0.161113
0.0066 0.102418 0.102418 0.000216256 -0.160829
0.00665 0.102235 0.102235 0.0002185 -0.160542
0.0067 0.102049 0.102049 0.000221291 -0.16025
0.00675 0.10186 0.10186 0.000224606 -0.159953
0.0068 0.101668 0.101668 0.000228417 -0.159651
0.00685 0.101471 0.101471 0.000232697 -0.159342
0.0069 0.101271 0.101271 0.000237419 -0.159027
0.00695 0.101065 0.101065 0.000242552 -0.158704
0.007 0.100854 0.100854 0.000248069 -0.158373
0.00705 0.100637 0.100637 0.00025394 -0.158033
0.0071 0.100415 0.100415 0.000260137 -0.157683
0.00715 0.100186 0.100186 0.000266632 -0.157323
0.0072 0.0999494 0.0999494 0.000273397 -0.156952
0.00725 0.0997057 0.0997057 0.000280407 -0.15657
0.0073 0.0994541 0.0994541 0.000287637 -0.156175
0.00735 0.0991941 0.0991941 0.000295062 -0.155766
0.0074 0.0989252 0.0989252 0.00030266 -0.155344
0.00745 0.098647 0.098647 0.000310408 -0.154907
0.0075 0.0983589 0.0983589 0.000318285 -0.154455
0.00755 0.0980604 0.0980604 0.000326273 -0.153986
0.0076 0.0977511 0.0977511 0.000334351 -0.153501
0.00765 0.0974305 0.0974305 0.000342502 -0.152997
0.0077 0.0970979 0.0970979 0.000350709 -0.152475
0.00775 0.096753 0.096753 0.000358956 -0.151933
0.0078 0.0963951 0.0963951 0.000367226 -0.151371
0.00785 0.0960238 0.0960238 0.000375506 -0.150788
0.0079 0.0956384 0.0956385 0.000383779 -0.150183
0.00795 0.0952386 0.0952386 0.000392032 -0.149555
0.008 0.0948235 0.0948235 0.000400251 -0.148903
0.00805 0.0943928 0.0943928 0.000408422 -0.148227
0.0081 0.0939458 0.0939458 0.000416531 -0.147525
0.00815 0.0934819 0.0934819 0.000424563 -0.146797
0.0082 0.0930005 0.0930005 0.000432506 -0.146041
0.00825 0.092501 0.092501 0.000440344 -0.145256
0.0083 0.0919828 0.0919828 0.000448063 -0.144443
0.00835 0.0914453 0.0914453 0.000455647 -0.143599
0.0084 0.0908878 0.0908878 0.000463081 -0.142723
0.00845 0.0903097 0.0903097 0.000470349 -0.141815
0.0085 0.0897105 0.0897105 0.000477434 -0.140874
0.00855 0.0890895 0.0890895 0.000484319 -0.139899
0.0086 0.0884461 0.0884461 0.000490986 -0.138889
0.00865 0.0877797 0.0877797 0.000497419 -0.137842
0.0087 0.0870897 0.0870897 0.000503599 -0.136759
0.00875 0.0863755 0.0863755 0.000509508 -0.135637
0.0088 0.0856365 0.0856365 0.000515129 -0.134477
0.00885 0.0848721 0.0848721 0.000520445 -0.133276
0.0089 0.0840817 0.0840817 0.000525438 -0.132035
0.00895 0.0832647 0.0832647 0.000530093 -0.130752
0.009 0.0824206 0.0824206 0.000534394 -0.129427
0.00905 0.0815486 0.0815486 0.000538328 -0.128057
0.0091 0.0806482 0.0806482 0.000541882 -0.126643
0.00915 0.0797188 0.0797188 0.000545046 -0.125184
0.0092 0.0787597 0.0787597 0.00054781 -0.123678
0.00925 0.0777703 0.0777703 0.000550168 -0.122124
0.0093 0.07675 0.07675 0.000552113 -0.120522
0.00935 0.0756982 0.0756982 0.000553645 -0.11887
