# Time Dx Dy Dz magD
5e-05 0 9.59274e-11 -5.63672e-12 9.60929e-11
0.0001 0 3.12186e-10 -2.54564e-11 3.13222e-10
0.00015 0 6.52671e-10 -6.67938e-11 6.5608e-10
0.0002 0 1.11371e-09 -1.33184e-10 1.12165e-09
0.00025 0 1.70251e-09 -2.2709e-10 1.71758e-09
0.0003 0 2.44142e-09 -3.54899e-10 2.46708e-09
0.00035 0 3.36243e-09 -5.30256e-10 3.40398e-09
0.0004 0 4.50133e-09 -7.75043e-10 4.56757e-09
0.00045 0 5.89625e-09 -1.12004e-09 6.00168e-09
0.0005 0 7.58944e-09 -1.60761e-09 7.75783e-09
0.00055 0 9.6296e-09 -2.29747e-09 9.89988e-09
0.0006 0 1.20739e-08 -3.27576e-09 1.25104e-08
0.00065 0 1.49889e-08 -4.66801e-09 1.5699e-08
0.0007 0 1.84526e-08 -6.65774e-09 1.96169e-08
0.00075 0 2.25546e-08 -9.51347e-09 2.44789e-08
0.0008 0 2.7399e-08 -1.36273e-08 3.06008e-08
0.00085 0 3.31081e-08 -1.95681e-08 3.84586e-08
0.0009 0 3.9825e-08 -2.81518e-08 4.87704e-08
0.00095 0 4.77169e-08 -4.05278e-08 6.26052e-08
0.001 0 5.69784e-08 -5.82798e-08 8.1505e-08
0.00105 0 6.78321e-08 -8.35336e-08 1.07606e-07
0.0011 0 8.0529e-08 -1.19061e-07 1.43737e-07
0.00115 0 9.53453e-08 -1.68364e-07 1.93487e-07
0.0012 0 1.12577e-07 -2.35726e-07 2.61229e-07
0.00125 0 1.32532e-07 -3.26211e-07 3.52106e-07
0.0013 0 1.55519e-07 -4.45594e-07 4.71954e-07
0.00135 0 1.81836e-07 -6.00226e-07 6.27165e-07
0.0014 0 2.1176e-07 -7.96829e-07 8.24487e-07
0.00145 0 2.45537e-07 -1.04224e-06 1.07077e-06
0.0015 0 2.83378e-07 -1.34309e-06 1.37266e-06
0.00155 0 3.25457e-07 -1.70553e-06 1.73631e-06
0.0016 0 3.71919e-07 -2.13494e-06 2.1671e-06
0.00165 0 4.22883e-07 -2.63567e-06 2.66938e-06
0.0017 0 4.78463e-07 -3.21089e-06 3.24634e-06
0.00175 0 5.38779e-07 -3.86249e-06 3.89989e-06
0.0018 0 6.03975e-07 -4.59109e-06 4.63065e-06
0.00185 0 6.74233e-07 -5.39613e-06 5.43808e-06
0.0019 0 7.49785e-07 -6.27594e-06 6.32057e-06
0.00195 0 8.30921e-07 -7.22801e-06 7.27562e-06
0.002 0 9.17998e-07 -8.24913e-06 8.30005e-06
0.00205 0 1.01144e-06 -9.33559e-06 9.39022e-06
0.0021 0 1.11172e-06 -1.04834e-05 1.05422e-05
0.00215 0 1.21939e-06 -1.16884e-05 1.17519e-05
0.0022 0 1.33504e-06 -1.29465e-05 1.30152e-05
0.00225 0 1.45933e-06 -1.42536e-05 1.43281e-05
0.0023 0 1.59295e-06 -1.56058e-05 1.56869e-05
0.00235 0 1.73662e-06 -1.69992e-05 1.70877e-05
0.0024 0 1.89114e-06 -1.84304e-05 1.85272e-05
0.00245 0 2.0573e-06 -1.9896e-05 2.00021e-05
0.0025 0 2.23596e-06 -2.13928e-05 2.15093e-05
0.00255 0 2.428e-06 -2.29178e-05 2.3046e-05
0.0026 0 2.63434e-06 -2.4468e-05 2.46094e-05
0.00265 0 2.85594e-06 -2.60409e-05 2.6197e-05
0.0027 0 3.09378e-06 -2.76338e-05 2.78065e-05
0.00275 0 3.34888e-06 -2.92443e-05 2.94354e-05
0.0028 0 3.62229e-06 -3.087e-05 3.10818e-05
0.00285 0 3.91509e-06 -3.25087e-05 3.27436e-05
0.0029 0 4.22836e-06 -3.41582e-05 3.44189e-05
0.00295 0 4.56322e-06 -3.58164e-05 3.61059e-05
0.003 0 4.92077e-06 -3.74814e-05 3.7803e-05
0.00305 0 5.30211e-06 -3.91513e-05 3.95087e-05
0.0031 0 5.70829e-06 -4.08243e-05 4.12214e-05
0.00315 0 6.1404e-06 -4.24985e-05 4.29398e-05
0.0032 0 6.5995e-06 -4.41723e-05 4.46625e-05
0.00325 0 7.08666e-06 -4.5844e-05 4.63885e-05
0.0033 0 7.60293e-06 -4.75121e-05 4.81166e-05
0.00335 0 8.14933e-06 -4.9175e-05 4.98457e-05
0.0034 0 8.72687e-06 -5.08311e-05 5.15748e-05
0.00345 0 9.33656e-06 -5.24791e-05 5.33032e-05
0.0035 0 9.97942e-06 -5.41173e-05 5.50297e-05
0.00355 0 1.06565e-05 -5.57443e-05 5.67537e-05
0.0036 0 1.13689e-05 -5.73585e-05 5.84743e-05
0.00365 0 1.21178e-05 -5.89583e-05 6.01907e-05
0.0037 0 1.29044e-05 -6.05419e-05 6.19019e-05
0.00375 0 1.37301e-05 -6.21075e-05 6.3607e-05
0.0038 0 1.45963e-05 -6.3653e-05 6.53051e-05
0.00385 0 1.55048e-05 -6.5176e-05 6.69948e-05
0.0039 0 1.64572e-05 -6.66738e-05 6.86749e-05
0.00395 0 1.74555e-05 -6.81433e-05 7.03435e-05
0.004 0 1.85017e-05 -6.95809e-05 7.19987e-05
0.00405 0 1.95979e-05 -7.09821e-05 7.36379e-05
0.0041 0 2.07464e-05 -7.23418e-05 7.52579e-05
0.00415 0 2.19494e-05 -7.36541e-05 7.6855e-05
0.0042 0 2.3209e-05 -7.49119e-05 7.84248e-05
0.00425 0 2.45273e-05 -7.61073e-05 7.99619e-05
0.0043 0 2.59063e-05 -7.72314e-05 8.14605e-05
0.00435 0 2.73476e-05 -7.82742e-05 8.29141e-05
0.0044 0 2.88525e-05 -7.92253e-05 8.43156e-05
0.00445 0 3.0422e-05 -8.00737e-05 8.5658e-05
0.0045 0 3.20566e-05 -8.0808e-05 8.69342e-05
0.00455 0 3.3756e-05 -8.14174e-05 8.81378e-05
0.0046 0 3.55195e-05 -8.18915e-05 8.92629e-05
0.00465 0 3.7346e-05 -8.22208e-05 9.03049e-05
0.0047 0 3.92332e-05 -8.23971e-05 9.12608e-05
0.00475 0 4.11784e-05 -8.24138e-05 9.21287e-05
0.0048 0 4.31782e-05 -8.2266e-05 9.29088e-05
0.00485 0 4.52287e-05 -8.19503e-05 9.36028e-05
0.0049 0 4.7325e-05 -8.14656e-05 9.42141e-05
0.00495 0 4.94622e-05 -8.08121e-05 9.47476e-05
0.005 0 5.16347e-05 -7.99919e-05 9.52095e-05
0.00505 0 5.38369e-05 -7.90081e-05 9.5607e-05
0.0051 0 5.60628e-05 -7.78655e-05 9.59483e-05
0.00515 0 5.83067e-05 -7.65696e-05 9.62422e-05
0.0052 0 6.05631e-05 -7.51268e-05 9.64983e-05
0.00525 0 6.28268e-05 -7.35441e-05 9.67261e-05
0.0053 0 6.50931e-05 -7.1829e-05 9.69356e-05
0.00535 0 6.73581e-05 -6.99892e-05 9.7137e-05
0.0054 0 6.96183e-05 -6.80327e-05 9.73404e-05
0.00545 0 7.18712e-05 -6.59674e-05 9.7556e-05
0.0055 0 7.41151e-05 -6.38009e-05 9.77937e-05
0.00555 0 7.63489e-05 -6.1541e-05 9.80635e-05
0.0056 0 7.85725e-05 -5.91947e-05 9.8375e-05
0.00565 0 8.07861e-05 -5.6769e-05 9.87376e-05
0.0057 0 8.29908e-05 -5.42701e-05 9.91601e-05
0.00575 0 8.51879e-05 -5.17039e-05 9.96508e-05
