# Time Dx Dy Dz magD
0.0001 0 6.04816e-10 -7.30431e-11 6.0921e-10
0.0002 0 1.84265e-09 -3.00443e-10 1.86698e-09
0.0003 0 3.84062e-09 -8.51189e-10 3.93382e-09
0.0004 0 6.89016e-09 -2.16966e-09 7.22369e-09
0.0005 0 1.14751e-08 -5.31233e-09 1.26451e-08
0.0006 0 1.81651e-08 -1.25556e-08 2.20819e-08
0.0007 0 2.77909e-08 -2.8373e-08 3.9716e-08
0.0008 0 4.13522e-08 -6.07486e-08 7.34874e-08
0.0009 0 6.01618e-08 -1.22608e-07 1.36573e-07
0.001 0 8.58096e-08 -2.32959e-07 2.48261e-07
0.0011 0 1.20155e-07 -4.17245e-07 4.34201e-07
0.0012 0 1.6499e-07 -7.06511e-07 7.2552e-07
0.0013 0 2.22305e-07 -1.13527e-06 1.15683e-06
0.0014 0 2.94098e-07 -1.73832e-06 1.76302e-06
0.0015 0 3.82114e-07 -2.54715e-06 2.57565e-06
0.0016 0 4.88315e-07 -3.58661e-06 3.6197e-06
0.0017 0 6.14865e-07 -4.87257e-06 4.91122e-06
0.0018 0 7.64097e-07 -6.41089e-06 6.45627e-06
0.0019 0 9.38787e-07 -8.19775e-06 8.25133e-06
0.002 0 1.14239e-06 -1.0221e-05 1.02847e-05
0.0021 0 1.37888e-06 -1.24625e-05 1.25385e-05
0.0022 0 1.65286e-06 -1.48997e-05 1.49911e-05
0.0023 0 1.9697e-06 -1.75084e-05 1.76189e-05
0.0024 0 2.33553e-06 -2.0264e-05 2.03981e-05
0.0025 0 2.75672e-06 -2.31424e-05 2.3306e-05
0.0026 0 3.24031e-06 -2.61211e-05 2.63213e-05
0.0027 0 3.7939e-06 -2.9179e-05 2.94246e-05
0.0028 0 4.42524e-06 -3.22968e-05 3.25985e-05
0.0029 0 5.14234e-06 -3.54566e-05 3.58276e-05
0.003 0 5.95384e-06 -3.86419e-05 3.90979e-05
0.0031 0 6.86807e-06 -4.18369e-05 4.23969e-05
0.0032 0 7.89417e-06 -4.50266e-05 4.57133e-05
0.0033 0 9.04152e-06 -4.81959e-05 4.90367e-05
0.0034 0 1.03198e-05 -5.13298e-05 5.23569e-05
0.0035 0 1.17391e-05 -5.44122e-05 5.56641e-05
0.0036 0 1.33097e-05 -5.74253e-05 5.89475e-05
0.0037 0 1.5042e-05 -6.03488e-05 6.21951e-05
0.0038 0 1.6946e-05 -6.31584e-05 6.53923e-05
0.0039 0 1.90308e-05 -6.58249e-05 6.85207e-05
0.004 0 2.13042e-05 -6.83126e-05 7.15576e-05
0.0041 0 2.37724e-05 -7.05794e-05 7.44753e-05
0.0042 0 2.64387e-05 -7.25768e-05 7.72425e-05
0.0043 0 2.93035e-05 -7.42523e-05 7.98254e-05
0.0044 0 3.23645e-05 -7.55519e-05 8.21921e-05
0.0045 0 3.56158e-05 -7.64244e-05 8.43159e-05
0.0046 0 3.90482e-05 -7.6825e-05 8.61791e-05
0.0047 0 4.26493e-05 -7.67192e-05 8.7777e-05
0.0048 0 4.64041e-05 -7.60844e-05 8.91189e-05
0.0049 0 5.02952e-05 -7.49116e-05 9.02294e-05
0.005 0 5.43037e-05 -7.32041e-05 9.11468e-05
0.0051 0 5.84093e-05 -7.09768e-05 9.19204e-05
0.0052 0 6.25912e-05 -6.82533e-05 9.26076e-05
0.0053 0 6.68283e-05 -6.50636e-05 9.327e-05
0.0054 0 7.10992e-05 -6.14417e-05 9.3969e-05
