# Time forceX forceY forceZ normalForce
0.0001 0.0105877 0.0105877 2.25823e-05 -0.0166384
0.0001 0.0105877 0.0105877 2.25823e-05 -0.0166384
0.0002 0.0133412 0.0133412 4.53917e-05 -0.0209582
0.0002 0.0133412 0.0133412 4.53917e-05 -0.0209582
0.0003 0.0151822 0.0151822 6.82925e-05 -0.0238481
0.0003 0.0151822 0.0151822 6.82925e-05 -0.0238481
0.0004 0.0173631 0.0173631 9.15892e-05 -0.0272723
0.0004 0.0173631 0.0173631 9.15892e-05 -0.0272723
0.0005 0.0198737 0.0198737 0.00011543 -0.0312145
0.0005 0.0198737 0.0198737 0.00011543 -0.0312145
0.0006 0.0225907 0.0225907 0.000139766 -0.0354809
0.0006 0.0225907 0.0225907 0.000139766 -0.0354809
0.0007 0.0254687 0.0254687 0.000164509 -0.0400001
0.0007 0.0254687 0.0254687 0.000164509 -0.0400001
0.0008 0.0284838 0.0284838 0.000189585 -0.0447347
0.0008 0.0284838 0.0284838 0.000189585 -0.0447347
0.0009 0.0316207 0.0316207 0.000214935 -0.0496605
0.0009 0.0316207 0.0316207 0.000214935 -0.0496605
0.001 0.0348683 0.0348683 0.000240497 -0.0547601
0.001 0.0348683 0.0348683 0.000240497 -0.0547601
0.0011 0.0382155 0.0382155 0.000266209 -0.060016
0.0011 0.0382155 0.0382155 0.000266209 -0.060016
0.0012 0.0416491 0.0416491 0.000292014 -0.0654076
0.0012 0.0416491 0.0416491 0.000292014 -0.0654076
0.0013 0.0451617 0.0451617 0.000317858 -0.0709231
0.0013 0.0451617 0.0451617 0.000317858 -0.0709231
0.0014 0.0487429 0.0487429 0.000343694 -0.0765462
0.0014 0.0487429 0.0487429 0.000343694 -0.0765462
0.0015 0.0523757 0.0523757 0.000369478 -0.0822505
0.0015 0.0523757 0.0523757 0.000369478 -0.0822505
0.0016 0.0560585 0.0560585 0.000395173 -0.0880333
0.0016 0.0560585 0.0560585 0.000395173 -0.0880333
0.0017 0.0597776 0.0597776 0.000420745 -0.0938729
0.0017 0.0597776 0.0597776 0.000420745 -0.0938729
0.0018 0.0635193 0.0635193 0.000446161 -0.0997482
0.0018 0.0635193 0.0635193 0.000446161 -0.0997482
0.0019 0.0672934 0.0672933 0.000471384 -0.105674
0.0019 0.0672934 0.0672933 0.000471384 -0.105674
0.002 0.0710681 0.0710681 0.000496378 -0.111601
0.002 0.0710681 0.0710681 0.000496378 -0.111601
0.0021 0.0748569 0.0748569 0.000521099 -0.11755
0.0021 0.0748569 0.0748569 0.000521099 -0.11755
0.0022 0.0786441 0.0786444 0.000545494 -0.123497
0.0022 0.0786441 0.0786444 0.000545494 -0.123497
0.0023 0.0824368 0.0824366 0.000569504 -0.129452
0.0023 0.0824368 0.0824366 0.000569504 -0.129452
0.0024 0.0862133 0.0862133 0.000593058 -0.135382
0.0024 0.0862133 0.0862133 0.000593058 -0.135382
0.0025 0.0899864 0.0899864 0.000616073 -0.141307
0.0025 0.0899864 0.0899864 0.000616073 -0.141307
0.0026 0.0937481 0.0937481 0.000638457 -0.147214
0.0026 0.0937481 0.0937481 0.000638457 -0.147214
0.0027 0.0974823 0.0974826 0.000660113 -0.153078
0.0027 0.0974823 0.0974826 0.000660113 -0.153078
0.0028 0.101213 0.101213 0.000680939 -0.158936
0.0028 0.101213 0.101213 0.000680939 -0.158936
0.0029 0.104919 0.104919 0.000700839 -0.164754
0.0029 0.104919 0.104919 0.000700839 -0.164754
0.003 0.108599 0.108599 0.000719723 -0.170534
0.003 0.108599 0.108599 0.000719723 -0.170534
0.0031 0.101796 0.101796 0.000714865 -0.159839
