# Time Dx Dy Dz magD
0.0001 0 2.7029e-10 -2.47294e-11 2.71419e-10
0.0001 0 2.7029e-10 -2.47294e-11 2.71419e-10
0.0002 0 9.30751e-10 -1.233e-10 9.38883e-10
0.0002 0 9.30751e-10 -1.233e-10 9.38883e-10
0.0003 0 2.20029e-09 -3.97103e-10 2.23584e-09
0.0003 0 2.20029e-09 -3.97103e-10 2.23584e-09
0.0004 0 4.27251e-09 -1.09706e-09 4.41111e-09
0.0004 0 4.27251e-09 -1.09706e-09 4.41111e-09
0.0005 0 7.53962e-09 -2.84106e-09 8.05714e-09
0.0005 0 7.53962e-09 -2.84106e-09 8.05714e-09
0.0006 0 1.24097e-08 -7.03596e-09 1.42655e-08
0.0006 0 1.24097e-08 -7.03596e-09 1.42655e-08
0.0007 0 1.95333e-08 -1.66066e-08 2.56384e-08
0.0007 0 1.95333e-08 -1.66066e-08 2.56384e-08
0.0008 0 2.97215e-08 -3.70771e-08 4.75192e-08
0.0008 0 2.97215e-08 -3.70771e-08 4.75192e-08
0.0009 0 4.40181e-08 -7.79084e-08 8.94835e-08
0.0009 0 4.40181e-08 -7.79084e-08 8.94835e-08
0.001 0 6.37526e-08 -1.5381e-07 1.66499e-07
0.001 0 6.37526e-08 -1.5381e-07 1.66499e-07
0.0011 0 9.04996e-08 -2.85593e-07 2.99589e-07
0.0011 0 9.04996e-08 -2.85593e-07 2.99589e-07
0.0012 0 1.2592e-07 -5.00114e-07 5.15723e-07
0.0012 0 1.2592e-07 -5.00114e-07 5.15723e-07
0.0013 0 1.71854e-07 -8.29035e-07 8.4666e-07
0.0013 0 1.71854e-07 -8.29035e-07 8.4666e-07
0.0014 0 2.30255e-07 -1.30642e-06 1.32655e-06
0.0014 0 2.30255e-07 -1.30642e-06 1.32655e-06
0.0015 0 3.02922e-07 -1.96554e-06 1.98875e-06
0.0015 0 3.02922e-07 -1.96554e-06 1.98875e-06
0.0016 0 3.91878e-07 -2.83557e-06 2.86252e-06
0.0016 0 3.91878e-07 -2.83557e-06 2.86252e-06
0.0017 0 4.99248e-07 -3.93869e-06 3.97021e-06
0.0017 0 4.99248e-07 -3.93869e-06 3.97021e-06
0.0018 0 6.27194e-07 -5.28832e-06 5.32538e-06
0.0018 0 6.27194e-07 -5.28832e-06 5.32538e-06
0.0019 0 7.7874e-07 -6.88848e-06 6.93236e-06
0.0019 0 7.7874e-07 -6.88848e-06 6.93236e-06
0.002 0 9.56849e-07 -8.73438e-06 8.78663e-06
0.002 0 9.56849e-07 -8.73438e-06 8.78663e-06
0.0021 0 1.16539e-06 -1.08138e-05 1.08764e-05
0.0021 0 1.16539e-06 -1.08138e-05 1.08764e-05
0.0022 0 1.40861e-06 -1.31091e-05 1.31845e-05
0.0022 0 1.40861e-06 -1.31091e-05 1.31845e-05
0.0023 0 1.69183e-06 -1.55989e-05 1.56903e-05
0.0023 0 1.69183e-06 -1.55989e-05 1.56903e-05
0.0024 0 2.02043e-06 -1.826e-05 1.83715e-05
0.0024 0 2.02043e-06 -1.826e-05 1.83715e-05
0.0025 0 2.40078e-06 -2.10689e-05 2.12053e-05
0.0025 0 2.40078e-06 -2.10689e-05 2.12053e-05
0.0026 0 2.83975e-06 -2.40024e-05 2.41698e-05
0.0026 0 2.83975e-06 -2.40024e-05 2.41698e-05
0.0027 0 3.34407e-06 -2.70383e-05 2.72443e-05
0.0027 0 3.34407e-06 -2.70383e-05 2.72443e-05
0.0028 0 3.92166e-06 -3.01559e-05 3.04098e-05
0.0028 0 3.92166e-06 -3.01559e-05 3.04098e-05
0.0029 0 4.58039e-06 -3.33356e-05 3.36488e-05
0.0029 0 4.58039e-06 -3.33356e-05 3.36488e-05
0.003 0 5.3284e-06 -3.65595e-05 3.69458e-05
0.003 0 5.3284e-06 -3.65595e-05 3.69458e-05
