# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001        	(1.059241e-02 1.059241e-02 -2.590693e-06)	(1.059318e-02 1.059318e-02 -2.518312e-05)	(-7.703733e-07 -7.703824e-07 2.259242e-05)
0.0002        	(1.335694e-02 1.335694e-02 -1.770992e-05)	(1.335812e-02 1.335812e-02 -6.315596e-05)	(-1.179896e-06 -1.179909e-06 4.544604e-05)
0.0003        	(1.521346e-02 1.521346e-02 -4.303006e-05)	(1.521492e-02 1.521492e-02 -1.114623e-04)	(-1.461356e-06 -1.461373e-06 6.843225e-05)
0.0004        	(1.741425e-02 1.741425e-02 -7.361044e-05)	(1.741587e-02 1.741587e-02 -1.654684e-04)	(-1.623879e-06 -1.623902e-06 9.185792e-05)
0.0005        	(1.994938e-02 1.994938e-02 -1.061009e-04)	(1.995107e-02 1.995107e-02 -2.219719e-04)	(-1.687081e-06 -1.687103e-06 1.158709e-04)
0.0006        	(2.269555e-02 2.269555e-02 -1.384205e-04)	(2.269722e-02 2.269722e-02 -2.788412e-04)	(-1.672313e-06 -1.672337e-06 1.404207e-04)
0.0007        	(2.560718e-02 2.560718e-02 -1.688174e-04)	(2.560878e-02 2.560878e-02 -3.342320e-04)	(-1.600769e-06 -1.600798e-06 1.654147e-04)
0.0008        	(2.866058e-02 2.866058e-02 -1.958121e-04)	(2.866207e-02 2.866207e-02 -3.865895e-04)	(-1.492172e-06 -1.492196e-06 1.907774e-04)
0.0009        	(3.184024e-02 3.184024e-02 -2.184025e-04)	(3.184160e-02 3.184160e-02 -4.348465e-04)	(-1.363460e-06 -1.363487e-06 2.164440e-04)
0.001         	(3.513496e-02 3.513497e-02 -2.360981e-04)	(3.513619e-02 3.513620e-02 -4.784480e-04)	(-1.228276e-06 -1.228280e-06 2.423499e-04)
0.0011        	(3.853357e-02 3.853357e-02 -2.487872e-04)	(3.853466e-02 3.853467e-02 -5.172171e-04)	(-1.096728e-06 -1.096743e-06 2.684299e-04)
0.0012        	(4.202261e-02 4.202261e-02 -2.566064e-04)	(4.202359e-02 4.202359e-02 -5.512279e-04)	(-9.760961e-07 -9.761363e-07 2.946216e-04)
0.0013        	(4.559438e-02 4.559438e-02 -2.597801e-04)	(4.559525e-02 4.559525e-02 -5.806480e-04)	(-8.709580e-07 -8.710098e-07 3.208679e-04)
0.0014        	(4.923818e-02 4.923817e-02 -2.586171e-04)	(4.923896e-02 4.923896e-02 -6.057344e-04)	(-7.839352e-07 -7.840160e-07 3.471173e-04)
0.0015        	(5.293667e-02 5.293664e-02 -2.534968e-04)	(5.293739e-02 5.293736e-02 -6.268213e-04)	(-7.159071e-07 -7.159335e-07 3.733245e-04)
0.0016        	(5.668776e-02 5.668778e-02 -2.447339e-04)	(5.668842e-02 5.668845e-02 -6.441826e-04)	(-6.665525e-07 -6.665748e-07 3.994487e-04)
0.0017        	(6.047729e-02 6.047729e-02 -2.327595e-04)	(6.047792e-02 6.047793e-02 -6.582125e-04)	(-6.346934e-07 -6.347555e-07 4.254530e-04)
0.0018        	(6.429127e-02 6.429127e-02 -2.179783e-04)	(6.429189e-02 6.429189e-02 -6.692801e-04)	(-6.184580e-07 -6.185372e-07 4.513018e-04)
0.0019        	(6.813899e-02 6.813899e-02 -2.006742e-04)	(6.813961e-02 6.813960e-02 -6.776328e-04)	(-6.156482e-07 -6.157627e-07 4.769586e-04)
0.002         	(7.198836e-02 7.198837e-02 -1.813822e-04)	(7.198898e-02 7.198900e-02 -6.837655e-04)	(-6.239566e-07 -6.240943e-07 5.023833e-04)
0.0021        	(7.585263e-02 7.585260e-02 -1.603562e-04)	(7.585327e-02 7.585324e-02 -6.878874e-04)	(-6.409283e-07 -6.410600e-07 5.275312e-04)
0.0022        	(7.971562e-02 7.971584e-02 -1.380127e-04)	(7.971628e-02 7.971651e-02 -6.903628e-04)	(-6.641180e-07 -6.645766e-07 5.523501e-04)
0.0023        	(8.358424e-02 8.358410e-02 -1.146183e-04)	(8.358493e-02 8.358479e-02 -6.913967e-04)	(-6.917460e-07 -6.921728e-07 5.767784e-04)
0.0024        	(8.743674e-02 8.743670e-02 -9.062287e-05)	(8.743747e-02 8.743742e-02 -6.913674e-04)	(-7.217757e-07 -7.221339e-07 6.007446e-04)
0.0025        	(9.128567e-02 9.128567e-02 -6.622237e-05)	(9.128642e-02 9.128642e-02 -6.903884e-04)	(-7.525574e-07 -7.528709e-07 6.241661e-04)
0.0026        	(9.512283e-02 9.512284e-02 -4.175382e-05)	(9.512361e-02 9.512362e-02 -6.887046e-04)	(-7.827857e-07 -7.830818e-07 6.469508e-04)
0.0027        	(9.893213e-02 9.893234e-02 -1.758049e-05)	(9.893294e-02 9.893315e-02 -6.865815e-04)	(-8.112641e-07 -8.118410e-07 6.690010e-04)
0.0028        	(1.027377e-01 1.027375e-01 6.219349e-06)	(1.027385e-01 1.027383e-01 -6.839963e-04)	(-8.375106e-07 -8.379821e-07 6.902156e-04)
0.0029        	(1.065174e-01 1.065173e-01 2.927277e-05)	(1.065182e-01 1.065182e-01 -6.812244e-04)	(-8.607705e-07 -8.611417e-07 7.104972e-04)
0.003         	(1.102716e-01 1.102715e-01 5.138898e-05)	(1.102724e-01 1.102724e-01 -6.783670e-04)	(-8.806813e-07 -8.809149e-07 7.297560e-04)
0.0031        	(1.033415e-01 1.033415e-01 5.669330e-04)	(1.033422e-01 1.033422e-01 -1.578329e-04)	(-7.030372e-07 -7.032525e-07 7.247659e-04)
0.0032        	(1.042211e-01 1.042204e-01 6.402961e-04)	(1.042218e-01 1.042212e-01 -7.788501e-05)	(-7.547952e-07 -7.540773e-07 7.181811e-04)
0.0033        	(1.060098e-01 1.060100e-01 6.591608e-04)	(1.060106e-01 1.060108e-01 -5.113463e-05)	(-7.949618e-07 -7.940043e-07 7.102954e-04)
0.0034        	(1.074370e-01 1.074374e-01 6.730982e-04)	(1.074378e-01 1.074382e-01 -2.775030e-05)	(-8.181275e-07 -8.177636e-07 7.008485e-04)
