# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001        	(-2.052168e-05 1.948540e-05 -4.236962e-03)	(-1.833657e-05 8.263322e-06 -4.237271e-03)	(-2.185107e-06 1.122208e-05 3.081538e-07)
0.0002        	(-2.741122e-05 2.032732e-05 -5.342774e-03)	(-2.301580e-05 -2.246515e-06 -5.343246e-03)	(-4.395416e-06 2.257383e-05 4.719647e-07)
0.0003        	(-3.102511e-05 1.381302e-05 -6.085384e-03)	(-2.440672e-05 -2.017828e-05 -6.085969e-03)	(-6.618397e-06 3.399130e-05 5.845508e-07)
0.0004        	(-3.624231e-05 6.798111e-06 -6.965700e-03)	(-2.735858e-05 -3.882879e-05 -6.966350e-03)	(-8.883730e-06 4.562690e-05 6.495630e-07)
0.0005        	(-4.372557e-05 1.285254e-06 -7.979752e-03)	(-3.251986e-05 -5.626883e-05 -7.980427e-03)	(-1.120571e-05 5.755409e-05 6.748431e-07)
0.0006        	(-5.326570e-05 -2.102449e-06 -9.078219e-03)	(-3.968626e-05 -7.185015e-05 -9.078888e-03)	(-1.357944e-05 6.974770e-05 6.689371e-07)
0.0007        	(-6.502340e-05 -2.503648e-06 -1.024287e-02)	(-4.902745e-05 -8.466547e-05 -1.024351e-02)	(-1.599595e-05 8.216182e-05 6.403218e-07)
0.0008        	(-7.914415e-05 8.192836e-07 -1.146423e-02)	(-6.069619e-05 -9.393964e-05 -1.146483e-02)	(-1.844796e-05 9.475893e-05 5.968807e-07)
0.0009        	(-9.577521e-05 8.414272e-06 -1.273609e-02)	(-7.484604e-05 -9.909250e-05 -1.273664e-02)	(-2.092917e-05 1.075068e-04 5.453972e-07)
0.001         	(-1.150264e-04 2.058705e-05 -1.405399e-02)	(-9.159304e-05 -9.978625e-05 -1.405448e-02)	(-2.343335e-05 1.203733e-04 4.913125e-07)
0.0011        	(-1.369365e-04 3.742159e-05 -1.541343e-02)	(-1.109823e-04 -9.590454e-05 -1.541387e-02)	(-2.595418e-05 1.333261e-04 4.386986e-07)
0.0012        	(-1.614661e-04 5.882349e-05 -1.680904e-02)	(-1.329804e-04 -8.751079e-05 -1.680944e-02)	(-2.848564e-05 1.463343e-04 3.904584e-07)
0.0013        	(-1.886869e-04 8.477497e-05 -1.823775e-02)	(-1.576647e-04 -7.459439e-05 -1.823810e-02)	(-3.102223e-05 1.593694e-04 3.484089e-07)
0.0014        	(-2.185956e-04 1.151488e-04 -1.969527e-02)	(-1.850366e-04 -5.725710e-05 -1.969558e-02)	(-3.355897e-05 1.724059e-04 3.136142e-07)
0.0015        	(-2.510545e-04 1.496561e-04 -2.117465e-02)	(-2.149630e-04 -3.576523e-05 -2.117494e-02)	(-3.609150e-05 1.854213e-04 2.863760e-07)
0.0016        	(-2.861963e-04 1.883025e-04 -2.267511e-02)	(-2.475804e-04 -1.009291e-05 -2.267538e-02)	(-3.861590e-05 1.983954e-04 2.666321e-07)
0.0017        	(-3.239111e-04 2.308072e-04 -2.419092e-02)	(-2.827825e-04 1.949740e-05 -2.419117e-02)	(-4.112861e-05 2.113098e-04 2.539083e-07)
0.0018        	(-3.640489e-04 2.768574e-04 -2.571651e-02)	(-3.204227e-04 5.271050e-05 -2.571675e-02)	(-4.362622e-05 2.241469e-04 2.474226e-07)
0.0019        	(-4.069301e-04 3.266621e-04 -2.725559e-02)	(-3.608248e-04 8.977348e-05 -2.725584e-02)	(-4.610522e-05 2.368887e-04 2.463162e-07)
0.002         	(-4.519688e-04 3.794144e-04 -2.879535e-02)	(-4.034070e-04 1.298993e-04 -2.879560e-02)	(-4.856174e-05 2.495151e-04 2.496510e-07)
0.0021        	(-4.995264e-04 4.353844e-04 -3.034104e-02)	(-4.485349e-04 1.733805e-04 -3.034129e-02)	(-5.099149e-05 2.620040e-04 2.564367e-07)
0.0022        	(-5.493091e-04 4.940975e-04 -3.188636e-02)	(-4.959197e-04 2.197680e-04 -3.188662e-02)	(-5.338943e-05 2.743295e-04 2.658748e-07)
0.0023        	(-6.014788e-04 5.556355e-04 -3.343362e-02)	(-5.457291e-04 2.691745e-04 -3.343390e-02)	(-5.574963e-05 2.864610e-04 2.769102e-07)
0.0024        	(-6.555865e-04 6.193395e-04 -3.497468e-02)	(-5.975213e-04 3.209765e-04 -3.497497e-02)	(-5.806518e-05 2.983630e-04 2.888880e-07)
0.0025        	(-7.118769e-04 6.853860e-04 -3.651427e-02)	(-6.515489e-04 3.753915e-04 -3.651457e-02)	(-6.032808e-05 3.099945e-04 3.011785e-07)
0.0026        	(-7.701516e-04 7.534507e-04 -3.804914e-02)	(-7.076221e-04 4.321409e-04 -3.804945e-02)	(-6.252946e-05 3.213098e-04 3.132611e-07)
0.0027        	(-8.299902e-04 8.229535e-04 -3.957296e-02)	(-7.653303e-04 4.906932e-04 -3.957328e-02)	(-6.465984e-05 3.322603e-04 3.247918e-07)
0.0028        	(-8.918642e-04 8.943558e-04 -4.109498e-02)	(-8.251548e-04 5.515601e-04 -4.109532e-02)	(-6.670947e-05 3.427957e-04 3.352381e-07)
0.0029        	(-9.552259e-04 9.669356e-04 -4.260693e-02)	(-8.865570e-04 6.140678e-04 -4.260727e-02)	(-6.866891e-05 3.528678e-04 3.444924e-07)
0.003         	(-1.019982e-03 1.040539e-03 -4.410860e-02)	(-9.494521e-04 6.781067e-04 -4.410895e-02)	(-7.052948e-05 3.624319e-04 3.523884e-07)
