# Time Dx Dy Dz magD
2.5e-05 0 1.42682e-11 1.57301e-13 1.42691e-11
2.5e-05 0 1.42682e-11 1.57301e-13 1.42691e-11
5e-05 0 2.87364e-11 1.53809e-12 2.87775e-11
5e-05 0 2.87364e-11 1.53809e-12 2.87775e-11
7.5e-05 0 6.03902e-11 3.82945e-12 6.05115e-11
7.5e-05 0 6.03902e-11 3.82945e-12 6.05115e-11
0.0001 0 1.10605e-10 5.34115e-12 1.10734e-10
0.0001 0 1.10605e-10 5.34115e-12 1.10734e-10
0.000125 0 1.94707e-10 3.58161e-12 1.9474e-10
0.000125 0 1.94707e-10 3.58161e-12 1.9474e-10
0.00015 0 3.12126e-10 -3.45686e-12 3.12146e-10
0.00015 0 3.12126e-10 -3.45686e-12 3.12146e-10
0.000175 0 4.36863e-10 -1.67745e-11 4.37185e-10
0.000175 0 4.36863e-10 -1.67745e-11 4.37185e-10
0.0002 0 6.11759e-10 -3.63332e-11 6.12837e-10
0.0002 0 6.11759e-10 -3.63332e-11 6.12837e-10
0.000225 0 8.11709e-10 -6.14223e-11 8.14029e-10
0.000225 0 8.11709e-10 -6.14223e-11 8.14029e-10
0.00025 0 1.00772e-09 -9.10878e-11 1.01183e-09
0.00025 0 1.00772e-09 -9.10878e-11 1.01183e-09
0.000275 0 1.26841e-09 -1.24742e-10 1.27453e-09
0.000275 0 1.26841e-09 -1.24742e-10 1.27453e-09
0.0003 0 1.56885e-09 -1.62425e-10 1.57723e-09
0.0003 0 1.56885e-09 -1.62425e-10 1.57723e-09
0.000325 0 1.88353e-09 -2.04949e-10 1.89465e-09
0.000325 0 1.88353e-09 -2.04949e-10 1.89465e-09
0.00035 0 2.25724e-09 -2.53765e-10 2.27146e-09
0.00035 0 2.25724e-09 -2.53765e-10 2.27146e-09
0.000375 0 2.66678e-09 -3.10734e-10 2.68482e-09
0.000375 0 2.66678e-09 -3.10734e-10 2.68482e-09
0.0004 0 3.11733e-09 -3.78004e-10 3.14016e-09
0.0004 0 3.11733e-09 -3.78004e-10 3.14016e-09
0.000425 0 3.63761e-09 -4.57829e-10 3.6663e-09
0.000425 0 3.63761e-09 -4.57829e-10 3.6663e-09
0.00045 0 4.19932e-09 -5.52539e-10 4.23552e-09
0.00045 0 4.19932e-09 -5.52539e-10 4.23552e-09
0.000475 0 4.82759e-09 -6.64531e-10 4.87311e-09
0.000475 0 4.82759e-09 -6.64531e-10 4.87311e-09
0.0005 0 5.53117e-09 -7.96356e-10 5.5882e-09
0.0005 0 5.53117e-09 -7.96356e-10 5.5882e-09
0.000525 0 6.28564e-09 -9.50966e-10 6.35717e-09
0.000525 0 6.28564e-09 -9.50966e-10 6.35717e-09
0.00055 0 7.11063e-09 -1.13191e-09 7.20016e-09
0.00055 0 7.11063e-09 -1.13191e-09 7.20016e-09
0.000575 0 8.04229e-09 -1.3436e-09 8.15376e-09
0.000575 0 8.04229e-09 -1.3436e-09 8.15376e-09
0.0006 0 9.036e-09 -1.59153e-09 9.17509e-09
0.0006 0 9.036e-09 -1.59153e-09 9.17509e-09
0.000625 0 1.01344e-08 -1.88245e-09 1.03077e-08
0.000625 0 1.01344e-08 -1.88245e-09 1.03077e-08
0.00065 0 1.134e-08 -2.22442e-09 1.15561e-08
0.00065 0 1.134e-08 -2.22442e-09 1.15561e-08
0.000675 0 1.26407e-08 -2.62686e-09 1.29108e-08
0.000675 0 1.26407e-08 -2.62686e-09 1.29108e-08
0.0007 0 1.4058e-08 -3.1007e-09 1.43959e-08
0.0007 0 1.4058e-08 -3.1007e-09 1.43959e-08
0.000725 0 1.56173e-08 -3.65821e-09 1.604e-08
0.000725 0 1.56173e-08 -3.65821e-09 1.604e-08
0.00075 0 1.72945e-08 -4.31383e-09 1.78244e-08
0.00075 0 1.72945e-08 -4.31383e-09 1.78244e-08
0.000775 0 1.91179e-08 -5.08446e-09 1.97825e-08
0.000775 0 1.91179e-08 -5.08446e-09 1.97825e-08
0.0008 0 2.11272e-08 -5.99004e-09 2.19599e-08
0.0008 0 2.11272e-08 -5.99004e-09 2.19599e-08
0.000825 0 2.32696e-08 -7.05366e-09 2.43152e-08
0.000825 0 2.32696e-08 -7.05366e-09 2.43152e-08
0.00085 0 2.55751e-08 -8.30192e-09 2.68888e-08
0.00085 0 2.55751e-08 -8.30192e-09 2.68888e-08
0.000875 0 2.81064e-08 -9.76581e-09 2.97546e-08
0.000875 0 2.81064e-08 -9.76581e-09 2.97546e-08
0.0009 0 3.08039e-08 -1.14822e-08 3.28743e-08
0.0009 0 3.08039e-08 -1.14822e-08 3.28743e-08
0.000925 0 3.37275e-08 -1.34951e-08 3.63271e-08
0.000925 0 3.37275e-08 -1.34951e-08 3.63271e-08
0.00095 0 3.69195e-08 -1.58572e-08 4.01809e-08
0.00095 0 3.69195e-08 -1.58572e-08 4.01809e-08
0.000975 0 4.03252e-08 -1.86318e-08 4.44215e-08
0.000975 0 4.03252e-08 -1.86318e-08 4.44215e-08
0.001 0 4.40155e-08 -2.18957e-08 4.91608e-08
0.001 0 4.40155e-08 -2.18957e-08 4.91608e-08
0.001025 0 4.80047e-08 -2.57415e-08 5.44709e-08
0.001025 0 4.80047e-08 -2.57415e-08 5.44709e-08
0.00105 0 5.22877e-08 -3.02833e-08 6.04242e-08
0.00105 0 5.22877e-08 -3.02833e-08 6.04242e-08
0.001075 0 5.6895e-08 -3.56615e-08 6.71474e-08
0.001075 0 5.6895e-08 -3.56615e-08 6.71474e-08
0.0011 0 6.19108e-08 -4.20484e-08 7.48399e-08
0.0011 0 6.19108e-08 -4.20484e-08 7.48399e-08
0.001125 0 6.7266e-08 -4.96546e-08 8.3608e-08
0.001125 0 6.7266e-08 -4.96546e-08 8.3608e-08
0.00115 0 7.30577e-08 -5.87366e-08 9.37412e-08
0.00115 0 7.30577e-08 -5.87366e-08 9.37412e-08
0.001175 0 7.93228e-08 -6.96045e-08 1.05531e-07
0.001175 0 7.93228e-08 -6.96045e-08 1.05531e-07
0.0012 0 8.60286e-08 -8.2632e-08 1.19285e-07
0.0012 0 8.60286e-08 -8.2632e-08 1.19285e-07
0.001225 0 9.32691e-08 -9.82646e-08 1.35481e-07
0.001225 0 9.32691e-08 -9.82646e-08 1.35481e-07
0.00125 0 1.01151e-07 -1.17028e-07 1.54684e-07
0.00125 0 1.01151e-07 -1.17028e-07 1.54684e-07
0.001275 0 1.09597e-07 -1.39537e-07 1.77432e-07
0.001275 0 1.09597e-07 -1.39537e-07 1.77432e-07
0.0013 0 1.18717e-07 -1.66499e-07 2.04489e-07
0.0013 0 1.18717e-07 -1.66499e-07 2.04489e-07
0.001325 0 1.28577e-07 -1.98716e-07 2.36686e-07
0.001325 0 1.28577e-07 -1.98716e-07 2.36686e-07
