# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(6.146130e-03 6.146130e-03 2.064180e-06)	(6.146469e-03 6.146469e-03 -3.508177e-06)	(-3.387916e-07 -3.387943e-07 5.572356e-06)
5e-05         	(9.560943e-03 9.560974e-03 3.317322e-06)	(9.561455e-03 9.561486e-03 -7.831683e-06)	(-5.112417e-07 -5.112609e-07 1.114901e-05)
7.5e-05       	(1.158237e-02 1.158238e-02 3.761824e-06)	(1.158303e-02 1.158305e-02 -1.314015e-05)	(-6.633582e-07 -6.633902e-07 1.690198e-05)
0.0001        	(1.258204e-02 1.258192e-02 3.119018e-06)	(1.258284e-02 1.258272e-02 -1.967456e-05)	(-8.010154e-07 -8.010014e-07 2.279357e-05)
0.000125      	(1.282582e-02 1.282583e-02 1.133259e-06)	(1.282676e-02 1.282676e-02 -2.755534e-05)	(-9.323491e-07 -9.323336e-07 2.868860e-05)
0.00015       	(1.267800e-02 1.267802e-02 -2.348697e-06)	(1.267906e-02 1.267908e-02 -3.680322e-05)	(-1.057815e-06 -1.057806e-06 3.445452e-05)
0.000175      	(1.249366e-02 1.249381e-02 -7.205831e-06)	(1.249484e-02 1.249498e-02 -4.723782e-05)	(-1.174379e-06 -1.174436e-06 4.003199e-05)
0.0002        	(1.252074e-02 1.252071e-02 -1.302900e-05)	(1.252202e-02 1.252199e-02 -5.848136e-05)	(-1.279672e-06 -1.279727e-06 4.545236e-05)
0.000225      	(1.280533e-02 1.280528e-02 -1.933032e-05)	(1.280670e-02 1.280666e-02 -7.014041e-05)	(-1.373191e-06 -1.373231e-06 5.081009e-05)
0.00025       	(1.329756e-02 1.329752e-02 -2.575319e-05)	(1.329901e-02 1.329898e-02 -8.196829e-05)	(-1.455720e-06 -1.455751e-06 5.621510e-05)
0.000275      	(1.392181e-02 1.392181e-02 -3.220139e-05)	(1.392333e-02 1.392334e-02 -9.395156e-05)	(-1.528553e-06 -1.528585e-06 6.175016e-05)
0.0003        	(1.456766e-02 1.456764e-02 -3.885900e-05)	(1.456925e-02 1.456924e-02 -1.063075e-04)	(-1.592683e-06 -1.592708e-06 6.744854e-05)
0.000325      	(1.519350e-02 1.519351e-02 -4.601305e-05)	(1.519515e-02 1.519516e-02 -1.193077e-04)	(-1.648243e-06 -1.648268e-06 7.329464e-05)
0.00035       	(1.579880e-02 1.579880e-02 -5.392677e-05)	(1.580049e-02 1.580050e-02 -1.331676e-04)	(-1.695006e-06 -1.695032e-06 7.924085e-05)
