# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(-9.224584e-06 1.005025e-05 -2.458452e-03)	(-8.685653e-06 7.282380e-06 -2.458588e-03)	(-5.389307e-07 2.767873e-06 1.355180e-07)
5e-05         	(-1.786345e-05 1.919010e-05 -3.824393e-03)	(-1.678515e-05 1.365219e-05 -3.824597e-03)	(-1.078304e-06 5.537907e-06 2.045062e-07)
7.5e-05       	(-2.412630e-05 2.563010e-05 -4.632955e-03)	(-2.249156e-05 1.723458e-05 -4.633221e-03)	(-1.634733e-06 8.395526e-06 2.653591e-07)
0.0001        	(-2.767345e-05 2.892698e-05 -5.032757e-03)	(-2.546887e-05 1.760498e-05 -5.033078e-03)	(-2.204571e-06 1.132200e-05 3.203992e-07)
0.000125      	(-2.862761e-05 2.907977e-05 -5.130333e-03)	(-2.585287e-05 1.482961e-05 -5.130706e-03)	(-2.774731e-06 1.425017e-05 3.729320e-07)
0.00015       	(-2.774775e-05 2.680682e-05 -5.071211e-03)	(-2.441536e-05 9.692629e-06 -5.071635e-03)	(-3.332386e-06 1.711419e-05 4.231218e-07)
0.000175      	(-2.604857e-05 2.315892e-05 -4.997538e-03)	(-2.217678e-05 3.274321e-06 -4.998008e-03)	(-3.871796e-06 1.988459e-05 4.697799e-07)
0.0002        	(-2.484938e-05 1.963802e-05 -5.008281e-03)	(-2.045338e-05 -2.938925e-06 -5.008792e-03)	(-4.395998e-06 2.257694e-05 5.118958e-07)
0.000225      	(-2.444900e-05 1.671890e-05 -5.122108e-03)	(-1.953486e-05 -8.519268e-06 -5.122658e-03)	(-4.914134e-06 2.523817e-05 5.492961e-07)
0.00025       	(-2.495080e-05 1.465459e-05 -5.319007e-03)	(-1.951396e-05 -1.326829e-05 -5.319589e-03)	(-5.436841e-06 2.792288e-05 5.823033e-07)
0.000275      	(-2.647448e-05 1.359390e-05 -5.568723e-03)	(-2.050235e-05 -1.707829e-05 -5.569334e-03)	(-5.972124e-06 3.067219e-05 6.114370e-07)
0.0003        	(-2.819533e-05 1.264899e-05 -5.827056e-03)	(-2.167213e-05 -2.085363e-05 -5.827694e-03)	(-6.523198e-06 3.350261e-05 6.370857e-07)
0.000325      	(-2.985761e-05 1.145197e-05 -6.077405e-03)	(-2.276906e-05 -2.495444e-05 -6.078065e-03)	(-7.088555e-06 3.640641e-05 6.593095e-07)
0.00035       	(-3.142855e-05 9.857858e-06 -6.319522e-03)	(-2.376497e-05 -2.950207e-05 -6.320200e-03)	(-7.663586e-06 3.935993e-05 6.780152e-07)
0.000375      	(-3.263767e-05 7.542595e-06 -6.554183e-03)	(-2.439488e-05 -3.479232e-05 -6.554876e-03)	(-8.242786e-06 4.233491e-05 6.930267e-07)
0.0004        	(-3.369432e-05 4.735038e-06 -6.793416e-03)	(-2.487268e-05 -4.057312e-05 -6.794120e-03)	(-8.821636e-06 4.530816e-05 7.042036e-07)
0.000425      	(-3.488967e-05 1.808370e-06 -7.047270e-03)	(-2.549203e-05 -4.645852e-05 -7.047981e-03)	(-9.397645e-06 4.826689e-05 7.115613e-07)
0.00045       	(-3.607306e-05 -1.286842e-06 -7.311274e-03)	(-2.610256e-05 -5.249633e-05 -7.311989e-03)	(-9.970503e-06 5.120949e-05 7.153111e-07)
0.000475      	(-3.757236e-05 -4.100638e-06 -7.588801e-03)	(-2.703080e-05 -5.824353e-05 -7.589517e-03)	(-1.054156e-05 5.414289e-05 7.157899e-07)
0.0005        	(-3.930255e-05 -6.623283e-06 -7.872091e-03)	(-2.818955e-05 -6.370159e-05 -7.872804e-03)	(-1.111300e-05 5.707831e-05 7.134507e-07)
0.000525      	(-4.112128e-05 -8.923049e-06 -8.153323e-03)	(-2.943422e-05 -6.895029e-05 -8.154032e-03)	(-1.168706e-05 6.002724e-05 7.087172e-07)
0.00055       	(-4.316865e-05 -1.079042e-05 -8.432969e-03)	(-3.090315e-05 -7.378902e-05 -8.433671e-03)	(-1.226549e-05 6.299860e-05 7.019035e-07)
0.000575      	(-4.543015e-05 -1.229403e-05 -8.710376e-03)	(-3.258086e-05 -7.829161e-05 -8.711069e-03)	(-1.284929e-05 6.599758e-05 6.936195e-07)
