# Time forceX forceY forceZ normalForce
0.0001 0.0105884 0.0105884 2.25824e-05 -0.0166395
0.0001 0.0105884 0.0105884 2.25824e-05 -0.0166395
0.0002 0.0133415 0.0133415 4.53902e-05 -0.0209587
0.0002 0.0133415 0.0133415 4.53902e-05 -0.0209587
0.0003 0.0151819 0.0151819 6.829e-05 -0.0238476
0.0003 0.0151819 0.0151819 6.829e-05 -0.0238476
0.0004 0.0173691 0.0173691 9.15824e-05 -0.0272818
0.0004 0.0173691 0.0173691 9.15824e-05 -0.0272818
0.0005 0.0198665 0.0198665 0.000115424 -0.0312032
0.0005 0.0198665 0.0198665 0.000115424 -0.0312032
0.0006 0.0225925 0.0225925 0.000139763 -0.0354837
0.0006 0.0225925 0.0225925 0.000139763 -0.0354837
0.0007 0.0254662 0.0254662 0.000164484 -0.0399962
0.0007 0.0254662 0.0254662 0.000164484 -0.0399962
0.0008 0.0284827 0.0284828 0.000189578 -0.044733
0.0008 0.0284827 0.0284828 0.000189578 -0.044733
0.0009 0.0316223 0.0316223 0.000214914 -0.049663
0.0009 0.0316223 0.0316223 0.000214914 -0.049663
0.001 0.0348724 0.0348724 0.000240491 -0.0547665
0.001 0.0348724 0.0348724 0.000240491 -0.0547665
0.0011 0.0382182 0.0382182 0.000266185 -0.0600202
0.0011 0.0382182 0.0382182 0.000266185 -0.0600202
0.0012 0.0416453 0.0416454 0.000292008 -0.0654016
0.0012 0.0416453 0.0416454 0.000292008 -0.0654016
0.0013 0.0451618 0.0451618 0.000317814 -0.0709232
0.0013 0.0451618 0.0451618 0.000317814 -0.0709232
0.0014 0.0487407 0.0487407 0.000343682 -0.0765428
0.0014 0.0487407 0.0487407 0.000343682 -0.0765428
0.0015 0.052381 0.052381 0.000369396 -0.0822589
0.0015 0.052381 0.052381 0.000369396 -0.0822589
0.0016 0.0560528 0.0560528 0.000395107 -0.0880243
0.0016 0.0560528 0.0560528 0.000395107 -0.0880243
0.0017 0.0597693 0.0597694 0.000420677 -0.09386
0.0017 0.0597693 0.0597694 0.000420677 -0.09386
0.0018 0.0635317 0.0635317 0.000446059 -0.0997677
0.0018 0.0635317 0.0635317 0.000446059 -0.0997677
0.0019 0.0672931 0.0672931 0.000471297 -0.105674
0.0019 0.0672931 0.0672931 0.000471297 -0.105674
0.002 0.0710855 0.0710855 0.000496319 -0.111629
0.002 0.0710855 0.0710855 0.000496319 -0.111629
0.0021 0.0748404 0.0748405 0.000521081 -0.117525
0.0021 0.0748404 0.0748405 0.000521081 -0.117525
0.0022 0.078659 0.0786591 0.000545353 -0.123521
0.0022 0.078659 0.0786591 0.000545353 -0.123521
0.0023 0.0824278 0.0824278 0.000569354 -0.129438
0.0023 0.0824278 0.0824278 0.000569354 -0.129438
0.0024 0.086177 0.086177 0.00059298 -0.135325
0.0024 0.086177 0.086177 0.00059298 -0.135325
0.0025 0.0900096 0.0900096 0.00061592 -0.141343
0.0025 0.0900096 0.0900096 0.00061592 -0.141343
0.0026 0.0937528 0.0937527 0.000638395 -0.147221
0.0026 0.0937528 0.0937527 0.000638395 -0.147221
0.0027 0.0974872 0.0974872 0.000660053 -0.153085
0.0027 0.0974872 0.0974872 0.000660053 -0.153085
0.0028 0.101214 0.101214 0.000680766 -0.158937
0.0028 0.101214 0.101214 0.000680766 -0.158937
0.0029 0.104911 0.104911 0.000700777 -0.164742
0.0029 0.104911 0.104911 0.000700777 -0.164742
0.003 0.108615 0.108615 0.000719595 -0.170559
0.003 0.108615 0.108615 0.000719595 -0.170559
0.0031 0.101805 0.101805 0.00071472 -0.159851
0.0031 0.101805 0.101805 0.00071472 -0.159851
0.0032 0.102647 0.102647 0.000708293 -0.161178
0.0032 0.102647 0.102647 0.000708293 -0.161178
0.0033 0.104433 0.104433 0.000700649 -0.163983
0.0033 0.104433 0.104433 0.000700649 -0.163983
0.0034 0.105849 0.105849 0.000691306 -0.166208
0.0034 0.105849 0.105849 0.000691306 -0.166208
0.0035 0.106942 0.106942 0.000680439 -0.167925
0.0035 0.106942 0.106942 0.000680439 -0.167925
0.0036 0.107722 0.107722 0.000667909 -0.169151
0.0036 0.107722 0.107722 0.000667909 -0.169151
0.0037 0.108378 0.108378 0.000653896 -0.17018
0.0037 0.108378 0.108378 0.000653896 -0.17018
0.0038 0.108914 0.108914 0.000638641 -0.171022
0.0038 0.108914 0.108914 0.000638641 -0.171022
0.0039 0.109238 0.109237 0.000622186 -0.171531
0.0039 0.109238 0.109237 0.000622186 -0.171531
0.004 0.109486 0.109486 0.000604803 -0.171922
0.004 0.109486 0.109486 0.000604803 -0.171922
0.0041 0.10959 0.10959 0.00058643 -0.172085
0.0041 0.10959 0.10959 0.00058643 -0.172085
0.0042 0.109614 0.109614 0.000567392 -0.172124
0.0042 0.109614 0.109614 0.000567392 -0.172124
0.0043 0.109555 0.109555 0.000547791 -0.172032
0.0043 0.109555 0.109555 0.000547791 -0.172032
0.0044 0.109398 0.109398 0.000527752 -0.171785
0.0044 0.109398 0.109398 0.000527752 -0.171785
0.0045 0.109242 0.109242 0.000507403 -0.171542
0.0045 0.109242 0.109242 0.000507403 -0.171542
