# Time Dx Dy Dz magD
0.0001 0 2.74279e-10 -2.12953e-11 2.75104e-10
0.0001 0 2.74279e-10 -2.12953e-11 2.75104e-10
0.0002 0 9.80479e-10 -1.16287e-10 9.87351e-10
0.0002 0 9.80479e-10 -1.16287e-10 9.87351e-10
0.0003 0 2.26683e-09 -3.88091e-10 2.29981e-09
0.0003 0 2.26683e-09 -3.88091e-10 2.29981e-09
0.0004 0 4.69883e-09 -1.07783e-09 4.82086e-09
0.0004 0 4.69883e-09 -1.07783e-09 4.82086e-09
0.0005 0 8.09644e-09 -2.76798e-09 8.55652e-09
0.0005 0 8.09644e-09 -2.76798e-09 8.55652e-09
0.0006 0 1.30244e-08 -6.88188e-09 1.47308e-08
0.0006 0 1.30244e-08 -6.88188e-09 1.47308e-08
0.0007 0 2.01054e-08 -1.63806e-08 2.59336e-08
0.0007 0 2.01054e-08 -1.63806e-08 2.59336e-08
0.0008 0 3.08927e-08 -3.67807e-08 4.80331e-08
0.0008 0 3.08927e-08 -3.67807e-08 4.80331e-08
0.0009 0 4.52219e-08 -7.75567e-08 8.97779e-08
0.0009 0 4.52219e-08 -7.75567e-08 8.97779e-08
0.001 0 6.4558e-08 -1.53426e-07 1.66455e-07
0.001 0 6.4558e-08 -1.53426e-07 1.66455e-07
0.0011 0 9.11591e-08 -2.85188e-07 2.99403e-07
0.0011 0 9.11591e-08 -2.85188e-07 2.99403e-07
0.0012 0 1.2643e-07 -4.99688e-07 5.15434e-07
0.0012 0 1.2643e-07 -4.99688e-07 5.15434e-07
0.0013 0 1.72454e-07 -8.28587e-07 8.46344e-07
0.0013 0 1.72454e-07 -8.28587e-07 8.46344e-07
0.0014 0 2.30686e-07 -1.30595e-06 1.32617e-06
0.0014 0 2.30686e-07 -1.30595e-06 1.32617e-06
0.0015 0 3.03719e-07 -1.96505e-06 1.98838e-06
0.0015 0 3.03719e-07 -1.96505e-06 1.98838e-06
0.0016 0 3.93439e-07 -2.83507e-06 2.86224e-06
0.0016 0 3.93439e-07 -2.83507e-06 2.86224e-06
0.0017 0 5.00958e-07 -3.93824e-06 3.96997e-06
0.0017 0 5.00958e-07 -3.93824e-06 3.96997e-06
0.0018 0 6.28975e-07 -5.28791e-06 5.32518e-06
0.0018 0 6.28975e-07 -5.28791e-06 5.32518e-06
0.0019 0 7.80711e-07 -6.88813e-06 6.93224e-06
0.0019 0 7.80711e-07 -6.88813e-06 6.93224e-06
0.002 0 9.59831e-07 -8.73404e-06 8.78662e-06
0.002 0 9.59831e-07 -8.73404e-06 8.78662e-06
0.0021 0 1.16827e-06 -1.08135e-05 1.08764e-05
0.0021 0 1.16827e-06 -1.08135e-05 1.08764e-05
0.0022 0 1.41212e-06 -1.31088e-05 1.31846e-05
0.0022 0 1.41212e-06 -1.31088e-05 1.31846e-05
0.0023 0 1.69507e-06 -1.55986e-05 1.56904e-05
0.0023 0 1.69507e-06 -1.55986e-05 1.56904e-05
0.0024 0 2.02172e-06 -1.82599e-05 1.83715e-05
0.0024 0 2.02172e-06 -1.82599e-05 1.83715e-05
0.0025 0 2.4016e-06 -2.10689e-05 2.12054e-05
0.0025 0 2.4016e-06 -2.10689e-05 2.12054e-05
0.0026 0 2.84052e-06 -2.40026e-05 2.41701e-05
0.0026 0 2.84052e-06 -2.40026e-05 2.41701e-05
0.0027 0 3.34483e-06 -2.70387e-05 2.72448e-05
0.0027 0 3.34483e-06 -2.70387e-05 2.72448e-05
0.0028 0 3.92244e-06 -3.01564e-05 3.04105e-05
0.0028 0 3.92244e-06 -3.01564e-05 3.04105e-05
0.0029 0 4.5808e-06 -3.33363e-05 3.36496e-05
0.0029 0 4.5808e-06 -3.33363e-05 3.36496e-05
0.003 0 5.32942e-06 -3.65602e-05 3.69466e-05
0.003 0 5.32942e-06 -3.65602e-05 3.69466e-05
0.0031 0 6.17362e-06 -3.98111e-05 4.0287e-05
0.0031 0 6.17362e-06 -3.98111e-05 4.0287e-05
0.0032 0 7.1264e-06 -4.30725e-05 4.36581e-05
0.0032 0 7.1264e-06 -4.30725e-05 4.36581e-05
0.0033 0 8.19576e-06 -4.63286e-05 4.7048e-05
0.0033 0 8.19576e-06 -4.63286e-05 4.7048e-05
0.0034 0 9.39275e-06 -4.95635e-05 5.04457e-05
0.0034 0 9.39275e-06 -4.95635e-05 5.04457e-05
0.0035 0 1.07294e-05 -5.27606e-05 5.38405e-05
0.0035 0 1.07294e-05 -5.27606e-05 5.38405e-05
0.0036 0 1.22112e-05 -5.59019e-05 5.722e-05
0.0036 0 1.22112e-05 -5.59019e-05 5.722e-05
0.0037 0 1.38499e-05 -5.89666e-05 6.05713e-05
0.0037 0 1.38499e-05 -5.89666e-05 6.05713e-05
0.0038 0 1.56608e-05 -6.19306e-05 6.38801e-05
0.0038 0 1.56608e-05 -6.19306e-05 6.38801e-05
0.0039 0 1.76497e-05 -6.47644e-05 6.71263e-05
0.0039 0 1.76497e-05 -6.47644e-05 6.71263e-05
0.004 0 1.9825e-05 -6.74317e-05 7.02856e-05
0.004 0 1.9825e-05 -6.74317e-05 7.02856e-05
0.0041 0 2.2195e-05 -6.98899e-05 7.33295e-05
0.0041 0 2.2195e-05 -6.98899e-05 7.33295e-05
0.0042 0 2.47627e-05 -7.20896e-05 7.6224e-05
0.0042 0 2.47627e-05 -7.20896e-05 7.6224e-05
0.0043 0 2.75287e-05 -7.39768e-05 7.89329e-05
0.0043 0 2.75287e-05 -7.39768e-05 7.89329e-05
0.0044 0 3.04888e-05 -7.54962e-05 8.14202e-05
0.0044 0 3.04888e-05 -7.54962e-05 8.14202e-05
0.0045 0 3.36426e-05 -7.65951e-05 8.36578e-05
0.0045 0 3.36426e-05 -7.65951e-05 8.36578e-05
