# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001        	(-2.053648e-05 1.950046e-05 -4.237223e-03)	(-1.835137e-05 8.278342e-06 -4.237531e-03)	(-2.185115e-06 1.122212e-05 3.081464e-07)
0.0002        	(-2.740993e-05 2.032605e-05 -5.342888e-03)	(-2.301467e-05 -2.246994e-06 -5.343360e-03)	(-4.395262e-06 2.257305e-05 4.719359e-07)
0.0003        	(-3.102619e-05 1.381502e-05 -6.085245e-03)	(-2.440804e-05 -2.017503e-05 -6.085829e-03)	(-6.618154e-06 3.399005e-05 5.845470e-07)
0.0004        	(-3.645998e-05 7.015024e-06 -6.968116e-03)	(-2.757690e-05 -3.860850e-05 -6.968766e-03)	(-8.883074e-06 4.562353e-05 6.495634e-07)
0.0005        	(-4.364640e-05 1.197198e-06 -7.976872e-03)	(-3.244124e-05 -5.635406e-05 -7.977547e-03)	(-1.120516e-05 5.755125e-05 6.748571e-07)
0.0006        	(-5.322667e-05 -2.141164e-06 -9.078923e-03)	(-3.964756e-05 -7.188720e-05 -9.079592e-03)	(-1.357911e-05 6.974604e-05 6.689489e-07)
0.0007        	(-6.494246e-05 -2.593310e-06 -1.024191e-02)	(-4.894886e-05 -8.474309e-05 -1.024255e-02)	(-1.599361e-05 8.214978e-05 6.403038e-07)
0.0008        	(-7.918904e-05 8.460915e-07 -1.146381e-02)	(-6.074180e-05 -9.390916e-05 -1.146440e-02)	(-1.844724e-05 9.475525e-05 5.969480e-07)
0.0009        	(-9.580022e-05 8.438583e-06 -1.273673e-02)	(-7.487309e-05 -9.905773e-05 -1.273728e-02)	(-2.092713e-05 1.074963e-04 5.454534e-07)
0.001         	(-1.151219e-04 2.071864e-05 -1.405562e-02)	(-9.168911e-05 -9.965182e-05 -1.405611e-02)	(-2.343279e-05 1.203705e-04 4.914394e-07)
0.0011        	(-1.371029e-04 3.755010e-05 -1.541452e-02)	(-1.111511e-04 -9.576387e-05 -1.541496e-02)	(-2.595181e-05 1.333140e-04 4.387852e-07)
0.0012        	(-1.613915e-04 5.877258e-05 -1.680753e-02)	(-1.329064e-04 -8.755888e-05 -1.680792e-02)	(-2.848510e-05 1.463315e-04 3.905935e-07)
0.0013        	(-1.886486e-04 8.468728e-05 -1.823782e-02)	(-1.576306e-04 -7.466017e-05 -1.823817e-02)	(-3.101796e-05 1.593475e-04 3.483448e-07)
0.0014        	(-2.185191e-04 1.150578e-04 -1.969441e-02)	(-1.849612e-04 -5.734248e-05 -1.969472e-02)	(-3.355789e-05 1.724003e-04 3.135146e-07)
0.0015        	(-2.512233e-04 1.497835e-04 -2.117681e-02)	(-2.151397e-04 -3.559722e-05 -2.117710e-02)	(-3.608361e-05 1.853808e-04 2.860256e-07)
0.0016        	(-2.858999e-04 1.879714e-04 -2.267285e-02)	(-2.472903e-04 -1.039143e-05 -2.267311e-02)	(-3.860956e-05 1.983628e-04 2.661881e-07)
0.0017        	(-3.238112e-04 2.306476e-04 -2.418764e-02)	(-2.826892e-04 1.937159e-05 -2.418790e-02)	(-4.112202e-05 2.112760e-04 2.532859e-07)
0.0018        	(-3.644672e-04 2.772320e-04 -2.572153e-02)	(-3.208507e-04 5.313514e-05 -2.572177e-02)	(-4.361647e-05 2.240968e-04 2.466174e-07)
0.0019        	(-4.067155e-04 3.264212e-04 -2.725557e-02)	(-3.606187e-04 8.957559e-05 -2.725581e-02)	(-4.609685e-05 2.368456e-04 2.454734e-07)
0.002         	(-4.523762e-04 3.798074e-04 -2.880240e-02)	(-4.038201e-04 1.303214e-04 -2.880265e-02)	(-4.855608e-05 2.494860e-04 2.487738e-07)
