# Time Dx Dy Dz magD
2.5e-05 0 -2.37994e-11 -4.99746e-15 2.37994e-11
2.5e-05 0 -2.37994e-11 -4.99746e-15 2.37994e-11
5e-05 0 -1.14836e-11 -1.4111e-13 1.14845e-11
5e-05 0 -1.14836e-11 -1.4111e-13 1.14845e-11
7.5e-05 0 1.93805e-11 -8.00963e-13 1.93971e-11
7.5e-05 0 1.93805e-11 -8.00963e-13 1.93971e-11
0.0001 0 8.93153e-11 -2.5851e-12 8.93527e-11
0.0001 0 8.93153e-11 -2.5851e-12 8.93527e-11
0.000125 0 1.3688e-10 -6.16148e-12 1.37018e-10
0.000125 0 1.3688e-10 -6.16148e-12 1.37018e-10
0.00015 0 1.80966e-10 -1.20931e-11 1.81369e-10
0.00015 0 1.80966e-10 -1.20931e-11 1.81369e-10
0.000175 0 3.68406e-10 -2.02812e-11 3.68963e-10
0.000175 0 3.68406e-10 -2.02812e-11 3.68963e-10
0.0002 0 5.34876e-10 -3.17315e-11 5.35817e-10
0.0002 0 5.34876e-10 -3.17315e-11 5.35817e-10
0.000225 0 7.35236e-10 -4.75102e-11 7.36769e-10
0.000225 0 7.35236e-10 -4.75102e-11 7.36769e-10
0.00025 0 6.25483e-10 -7.03526e-11 6.29427e-10
0.00025 0 6.25483e-10 -7.03526e-11 6.29427e-10
0.000275 0 8.51855e-10 -1.02072e-10 8.57949e-10
0.000275 0 8.51855e-10 -1.02072e-10 8.57949e-10
0.0003 0 1.30374e-09 -1.41999e-10 1.31145e-09
0.0003 0 1.30374e-09 -1.41999e-10 1.31145e-09
0.000325 0 1.26065e-09 -1.8493e-10 1.27414e-09
0.000325 0 1.26065e-09 -1.8493e-10 1.27414e-09
0.00035 0 1.57738e-09 -2.28319e-10 1.59382e-09
0.00035 0 1.57738e-09 -2.28319e-10 1.59382e-09
0.000375 0 1.94944e-09 -2.7176e-10 1.96829e-09
0.000375 0 1.94944e-09 -2.7176e-10 1.96829e-09
0.0004 0 2.46499e-09 -3.17481e-10 2.48535e-09
0.0004 0 2.46499e-09 -3.17481e-10 2.48535e-09
0.000425 0 2.43679e-09 -3.71842e-10 2.465e-09
0.000425 0 2.43679e-09 -3.71842e-10 2.465e-09
