# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(6.139330e-03 6.139330e-03 2.064536e-06)	(6.139669e-03 6.139669e-03 -3.507925e-06)	(-3.387755e-07 -3.387782e-07 5.572461e-06)
5e-05         	(9.561631e-03 9.561631e-03 3.317696e-06)	(9.562143e-03 9.562143e-03 -7.831332e-06)	(-5.112358e-07 -5.112410e-07 1.114903e-05)
7.5e-05       	(1.158423e-02 1.158423e-02 3.759697e-06)	(1.158490e-02 1.158490e-02 -1.314157e-05)	(-6.632689e-07 -6.632761e-07 1.690127e-05)
0.0001        	(1.258258e-02 1.258258e-02 3.115016e-06)	(1.258339e-02 1.258339e-02 -1.967517e-05)	(-8.009128e-07 -8.009221e-07 2.279018e-05)
0.000125      	(1.282835e-02 1.282835e-02 1.132974e-06)	(1.282929e-02 1.282929e-02 -2.755262e-05)	(-9.323148e-07 -9.323260e-07 2.868559e-05)
0.00015       	(1.268122e-02 1.268122e-02 -2.348281e-06)	(1.268228e-02 1.268228e-02 -3.679675e-05)	(-1.057742e-06 -1.057755e-06 3.444847e-05)
0.000175      	(1.250575e-02 1.250575e-02 -7.210316e-06)	(1.250693e-02 1.250693e-02 -4.723512e-05)	(-1.174325e-06 -1.174339e-06 4.002480e-05)
0.0002        	(1.251536e-02 1.251537e-02 -1.303377e-05)	(1.251664e-02 1.251664e-02 -5.848292e-05)	(-1.279676e-06 -1.279693e-06 4.544915e-05)
0.000225      	(1.280229e-02 1.280229e-02 -1.932046e-05)	(1.280367e-02 1.280367e-02 -7.012711e-05)	(-1.373145e-06 -1.373163e-06 5.080664e-05)
0.00025       	(1.324623e-02 1.324623e-02 -2.574562e-05)	(1.324768e-02 1.324768e-02 -8.195811e-05)	(-1.455770e-06 -1.455789e-06 5.621249e-05)
0.000275      	(1.392300e-02 1.392300e-02 -3.220487e-05)	(1.392453e-02 1.392453e-02 -9.395432e-05)	(-1.528542e-06 -1.528562e-06 6.174944e-05)
