# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(-9.010919e-06 9.836735e-06 -2.455732e-03)	(-8.471979e-06 7.068810e-06 -2.455867e-03)	(-5.389406e-07 2.767925e-06 1.355115e-07)
5e-05         	(-1.788807e-05 1.921515e-05 -3.824653e-03)	(-1.680977e-05 1.367723e-05 -3.824857e-03)	(-1.078307e-06 5.537918e-06 2.044969e-07)
7.5e-05       	(-2.423551e-05 2.573939e-05 -4.633693e-03)	(-2.260085e-05 1.734422e-05 -4.633959e-03)	(-1.634665e-06 8.395173e-06 2.653111e-07)
0.0001        	(-2.769361e-05 2.893961e-05 -5.033034e-03)	(-2.548936e-05 1.761929e-05 -5.033354e-03)	(-2.204242e-06 1.132031e-05 3.203697e-07)
0.000125      	(-2.891385e-05 2.936704e-05 -5.131342e-03)	(-2.613941e-05 1.511837e-05 -5.131715e-03)	(-2.774439e-06 1.424867e-05 3.729315e-07)
0.00015       	(-2.779088e-05 2.685157e-05 -5.072489e-03)	(-2.445908e-05 9.740377e-06 -5.072912e-03)	(-3.331800e-06 1.711119e-05 4.231034e-07)
0.000175      	(-2.627728e-05 2.339315e-05 -5.002301e-03)	(-2.240618e-05 3.512129e-06 -5.002771e-03)	(-3.871101e-06 1.988102e-05 4.697372e-07)
0.0002        	(-2.491519e-05 1.970168e-05 -5.006146e-03)	(-2.051950e-05 -2.873668e-06 -5.006658e-03)	(-4.395688e-06 2.257535e-05 5.118786e-07)
0.000225      	(-2.408565e-05 1.635747e-05 -5.120918e-03)	(-1.917185e-05 -8.878986e-06 -5.121467e-03)	(-4.913800e-06 2.523646e-05 5.492671e-07)
0.00025       	(-2.340942e-05 1.311117e-05 -5.298491e-03)	(-1.797283e-05 -1.481041e-05 -5.299073e-03)	(-5.436587e-06 2.792158e-05 5.823175e-07)
0.000275      	(-2.649971e-05 1.361776e-05 -5.569201e-03)	(-2.052766e-05 -1.705407e-05 -5.569812e-03)	(-5.972056e-06 3.067183e-05 6.114269e-07)
0.0003        	(-2.864207e-05 1.308796e-05 -5.826656e-03)	(-2.211933e-05 -2.041226e-05 -5.827293e-03)	(-6.522733e-06 3.350022e-05 6.370544e-07)
0.000325      	(-3.031777e-05 1.191779e-05 -6.085973e-03)	(-2.322995e-05 -2.448482e-05 -6.086633e-03)	(-7.087818e-06 3.640262e-05 6.592411e-07)
0.00035       	(-3.230023e-05 1.071878e-05 -6.324075e-03)	(-2.463753e-05 -2.863657e-05 -6.324753e-03)	(-7.662695e-06 3.935535e-05 6.779507e-07)
0.000375      	(-3.348091e-05 8.368573e-06 -6.557951e-03)	(-2.523898e-05 -3.396194e-05 -6.558644e-03)	(-8.241929e-06 4.233051e-05 6.929506e-07)
0.0004        	(-3.383735e-05 4.881454e-06 -6.800166e-03)	(-2.501621e-05 -4.042416e-05 -6.800871e-03)	(-8.821138e-06 4.530561e-05 7.041586e-07)
0.000425      	(-3.282532e-05 -2.679225e-07 -7.014714e-03)	(-2.342843e-05 -4.853092e-05 -7.015426e-03)	(-9.396885e-06 4.826300e-05 7.115334e-07)
0.00045       	(-3.607386e-05 -1.257335e-06 -7.313614e-03)	(-2.610340e-05 -5.246660e-05 -7.314329e-03)	(-9.970462e-06 5.120927e-05 7.152855e-07)
0.000475      	(-3.773180e-05 -3.943264e-06 -7.596585e-03)	(-2.719097e-05 -5.808237e-05 -7.597301e-03)	(-1.054082e-05 5.413911e-05 7.157143e-07)
0.0005        	(-3.947346e-05 -6.466143e-06 -7.876166e-03)	(-2.836120e-05 -6.354065e-05 -7.876879e-03)	(-1.111226e-05 5.707450e-05 7.134010e-07)
0.000525      	(-4.097478e-05 -9.072169e-06 -8.155899e-03)	(-2.929032e-05 -6.908602e-05 -8.156607e-03)	(-1.168446e-05 6.001385e-05 7.085671e-07)
0.00055       	(-4.518978e-05 -8.775077e-06 -8.465988e-03)	(-3.292438e-05 -7.177324e-05 -8.466690e-03)	(-1.226540e-05 6.299816e-05 7.020722e-07)
0.000575      	(-4.471546e-05 -1.302902e-05 -8.706957e-03)	(-3.186706e-05 -7.902207e-05 -8.707651e-03)	(-1.284839e-05 6.599304e-05 6.937704e-07)
0.0006        	(-4.670058e-05 -1.461083e-05 -8.958768e-03)	(-3.326267e-05 -8.363226e-05 -8.959452e-03)	(-1.343791e-05 6.902143e-05 6.841679e-07)
0.000625      	(-4.902173e-05 -1.556890e-05 -9.246144e-03)	(-3.499098e-05 -8.763588e-05 -9.246818e-03)	(-1.403076e-05 7.206697e-05 6.732072e-07)
0.00065       	(-5.274870e-05 -1.510524e-05 -9.518901e-03)	(-3.811556e-05 -9.026673e-05 -9.519562e-03)	(-1.463314e-05 7.516149e-05 6.616101e-07)
0.000675      	(-5.602128e-05 -1.484603e-05 -9.806009e-03)	(-4.078432e-05 -9.310948e-05 -9.806658e-03)	(-1.523696e-05 7.826345e-05 6.489514e-07)
0.0007        	(-5.739983e-05 -1.654713e-05 -1.007636e-02)	(-4.155740e-05 -9.792107e-05 -1.007699e-02)	(-1.584243e-05 8.137393e-05 6.354230e-07)
0.000725      	(-6.237623e-05 -1.451354e-05 -1.038434e-02)	(-4.592453e-05 -9.901748e-05 -1.038496e-02)	(-1.645170e-05 8.450394e-05 6.212855e-07)
0.00075       	(-6.466130e-05 -1.503844e-05 -1.067556e-02)	(-4.759210e-05 -1.027147e-04 -1.067616e-02)	(-1.706920e-05 8.767630e-05 6.070552e-07)
0.000775      	(-6.841420e-05 -1.406782e-05 -1.098211e-02)	(-5.073206e-05 -1.048931e-04 -1.098270e-02)	(-1.768214e-05 9.082530e-05 5.919543e-07)
0.0008        	(-7.049564e-05 -1.451111e-05 -1.129003e-02)	(-5.219471e-05 -1.085155e-04 -1.129061e-02)	(-1.830093e-05 9.400434e-05 5.767951e-07)
