# Time forceX forceY forceZ normalForce
0.0001 0 0 0 0
0.0001 0 0 0 0
0.0001 0.0833247 0.0833247 1.08608e-05 -0.130829
0.0001 0.0833247 0.0833247 1.08608e-05 -0.130829
0.0001 0.166649 0.166649 2.17215e-05 -0.261658
0.0001 0.166649 0.166649 2.17215e-05 -0.261658
0.0001 0.0312954 0.0312954 1.88946e-07 -0.049143
0.0001 0.0312954 0.0312954 1.88946e-07 -0.049143
0.0001 0.0213164 0.0213164 1.67376e-05 -0.0334748
0.0001 0.0213164 0.0213164 1.67376e-05 -0.0334748
0.0001 0.0217765 0.0217765 -3.60771e-05 -0.0342018
0.0001 0.0217765 0.0217765 -3.60771e-05 -0.0342018
0.0001 0.0218373 0.0218373 -2.54883e-05 -0.0342971
0.0001 0.0218373 0.0218373 -2.54883e-05 -0.0342971
0.0001 0.0101617 0.0101617 -6.58123e-05 -0.015971
0.0001 0.0101617 0.0101617 -6.58123e-05 -0.015971
0.0001 0.0092834 0.00928341 -4.58616e-05 -0.0145917
0.0001 0.0092834 0.00928341 -4.58616e-05 -0.0145917
0.0001 0.0112365 0.0112365 -6.43887e-05 -0.0176591
0.0001 0.0112365 0.0112365 -6.43887e-05 -0.0176591
0.0001 0.0115268 0.0115268 -3.93323e-05 -0.0181141
0.0001 0.0115268 0.0115268 -3.93323e-05 -0.0181141
0.0001 0.0098261 0.00982609 -3.88851e-05 -0.0154433
0.0001 0.0098261 0.00982609 -3.88851e-05 -0.0154433
0.0001 0.00978995 0.00978994 -1.68164e-05 -0.0153857
0.0001 0.00978995 0.00978994 -1.68164e-05 -0.0153857
0.0001 0.010452 0.010452 -1.00291e-05 -0.0164235
0.0001 0.010452 0.010452 -1.00291e-05 -0.0164235
0.0001 0.0105281 0.0105281 3.77437e-06 -0.0165426
0.0001 0.0105281 0.0105281 3.77437e-06 -0.0165426
0.0001 0.0102915 0.0102915 8.91282e-06 -0.0161706
0.0001 0.0102915 0.0102915 8.91282e-06 -0.0161706
0.0001 0.0102874 0.0102874 1.57423e-05 -0.016164
0.0001 0.0102874 0.0102874 1.57423e-05 -0.016164
0.0001 0.0103779 0.0103779 1.82521e-05 -0.016306
0.0001 0.0103779 0.0103779 1.82521e-05 -0.016306
0.0001 0.0103846 0.0103846 2.12147e-05 -0.0163164
0.0001 0.0103846 0.0103846 2.12147e-05 -0.0163164
0.0001 0.0103567 0.0103567 2.2231e-05 -0.0162726
0.0001 0.0103567 0.0103567 2.2231e-05 -0.0162726
0.0001 0.0103551 0.0103551 2.34183e-05 -0.0162701
0.0001 0.0103551 0.0103551 2.34183e-05 -0.0162701
0.0001 0.0103636 0.0103636 2.37965e-05 -0.0162835
0.0001 0.0103636 0.0103636 2.37965e-05 -0.0162835
0.0001 0.010364 0.010364 2.42411e-05 -0.0162842
0.0001 0.010364 0.010364 2.42411e-05 -0.0162842
0.0001 0.0103616 0.0103616 2.43747e-05 -0.0162804
0.0001 0.0103616 0.0103616 2.43747e-05 -0.0162804
0.0001 0.0103614 0.0103614 2.45288e-05 -0.0162801
0.0001 0.0103614 0.0103614 2.45288e-05 -0.0162801
0.0001 0.0103621 0.010362 2.45744e-05 -0.0162811
0.0001 0.0103621 0.010362 2.45744e-05 -0.0162811
0.0001 0.0103621 0.0103621 2.46228e-05 -0.0162811
0.0001 0.0103621 0.0103621 2.46228e-05 -0.0162811
0.0001 0.0103619 0.0103619 2.46374e-05 -0.0162808
0.0001 0.0103619 0.0103619 2.46374e-05 -0.0162808
0.0001 0.0103619 0.0103619 2.46507e-05 -0.0162808
0.0001 0.0103619 0.0103619 2.46507e-05 -0.0162808
0.0001 0.0103619 0.0103619 2.4655e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.4655e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.4658e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.4658e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.46591e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.46591e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.46595e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.46595e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.46598e-05 -0.0162809
0.0001 0.0103619 0.0103619 2.46598e-05 -0.0162809
0.0002 0.0103619 0.0103619 2.46599e-05 -0.0162809
0.0002 0.0103619 0.0103619 2.46599e-05 -0.0162809
0.0002 0.0133593 0.0133589 -0.000207164 -0.0209978
0.0002 0.0133593 0.0133589 -0.000207164 -0.0209978
0.0002 0.0133553 0.0133551 1.59404e-05 -0.0209793
0.0002 0.0133553 0.0133551 1.59404e-05 -0.0209793
0.0002 0.0133615 0.0133615 2.71711e-05 -0.0209883
0.0002 0.0133615 0.0133615 2.71711e-05 -0.0209883
0.0002 0.013358 0.0133582 3.14429e-05 -0.0209851
0.0002 0.013358 0.0133582 3.14429e-05 -0.0209851
0.0002 0.0133584 0.0133583 3.42883e-05 -0.0209855
0.0002 0.0133584 0.0133583 3.42883e-05 -0.0209855
0.0002 0.0133598 0.0133597 3.41476e-05 -0.0209868
0.0002 0.0133598 0.0133597 3.41476e-05 -0.0209868
0.0002 0.0133598 0.0133599 3.44704e-05 -0.020987
0.0002 0.0133598 0.0133599 3.44704e-05 -0.020987
0.0002 0.0133597 0.0133598 3.44023e-05 -0.0209869
0.0002 0.0133597 0.0133598 3.44023e-05 -0.0209869
0.0002 0.0133598 0.0133597 3.44416e-05 -0.0209869
0.0002 0.0133598 0.0133597 3.44416e-05 -0.0209869
0.0002 0.0133598 0.0133598 3.44079e-05 -0.020987
0.0002 0.0133598 0.0133598 3.44079e-05 -0.020987
0.0002 0.0133598 0.0133599 3.44121e-05 -0.020987
0.0002 0.0133598 0.0133599 3.44121e-05 -0.020987
0.0002 0.0133598 0.0133598 3.43937e-05 -0.020987
0.0002 0.0133598 0.0133598 3.43937e-05 -0.020987
0.0002 0.0133598 0.0133598 3.43901e-05 -0.020987
0.0002 0.0133598 0.0133598 3.43901e-05 -0.020987
0.0002 0.0133598 0.0133598 3.4382e-05 -0.020987
0.0002 0.0133598 0.0133598 3.4382e-05 -0.020987
0.0002 0.0133598 0.0133598 3.43808e-05 -0.020987
0.0002 0.0133598 0.0133598 3.43808e-05 -0.020987
0.0003 0.0133599 0.0133599 3.43799e-05 -0.0209872
0.0003 0.0133599 0.0133599 3.43799e-05 -0.0209872
0.0003 0.0151945 0.0151872 0.000314403 -0.023874
0.0003 0.0151945 0.0151872 0.000314403 -0.023874
0.0003 0.0153125 0.0152984 4.74738e-05 -0.0240386
0.0003 0.0153125 0.0152984 4.74738e-05 -0.0240386
0.0003 0.0152864 0.0153083 3.5909e-05 -0.0240257
0.0003 0.0152864 0.0153083 3.5909e-05 -0.0240257
0.0003 0.0152878 0.0153011 3.23085e-05 -0.0240218
0.0003 0.0152878 0.0153011 3.23085e-05 -0.0240218
