# Time Dx Dy Dz magD
0.0001 0 0 0 0
0.0001 0 0 0 0
0.0001 0 2.72976e-06 -3.15832e-08 2.72994e-06
0.0001 0 2.72976e-06 -3.15832e-08 2.72994e-06
0.0001 0 5.45952e-06 -6.31663e-08 5.45988e-06
0.0001 0 5.45952e-06 -6.31663e-08 5.45988e-06
0.0001 0 -1.15798e-06 -3.81776e-08 1.15861e-06
0.0001 0 -1.15798e-06 -3.81776e-08 1.15861e-06
0.0001 0 -1.64607e-06 -3.54991e-08 1.64645e-06
0.0001 0 -1.64607e-06 -3.54991e-08 1.64645e-06
0.0001 0 -2.83662e-07 4.56064e-08 2.87305e-07
0.0001 0 -2.83662e-07 4.56064e-08 2.87305e-07
0.0001 0 -2.00187e-07 5.09557e-08 2.06571e-07
0.0001 0 -2.00187e-07 5.09557e-08 2.06571e-07
0.0001 0 6.26433e-07 -1.75748e-08 6.2668e-07
0.0001 0 6.26433e-07 -1.75748e-08 6.2668e-07
0.0001 0 6.88315e-07 -2.22186e-08 6.88674e-07
0.0001 0 6.88315e-07 -2.22186e-08 6.88674e-07
0.0001 0 -2.78981e-07 -1.84329e-08 2.79589e-07
0.0001 0 -2.78981e-07 -1.84329e-08 2.79589e-07
0.0001 0 -3.57643e-07 -1.64568e-08 3.58021e-07
0.0001 0 -3.57643e-07 -1.64568e-08 3.58021e-07
0.0001 0 -1.89046e-08 1.32722e-08 2.30984e-08
0.0001 0 -1.89046e-08 1.32722e-08 2.30984e-08
0.0001 0 1.09463e-08 1.57351e-08 1.91681e-08
0.0001 0 1.09463e-08 1.57351e-08 1.91681e-08
0.0001 0 7.92822e-08 -5.86456e-09 7.94988e-08
0.0001 0 7.92822e-08 -5.86456e-09 7.94988e-08
0.0001 0 7.76747e-08 -6.50787e-09 7.79468e-08
0.0001 0 7.76747e-08 -6.50787e-09 7.79468e-08
0.0001 0 -3.08441e-08 -2.13172e-09 3.09177e-08
0.0001 0 -3.08441e-08 -2.13172e-09 3.09177e-08
0.0001 0 -3.5621e-08 -1.41547e-09 3.56491e-08
0.0001 0 -3.5621e-08 -1.41547e-09 3.56491e-08
0.0001 0 3.29291e-09 1.18477e-09 3.49956e-09
0.0001 0 3.29291e-09 1.18477e-09 3.49956e-09
0.0001 0 5.72531e-09 1.36721e-09 5.88629e-09
0.0001 0 5.72531e-09 1.36721e-09 5.88629e-09
0.0001 0 4.08698e-09 -5.22285e-10 4.12022e-09
0.0001 0 4.08698e-09 -5.22285e-10 4.12022e-09
0.0001 0 3.73425e-09 -5.63725e-10 3.77656e-09
0.0001 0 3.73425e-09 -5.63725e-10 3.77656e-09
0.0001 0 -1.43848e-10 -8.27068e-11 1.6593e-10
0.0001 0 -1.43848e-10 -8.27068e-11 1.6593e-10
0.0001 0 -3.01644e-10 -3.08757e-11 3.0322e-10
0.0001 0 -3.01644e-10 -3.08757e-11 3.0322e-10
0.0001 0 1.28054e-09 1.54682e-11 1.28064e-09
0.0001 0 1.28054e-09 1.54682e-11 1.28064e-09
0.0001 0 1.36821e-09 2.16358e-11 1.36838e-09
0.0001 0 1.36821e-09 2.16358e-11 1.36838e-09
0.0001 0 1.16538e-09 -4.01276e-11 1.16607e-09
0.0001 0 1.16538e-09 -4.01276e-11 1.16607e-09
0.0001 0 1.14935e-09 -4.0773e-11 1.15008e-09
0.0001 0 1.14935e-09 -4.0773e-11 1.15008e-09
0.0001 0 1.09249e-09 -2.24476e-11 1.09272e-09
0.0001 0 1.09249e-09 -2.24476e-11 1.09272e-09
0.0001 0 1.0912e-09 -2.08662e-11 1.0914e-09
0.0001 0 1.0912e-09 -2.08662e-11 1.0914e-09
0.0001 0 1.12173e-09 -2.13804e-11 1.12194e-09
0.0001 0 1.12173e-09 -2.13804e-11 1.12194e-09
0.0001 0 1.12296e-09 -2.13609e-11 1.12316e-09
0.0001 0 1.12296e-09 -2.13609e-11 1.12316e-09
0.0001 0 1.11821e-09 -2.23189e-11 1.11843e-09
0.0001 0 1.11821e-09 -2.23189e-11 1.11843e-09
0.0001 0 1.11792e-09 -2.23145e-11 1.11814e-09
0.0001 0 1.11792e-09 -2.23145e-11 1.11814e-09
0.0001 0 1.11749e-09 -2.19996e-11 1.1177e-09
0.0001 0 1.11749e-09 -2.19996e-11 1.1177e-09
0.0002 0 2.18045e-09 -9.31228e-11 2.18244e-09
0.0002 0 2.18045e-09 -9.31228e-11 2.18244e-09
0.0002 0 2.12757e-09 -1.14255e-08 1.16219e-08
0.0002 0 2.12757e-09 -1.14255e-08 1.16219e-08
0.0002 0 1.82039e-09 -1.08663e-09 2.12005e-09
0.0002 0 1.82039e-09 -1.08663e-09 2.12005e-09
0.0002 0 2.98089e-10 -1.36354e-10 3.27795e-10
0.0002 0 2.98089e-10 -1.36354e-10 3.27795e-10
0.0002 0 3.17878e-09 -1.506e-10 3.18235e-09
0.0002 0 3.17878e-09 -1.506e-10 3.18235e-09
0.0002 0 3.13507e-09 -1.38199e-11 3.1351e-09
0.0002 0 3.13507e-09 -1.38199e-11 3.1351e-09
0.0002 0 2.86422e-09 -1.53067e-10 2.8683e-09
0.0002 0 2.86422e-09 -1.53067e-10 2.8683e-09
0.0002 0 2.79239e-09 -1.38639e-10 2.79583e-09
0.0002 0 2.79239e-09 -1.38639e-10 2.79583e-09
0.0002 0 2.72442e-09 -1.17581e-10 2.72696e-09
0.0002 0 2.72442e-09 -1.17581e-10 2.72696e-09
0.0002 0 2.69807e-09 -1.12998e-10 2.70044e-09
0.0002 0 2.69807e-09 -1.12998e-10 2.70044e-09
0.0002 0 2.71121e-09 -1.13025e-10 2.71356e-09
0.0002 0 2.71121e-09 -1.13025e-10 2.71356e-09
0.0002 0 2.70511e-09 -1.12503e-10 2.70745e-09
0.0002 0 2.70511e-09 -1.12503e-10 2.70745e-09
0.0002 0 2.68214e-09 -1.15658e-10 2.68463e-09
0.0002 0 2.68214e-09 -1.15658e-10 2.68463e-09
0.0002 0 2.68034e-09 -1.15684e-10 2.68283e-09
0.0002 0 2.68034e-09 -1.15684e-10 2.68283e-09
0.0002 0 2.68147e-09 -1.15381e-10 2.68395e-09
0.0002 0 2.68147e-09 -1.15381e-10 2.68395e-09
0.0002 0 2.68236e-09 -1.15391e-10 2.68484e-09
0.0002 0 2.68236e-09 -1.15391e-10 2.68484e-09
0.0003 0 4.22562e-09 -3.50469e-10 4.24013e-09
0.0003 0 4.22562e-09 -3.50469e-10 4.24013e-09
0.0003 0 3.66888e-08 9.12502e-09 3.78065e-08
0.0003 0 3.66888e-08 9.12502e-09 3.78065e-08
0.0003 0 -2.0146e-09 -2.38443e-10 2.02866e-09
0.0003 0 -2.0146e-09 -2.38443e-10 2.02866e-09
0.0003 0 3.82442e-09 -5.00772e-10 3.85706e-09
0.0003 0 3.82442e-09 -5.00772e-10 3.85706e-09
0.0003 0 6.06334e-09 -4.42775e-10 6.07948e-09
