TimeWindow  TotalIterations  Iterations  Convergence  
     1      27      27       1  
     2      37      10       1  
     3      45       8       1  
     4      55      10       1  
     5      64       9       1  
     6      72       8       1  
     7      79       7       1  
     8      87       8       1  
     9      94       7       1  
    10     100       6       1  
    11     105       5       1  
    12     110       5       1  
    13     116       6       1  
    14     122       6       1  
    15     128       6       1  
    16     136       8       1  
    17     153      17       1  
    18     163      10       1  
    19     174      11       1  
    20     185      11       1  
    21     195      10       1  
    22     205      10       1  
    23     214       9       1  
    24     223       9       1  
    25     231       8       1  
    26     239       8       1  
    27     249      10       1  
    28     256       7       1  
    29     265       9       1  
    30     277      12       1  
    31     289      12       1  
    32     300      11       1  
    33     310      10       1  
    34     318       8       1  
    35     325       7       1  
    36     332       7       1  
    37     340       8       1  
    38     348       8       1  
    39     356       8       1  
    40     364       8       1  
    41     372       8       1  
    42     379       7       1  
    43     389      10       1  
    44     397       8       1  
    45     404       7       1  
    46     410       6       1  
    47     417       7       1  
    48     425       8       1  
    49     434       9       1  
    50     441       7       1  
    51     448       7       1  
    52     456       8       1  
    53     465       9       1  
    54     471       6       1  
    55     477       6       1  
    56     485       8       1  
    57     492       7       1  
    58     500       8       1  
    59     507       7       1  
    60     515       8       1  
    61     522       7       1  
    62     531       9       1  
    63     539       8       1  
    64     547       8       1  
    65     553       6       1  
    66     561       8       1  
    67     569       8       1  
    68     576       7       1  
    69     583       7       1  
    70     590       7       1  
    71     597       7       1  
    72     606       9       1  
    73     613       7       1  
    74     620       7       1  
    75     629       9       1  
    76     638       9       1  
    77     646       8       1  
    78     653       7       1  
    79     662       9       1  
    80     668       6       1  
    81     675       7       1  
    82     682       7       1  
    83     688       6       1  
    84     696       8       1  
    85     704       8       1  
    86     711       7       1  
    87     719       8       1  
    88     727       8       1  
    89     734       7       1  
    90     743       9       1  
    91     750       7       1  
    92     756       6       1  
    93     763       7       1  
    94     769       6       1  
    95     777       8       1  
    96     783       6       1  
    97     790       7       1  
    98     796       6       1  
    99     803       7       1  
   100     812       9       1  
   101     819       7       1  
   102     827       8       1  
   103     833       6       1  
   104     840       7       1  
   105     848       8       1  
   106     857       9       1  
   107     865       8       1  
   108     873       8       1  
   109     882       9       1  
   110     890       8       1  
   111     897       7       1  
   112     906       9       1  
   113     914       8       1  
   114     923       9       1  
   115     931       8       1  
   116     940       9       1  
   117     949       9       1  
   118     958       9       1  
   119     969      11       1  
   120     979      10       1  
   121     989      10       1  
   122    1000      11       1  
   123    1011      11       1  
   124    1024      13       1  
   125    1036      12       1  
   126    1048      12       1  
   127    1059      11       1  
   128    1073      14       1  
   129    1086      13       1  
   130    1096      10       1  
   131    1108      12       1  
   132    1119      11       1  
   133    1130      11       1  
   134    1141      11       1  
   135    1148       7       1  
   136    1155       7       1  
   137    1162       7       1  
   138    1168       6       1  
   139    1174       6       1  
   140    1180       6       1  
   141    1187       7       1  
   142    1193       6       1  
   143    1199       6       1  
   144    1206       7       1  
   145    1213       7       1  
   146    1219       6       1  
   147    1226       7       1  
   148    1233       7       1  
   149    1240       7       1  
   150    1247       7       1  
   151    1254       7       1  
   152    1261       7       1  
   153    1269       8       1  
   154    1276       7       1  
   155    1282       6       1  
   156    1288       6       1  
   157    1294       6       1  
   158    1299       5       1  
   159    1306       7       1  
   160    1314       8       1  
   161    1321       7       1  
   162    1327       6       1  
   163    1335       8       1  
   164    1343       8       1  
   165    1351       8       1  
   166    1358       7       1  
   167    1366       8       1  
   168    1373       7       1  
   169    1382       9       1  
   170    1390       8       1  
   171    1399       9       1  
   172    1407       8       1  
   173    1415       8       1  
   174    1423       8       1  
   175    1430       7       1  
   176    1436       6       1  
   177    1442       6       1  
   178    1448       6       1  
   179    1455       7       1  
   180    1463       8       1  
   181    1472       9       1  
   182    1480       8       1  
   183    1488       8       1  
   184    1496       8       1  
   185    1503       7       1  
   186    1510       7       1  
   187    1515       5       1  
   188    1523       8       1  
   189    1530       7       1  
   190    1538       8       1  
   191    1545       7       1  
   192    1551       6       1  
   193    1557       6       1  
   194    1563       6       1  
   195    1569       6       1  
   196    1576       7       1  
   197    1582       6       1  
   198    1590       8       1  
   199    1597       7       1  
   200    1604       7       1  
