TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
     1       1              inf   1.00000000e+00  
     1       2   1.00000000e+00   5.00000000e-01  
     1       3   5.00000000e-01   1.02551095e+00  
     1       4   9.12557867e-01   1.00684992e+00  
     1       5   8.54747238e-01   1.29467886e+00  
     1       6   8.72998988e-01   8.27522020e-01  
     1       7   7.56442142e-01   1.10845991e+00  
     1       8   7.29720083e-01   6.34133489e-01  
     1       9   5.83064367e-01   8.43836982e-01  
     1      10   5.39380310e-01   4.12697062e-01  
     1      11   3.87221067e-01   5.12600865e-01  
     1      12   3.26938623e-01   2.03428035e-01  
     1      13   2.08167028e-01   2.46758400e-01  
     1      14   1.59382942e-01   8.15708120e-02  
     1      15   9.27969746e-02   1.01209898e-01  
     1      16   6.62801637e-02   2.91053135e-02  
     1      17   3.61374582e-02   3.73933569e-02  
     1      18   2.45875534e-02   9.80387259e-03  
     1      19   1.26844364e-02   1.27664326e-02  
     1      20   8.35623020e-03   3.14670175e-03  
     1      21   4.08871388e-03   4.06316085e-03  
     1      22   2.63565360e-03   9.80255448e-04  
     1      23   1.22325442e-03   1.21327864e-03  
     1      24   7.78748393e-04   2.96800926e-04  
     1      25   3.40844216e-04   3.39756905e-04  
     1      26   2.16999286e-04   8.60601717e-05  
     1      27   8.83189570e-05   9.05012385e-05  
     1      28   5.76684887e-05   2.47272545e-05  
     1      29   2.13715202e-05   2.24122920e-05  
     1      30   1.47454294e-05   5.55504813e-06  
     1      31   4.79415295e-06   5.52832770e-06  
     1      32   3.59809344e-06   1.33111473e-06  
     1      33   1.02082892e-06   2.41290449e-06  
     1      34   8.27356981e-07   4.13478869e-07  
     2       1   5.68769958e-01   9.67503901e-01  
     2       2   7.68494140e-03   1.03919091e-01  
     2       3   4.88408754e-03   1.05734576e-02  
     2       4   3.41959466e-03   3.62642725e-03  
     2       5   9.75964562e-04   5.09269482e-03  
     2       6   6.73728763e-04   2.53412995e-03  
     2       7   1.63867145e-04   1.64509305e-03  
     2       8   1.19896807e-04   8.90169827e-04  
     2       9   5.83274401e-05   4.58952711e-04  
     2      10   4.51704976e-05   1.55159917e-04  
     2      11   2.38454511e-05   3.50090452e-05  
     2      12   1.52498980e-05   2.87224400e-05  
     2      13   8.07302078e-06   2.37927694e-05  
     2      14   4.34689412e-06   2.62217537e-05  
     2      15   1.71223671e-06   9.96966753e-06  
     2      16   9.11564262e-07   3.65371946e-06  
     3       1   4.29925576e-01   9.74001624e-01  
     3       2   2.08667296e-02   1.71134325e-01  
     3       3   3.55649584e-03   4.32120430e-02  
     3       4   2.03006655e-03   3.72415817e-02  
     3       5   1.01024471e-03   1.42147848e-02  
     3       6   8.33644879e-04   1.13497678e-02  
     3       7   2.58078331e-04   4.47008993e-03  
     3       8   2.18069015e-04   3.88818280e-03  
     3       9   1.13328007e-04   2.09239752e-03  
     3      10   6.73551184e-05   4.13888352e-04  
     3      11   2.97896328e-05   4.85340472e-04  
     3      12   1.54351300e-05   2.53220576e-05  
     3      13   4.35966515e-06   5.16936081e-05  
     3      14   2.93937946e-06   3.26418795e-05  
     3      15   1.53741727e-06   1.15360925e-05  
     3      16   7.92837790e-07   1.56032513e-05  
     4       1   3.35111344e-01   9.78540822e-01  
     4       2   7.17768774e-03   7.07167698e-02  
     4       3   1.39920828e-03   3.04678082e-02  
     4       4   8.04814434e-04   2.68238038e-02  
     4       5   4.86190902e-04   1.62788441e-02  
     4       6   2.59466506e-04   1.09465503e-02  
     4       7   1.13276432e-04   4.15116899e-03  
     4       8   8.33494363e-05   3.01444613e-03  
     4       9   3.47297915e-05   5.78768163e-04  
     4      10   3.34423618e-05   1.67793842e-04  
     4      11   8.88431260e-06   4.53309985e-05  
     4      12   3.82946830e-06   1.32413450e-05  
     4      13   1.12474244e-06   1.00508117e-05  
     4      14   7.03524049e-07   2.46077126e-06  
     5       1   2.72428202e-01   9.80659936e-01  
     5       2   3.76141274e-03   1.35195900e-01  
     5       3   7.24500196e-04   1.96320703e-02  
     5       4   2.58189085e-04   1.42629503e-03  
     5       5   9.94310929e-05   3.59173129e-03  
     5       6   5.03161540e-05   1.58542110e-03  
     5       7   1.64029042e-05   1.28278931e-03  
     5       8   9.84728132e-06   5.63679750e-04  
     5       9   3.79968140e-06   9.89328533e-05  
     5      10   3.30675322e-06   8.72209649e-05  
     5      11   9.84258241e-07   2.43517111e-06  
     6       1   2.28553861e-01   9.81611208e-01  
     6       2   7.71388852e-04   6.34151000e-02  
     6       3   7.13920094e-04   3.95508941e-03  
     6       4   1.89143898e-04   8.66377595e-03  
     6       5   5.54344968e-05   5.13580444e-03  
     6       6   3.63135281e-05   2.78682856e-03  
     6       7   1.20171248e-05   1.60326978e-03  
     6       8   8.89901749e-06   8.05506690e-04  
     6       9   3.06897951e-06   4.13412475e-04  
     6      10   1.95037551e-06   1.75412402e-04  
     6      11   8.79737617e-07   7.77178724e-05  
     7       1   1.95983837e-01   9.82032788e-01  
     7       2   1.36669142e-03   4.65868207e-02  
     7       3   2.22617022e-04   1.73398303e-02  
     7       4   8.59446079e-05   1.03741683e-03  
     7       5   4.71903448e-05   4.71985325e-04  
     7       6   1.31285212e-05   1.79287304e-04  
     7       7   5.50212978e-06   8.42875353e-05  
     7       8   2.03670713e-06   9.56640282e-05  
     7       9   1.09741573e-06   4.06144585e-05  
     7      10   4.41416360e-07   1.76553516e-05  
     8       1   1.70821755e-01   9.82164206e-01  
     8       2   1.07975403e-03   2.93883874e-02  
     8       3   1.44161205e-04   9.17475550e-04  
     8       4   4.45798129e-05   6.37997156e-04  
     8       5   2.24287787e-05   1.55567463e-04  
     8       6   8.79902063e-06   1.48469494e-03  
     8       7   4.10229802e-06   1.39168122e-04  
     8       8   1.92640382e-06   4.29586510e-05  
     8       9   7.46286478e-07   1.74738404e-05  
     9       1   1.50837051e-01   9.82132476e-01  
     9       2   1.42980665e-03   2.00468440e-02  
     9       3   1.49255991e-04   2.24267094e-02  
     9       4   6.39562831e-05   2.48820338e-03  
     9       5   3.57447637e-05   1.57256291e-03  
     9       6   2.47727384e-05   5.11089256e-04  
     9       7   5.04771180e-06   1.03729462e-04  
     9       8   2.11770756e-06   1.51732171e-04  
     9       9   1.31699720e-06   3.54639163e-05  
     9      10   5.18502742e-07   1.15656794e-05  
    10       1   1.34637789e-01   9.81995056e-01  
    10       2   1.88152478e-03   4.20879055e-03  
    10       3   1.47341919e-04   9.12841819e-02  
    10       4   9.53532673e-05   4.15939250e-02  
    10       5   5.11669567e-05   6.72561856e-03  
    10       6   3.50438554e-05   1.43488393e-03  
    10       7   1.18463340e-05   4.71323578e-04  
    10       8   5.15715647e-06   2.05333067e-04  
    10       9   2.35074832e-06   2.02141660e-04  
    10      10   8.93191816e-07   9.00181521e-05  
    11       1   1.21310138e-01   9.81790090e-01  
    11       2   3.26841712e-03   4.35283849e-02  
    11       3   1.61896098e-03   6.85354515e-02  
    11       4   1.52734388e-03   3.15838046e-02  
    11       5   5.15906948e-04   1.00399993e-02  
    11       6   2.74582021e-04   2.61339790e-02  
    11       7   8.63453120e-05   6.37705005e-03  
    11       8   4.46979605e-05   2.37414459e-03  
    11       9   2.14621092e-05   1.08077834e-03  
    11      10   1.03773137e-05   5.45646648e-04  
    11      11   5.72052662e-06   5.11032106e-04  
    11      12   3.18220326e-06   3.70960701e-05  
    11      13   1.19998649e-06   5.38490101e-05  
    11      14   4.95534558e-07   1.52324319e-05  
    12       1   1.10215452e-01   9.81552732e-01  
    12       2   4.68796448e-03   3.75212122e-02  
    12       3   6.32866610e-04   3.30430512e-02  
    12       4   4.30193413e-04   1.83541482e-02  
    12       5   1.62816697e-04   1.23798878e-02  
    12       6   6.75315388e-05   7.07958700e-04  
    12       7   2.78847186e-05   1.53050146e-03  
    12       8   1.22161315e-05   9.14373168e-05  
    12       9   3.34689650e-06   2.05285200e-04  
    12      10   1.58733993e-06   1.25793780e-04  
    12      11   7.20657612e-07   3.38418120e-05  
    13       1   1.00908828e-01   9.81283763e-01  
    13       2   2.19620162e-03   1.46987104e-02  
    13       3   3.19095065e-04   4.33880466e-02  
    13       4   1.65444213e-04   8.72081170e-03  
    13       5   7.00681162e-05   2.49543873e-03  
    13       6   2.74664655e-05   7.13506064e-04  
    13       7   1.14256405e-05   9.41802497e-05  
    13       8   5.03591121e-06   1.80473277e-04  
    13       9   1.39928070e-06   5.90400877e-05  
    13      10   6.88875576e-07   3.28498354e-05  
    14       1   9.30477356e-02   9.81001902e-01  
    14       2   2.65835321e-03   1.75776566e-02  
    14       3   2.63175382e-04   9.66330265e-03  
    14       4   9.57786194e-05   6.09307882e-03  
    14       5   4.32202262e-05   1.08937109e-03  
    14       6   1.72354447e-05   8.98217341e-04  
    14       7   7.45609277e-06   1.04788063e-04  
    14       8   2.93061576e-06   1.46616934e-04  
    14       9   1.11626651e-06   4.44153786e-05  
    14      10   4.95799912e-07   1.12475632e-05  
    15       1   8.63744629e-02   9.80712573e-01  
    15       2   2.28006370e-03   2.88667550e-02  
    15       3   3.29360642e-04   6.83325365e-03  
    15       4   1.32597483e-04   8.97414191e-04  
    15       5   4.41724751e-05   3.54890923e-04  
    15       6   1.55477823e-05   4.00200568e-04  
    15       7   7.26399070e-06   9.86059359e-05  
    15       8   2.62363245e-06   1.05799458e-04  
    15       9   1.40072995e-06   3.31978327e-05  
    15      10   4.06869678e-07   3.56977691e-06  
    16       1   8.06863566e-02   9.80418489e-01  
    16       2   2.74794269e-03   5.20441475e-02  
    16       3   2.33118207e-04   8.26453110e-03  
    16       4   7.17722428e-05   1.69761009e-03  
    16       5   2.23700775e-05   8.96399438e-05  
    16       6   7.85423657e-06   1.62656558e-04  
    16       7   3.66977126e-06   1.29176931e-04  
    16       8   1.57367031e-06   7.86362800e-05  
    16       9   6.54394356e-07   2.50536397e-05  
    17       1   7.58201634e-02   9.80121448e-01  
    17       2   2.17172833e-03   6.64026175e-02  
    17       3   4.41016552e-04   1.71739347e-02  
    17       4   1.09345445e-04   2.33683125e-03  
    17       5   3.96251058e-05   1.37949748e-03  
    17       6   1.21821234e-05   2.00632542e-04  
    17       7   5.29233875e-06   5.88503410e-05  
    17       8   1.89930775e-06   3.87263215e-05  
    17       9   7.78451112e-07   4.07767982e-05  
    18       1   7.16378187e-02   9.79826672e-01  
    18       2   2.41474344e-03   7.50826543e-02  
    18       3   2.49156628e-04   1.06950125e-02  
    18       4   1.33386934e-04   5.92378350e-03  
    18       5   4.44505923e-05   6.72610506e-04  
    18       6   1.52698322e-05   3.62162551e-04  
    18       7   4.81255148e-06   8.92659668e-05  
    18       8   1.69439364e-06   2.52314432e-05  
    18       9   6.61783226e-07   6.07372474e-06  
    19       1   6.80336074e-02   9.79528276e-01  
    19       2   2.87018857e-03   7.36174852e-02  
    19       3   5.95966853e-04   8.04626500e-02  
    19       4   1.79991031e-04   8.26962298e-03  
    19       5   5.44202258e-05   3.36658573e-03  
    19       6   1.95164105e-05   3.95204095e-04  
    19       7   7.78376533e-06   3.07532100e-04  
    19       8   3.11240573e-06   4.55996019e-05  
    19       9   1.23823280e-06   9.67198805e-05  
    19      10   4.64241522e-07   2.28310613e-05  
    20       1   6.49098809e-02   9.79230653e-01  
    20       2   2.31654902e-03   5.34066433e-02  
    20       3   2.67887463e-04   3.07917167e-02  
    20       4   1.38770181e-04   1.05894144e-02  
    20       5   4.40800490e-05   1.34295858e-03  
    20       6   1.64345090e-05   9.74932503e-04  
    20       7   6.35185578e-06   1.97918884e-04  
    20       8   1.86758212e-06   3.19075043e-05  
    20       9   8.68544997e-07   1.35197145e-05  
    21       1   6.21873248e-02   9.78934806e-01  
    21       2   2.67284396e-03   3.66179462e-02  
    21       3   3.49243976e-04   2.50097882e-02  
    21       4   1.27336290e-04   8.21426055e-03  
    21       5   4.57516527e-05   3.47532990e-03  
    21       6   1.52341613e-05   5.76390968e-04  
    21       7   6.19966428e-06   6.44809928e-05  
    21       8   2.09686127e-06   1.45987258e-04  
    21       9   8.19146040e-07   3.48294690e-05  
    22       1   5.98026458e-02   9.78635260e-01  
    22       2   2.06878449e-03   3.30213097e-02  
    22       3   2.08644251e-04   2.23182760e-02  
    22       4   9.84323463e-05   1.26618254e-03  
    22       5   2.79797651e-05   2.93813920e-03  
    22       6   1.06044866e-05   4.46821679e-04  
    22       7   3.86686696e-06   1.15507716e-04  
    22       8   1.30579867e-06   6.01436319e-05  
    22       9   5.55655300e-07   2.82940450e-05  
    23       1   5.76950258e-02   9.78336835e-01  
    23       2   1.90393471e-03   3.19605082e-02  
    23       3   2.78931012e-04   1.85615593e-02  
    23       4   1.21056885e-04   8.76999915e-04  
    23       5   2.50027738e-05   1.43541089e-03  
    23       6   1.07459647e-05   2.58736761e-04  
    23       7   3.00099244e-06   1.20372751e-04  
    23       8   1.10319461e-06   5.36709027e-05  
    23       9   3.35019514e-07   2.56093828e-05  
    24       1   5.58186007e-02   9.78036662e-01  
    24       2   2.10565379e-03   2.44030649e-02  
    24       3   2.48720018e-04   5.67355400e-02  
    24       4   1.50567598e-04   1.22572457e-02  
    24       5   4.01921939e-05   1.82956059e-03  
    24       6   1.74362161e-05   5.64879737e-04  
    24       7   5.47038501e-06   5.22305201e-04  
    24       8   1.94649251e-06   2.88703809e-04  
    24       9   6.05148397e-07   1.90237923e-05  
    25       1   5.41300310e-02   9.77734004e-01  
    25       2   2.10421725e-03   1.99559124e-02  
    25       3   1.19114569e-04   3.06595062e-02  
    25       4   6.74695590e-05   2.04581188e-03  
    25       5   1.88615999e-05   3.26259059e-03  
    25       6   8.48414618e-06   5.25870601e-04  
    25       7   3.20960291e-06   2.52269054e-04  
    25       8   1.33229993e-06   4.09982889e-05  
    25       9   4.21254794e-07   1.64059666e-05  
    26       1   5.25884785e-02   9.77428061e-01  
    26       2   2.03415331e-03   1.63990961e-02  
    26       3   1.20519530e-04   3.40342439e-02  
    26       4   8.10697879e-05   8.97403824e-03  
    26       5   2.67072698e-05   2.87388177e-03  
    26       6   9.32010640e-06   7.53036342e-04  
    26       7   4.17181199e-06   3.82656779e-04  
    26       8   1.09703593e-06   4.14855019e-05  
    26       9   3.60284940e-07   1.44231063e-05  
    27       1   5.11576058e-02   9.77118845e-01  
    27       2   2.65733761e-03   3.41321316e-02  
    27       3   1.64457040e-04   1.14959895e-02  
    27       4   8.04173074e-05   4.89114556e-03  
    27       5   2.46905845e-05   4.97791268e-04  
    27       6   7.24835158e-06   9.53183066e-05  
    27       7   2.22523954e-06   1.32696992e-04  
    27       8   8.82137871e-07   9.82489183e-05  
    28       1   4.98047951e-02   9.76807025e-01  
    28       2   1.43645086e-03   2.25350539e-02  
    28       3   1.14125722e-04   1.24190705e-03  
    28       4   3.37512687e-05   2.66754015e-03  
    28       5   1.14015203e-05   2.85302916e-04  
    28       6   3.48663204e-06   1.12786875e-04  
    28       7   1.11804567e-06   9.19367762e-06  
    28       8   4.64242317e-07   2.59588637e-05  
    29       1   4.85095768e-02   9.76480273e-01  
    29       2   1.49151542e-03   3.70520625e-02  
    29       3   3.01245081e-04   5.88769130e-02  
    29       4   8.85698009e-05   1.50066446e-02  
    29       5   4.55817095e-05   4.11525698e-03  
    29       6   1.07281176e-05   3.77924175e-05  
    29       7   2.43397509e-06   1.91592648e-04  
    29       8   9.85925647e-07   8.08654497e-05  
    30       1   4.72284802e-02   9.76156058e-01  
    30       2   1.06832975e-03   1.44241450e-02  
    30       3   1.86537628e-04   7.72483200e-03  
    30       4   7.72381814e-05   4.47438500e-03  
    30       5   2.91510607e-05   2.58464041e-03  
    30       6   1.20842277e-05   9.82284715e-04  
    30       7   4.11599984e-06   1.39332753e-05  
    30       8   1.02475774e-06   1.03749142e-04  
    30       9   3.94559587e-07   9.46695286e-06  
    31       1   4.59530586e-02   9.75664288e-01  
    31       2   2.81405378e-02   3.44212882e-02  
    31       3   9.79627732e-04   2.56794991e-01  
    31       4   1.34740482e-03   3.05249732e-01  
    31       5   1.41235587e-03   8.52820888e-02  
    31       6   8.67638051e-04   7.88503450e-02  
    31       7   4.03491688e-04   2.81659523e-02  
    31       8   1.30894372e-04   3.31310906e-03  
    31       9   5.48282860e-05   2.44985760e-03  
    31      10   1.56217299e-05   5.53957117e-04  
    31      11   6.09784601e-06   3.45942230e-04  
    31      12   2.14363370e-06   2.79816594e-04  
    31      13   8.39814360e-07   4.09749800e-05  
    32       1   4.76130932e-02   9.75423122e-01  
    32       2   1.43758958e-02   9.32299915e-03  
    32       3   3.60974519e-04   2.23823117e-01  
    32       4   6.17502638e-04   1.41782039e-01  
    32       5   7.51854417e-04   1.02543491e-01  
    32       6   7.66982837e-04   7.15297043e-02  
    32       7   4.78054764e-04   2.27660718e-02  
    32       8   2.38834051e-04   2.30470338e-02  
    32       9   8.85218847e-05   9.34447457e-03  
    32      10   4.09106667e-05   7.89536031e-03  
    32      11   2.20244603e-05   4.33499778e-03  
    32      12   1.01099695e-05   1.97133748e-03  
    32      13   3.80976683e-06   3.68957894e-04  
    32      14   1.44915544e-06   1.26065496e-04  
    32      15   4.62589564e-07   2.22104126e-05  
    33       1   4.93755251e-02   9.74872882e-01  
    33       2   4.26736023e-03   1.61837801e-02  
    33       3   4.06022669e-04   3.19938951e-01  
    33       4   3.03064308e-04   2.76004952e-02  
    33       5   8.08261706e-05   2.51216349e-02  
    33       6   3.68729162e-05   2.42827837e-03  
    33       7   1.18196320e-05   2.19148122e-03  
    33       8   4.96533891e-06   1.08883200e-04  
    33       9   1.86489408e-06   3.15694240e-04  
    33      10   6.58059184e-07   2.12565837e-05  
    34       1   5.05694279e-02   9.74273768e-01  
    34       2   4.53151031e-03   5.60693214e-03  
    34       3   2.47534785e-04   1.34629938e-01  
    34       4   3.23812955e-04   1.04619235e-01  
    34       5   2.48820189e-04   4.74135794e-02  
    34       6   1.36080069e-04   2.82183004e-02  
    34       7   6.32425083e-05   1.99334807e-02  
    34       8   2.24271582e-05   7.02896274e-03  
    34       9   8.42143403e-06   1.84513089e-04  
    34      10   3.10736406e-06   1.89813467e-04  
    34      11   1.20161132e-06   2.44868672e-05  
    34      12   4.34235285e-07   3.99565494e-05  
    35       1   5.15391536e-02   9.73708621e-01  
    35       2   2.77711500e-03   9.06303045e-02  
    35       3   1.10109427e-03   6.67950548e-02  
    35       4   4.74184879e-04   2.81784368e-03  
    35       5   1.03838459e-04   3.61214310e-03  
    35       6   4.51344231e-05   2.15261976e-03  
    35       7   1.53465891e-05   1.93382957e-04  
    35       8   4.79915778e-06   5.34488572e-04  
    35       9   2.34118799e-06   2.18054739e-04  
    35      10   9.30559000e-07   6.33699329e-05  
