TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
     1      27      27       1      26       0       0  
     2      37      10       1      34       1       0  
     3      45       8       1      40       1       0  
     4      55      10       1      47       2       0  
     5      64       9       1      54       1       0  
     6      72       8       1      60       1       0  
     7      79       7       1      65       1       0  
     8      87       8       1      71       1       0  
     9      94       7       1      76       1       0  
    10     100       6       1      80       1       0  
    11     105       5       1      83       1       0  
    12     110       5       1      86       1       0  
    13     116       6       1      90       1       0  
    14     122       6       1      94       1       0  
    15     128       6       1      98       1       0  
    16     136       8       1      81       1      23  
    17     153      17       1      88       1       8  
    18     163      10       1      90       1       6  
    19     174      11       1      91       1       8  
    20     185      11       1      93       1       7  
    21     195      10       1      95       1       6  
    22     205      10       1      98       1       5  
    23     214       9       1      99       1       6  
    24     223       9       1     100       1       6  
    25     231       8       1     100       1       6  
    26     239       8       1     100       1       6  
    27     249      10       1     100       0       9  
    28     256       7       1     100       2       4  
    29     265       9       1     100       1       7  
    30     277      12       1     100       0      11  
    31     289      12       1     100       1      10  
    32     300      11       1     100       0      10  
    33     310      10       1     100       1       8  
    34     318       8       1     100       1       6  
    35     325       7       1     100       1       5  
    36     332       7       1     100       1       5  
    37     340       8       1     100       1       6  
    38     348       8       1     100       1       6  
    39     356       8       1     100       1       6  
    40     364       8       1     100       1       6  
    41     372       8       1     100       1       6  
    42     379       7       1     100       1       5  
    43     389      10       1     100       1       8  
    44     397       8       1     100       1       6  
    45     404       7       1      99       1       6  
    46     410       6       1      93       1      10  
    47     417       7       1      89       1       9  
    48     425       8       1      87       1       8  
    49     434       9       1      88       1       6  
    50     441       7       1      88       1       5  
    51     448       7       1      88       1       5  
    52     456       8       1      88       1       6  
    53     465       9       1      89       1       6  
    54     471       6       1      87       1       6  
    55     477       6       1      85       1       6  
    56     485       8       1      85       1       6  
    57     492       7       1      85       1       5  
    58     500       8       1      83       1       8  
    59     507       7       1      82       1       6  
    60     515       8       1      83       1       5  
    61     522       7       1      84       1       4  
    62     531       9       1      86       1       5  
    63     539       8       1      86       1       6  
    64     547       8       1      85       1       7  
    65     553       6       1      84       1       5  
    66     561       8       1      85       1       5  
    67     569       8       1      85       1       6  
    68     576       7       1      83       1       7  
    69     583       7       1      84       1       4  
    70     590       7       1      85       1       4  
    71     597       7       1      84       1       6  
    72     606       9       1      86       1       5  
