# Time forceX forceY forceZ normalForce
2.5e-05 0 0 0 0
2.5e-05 0 0 0 0
2.5e-05 0.0833254 0.0833254 2.73133e-06 -0.13083
2.5e-05 0.0833254 0.0833254 2.73133e-06 -0.13083
2.5e-05 0.166651 0.166651 5.46265e-06 -0.26166
2.5e-05 0.166651 0.166651 5.46265e-06 -0.26166
2.5e-05 0.0305476 0.0305476 2.2014e-06 -0.0479685
2.5e-05 0.0305476 0.0305476 2.2014e-06 -0.0479685
2.5e-05 0.0205165 0.0205165 6.77171e-06 -0.0322187
2.5e-05 0.0205165 0.0205165 6.77171e-06 -0.0322187
2.5e-05 0.0204499 0.0204499 -4.47335e-06 -0.0321183
2.5e-05 0.0204499 0.0204499 -4.47335e-06 -0.0321183
2.5e-05 0.0204461 0.0204461 -3.82305e-06 -0.0321125
2.5e-05 0.0204461 0.0204461 -3.82305e-06 -0.0321125
2.5e-05 0.00717189 0.00717189 -1.34988e-05 -0.0112769
2.5e-05 0.00717189 0.00717189 -1.34988e-05 -0.0112769
2.5e-05 0.00633204 0.00633205 -1.11979e-05 -0.00995844
2.5e-05 0.00633204 0.00633205 -1.11979e-05 -0.00995844
2.5e-05 0.00778692 0.00778692 -1.82947e-05 -0.0122443
2.5e-05 0.00778692 0.00778692 -1.82947e-05 -0.0122443
2.5e-05 0.00791355 0.00791356 -1.49677e-05 -0.012443
2.5e-05 0.00791355 0.00791356 -1.49677e-05 -0.012443
2.5e-05 0.00521671 0.00521672 -1.81089e-05 -0.00820853
2.5e-05 0.00521671 0.00521672 -1.81089e-05 -0.00820853
2.5e-05 0.00497374 0.00497374 -1.40915e-05 -0.0078267
2.5e-05 0.00497374 0.00497374 -1.40915e-05 -0.0078267
2.5e-05 0.00584979 0.00584979 -1.39198e-05 -0.00919909
2.5e-05 0.00584979 0.00584979 -1.39198e-05 -0.00919909
2.5e-05 0.00594155 0.00594155 -9.89333e-06 -0.00934256
2.5e-05 0.00594155 0.00594155 -9.89333e-06 -0.00934256
2.5e-05 0.0053863 0.0053863 -8.08181e-06 -0.00846923
2.5e-05 0.0053863 0.0053863 -8.08181e-06 -0.00846923
2.5e-05 0.00475999 0.00475999 5.41684e-06 -0.00748393
2.5e-05 0.00475999 0.00475999 5.41684e-06 -0.00748393
2.5e-05 0.00526803 0.00526803 5.44809e-06 -0.00828104
2.5e-05 0.00526803 0.00526803 5.44809e-06 -0.00828104
2.5e-05 0.00549288 0.00549288 6.48116e-06 -0.00863426
2.5e-05 0.00549288 0.00549288 6.48116e-06 -0.00863426
2.5e-05 0.00537577 0.00537577 6.84576e-06 -0.00845116
2.5e-05 0.00537577 0.00537577 6.84576e-06 -0.00845116
2.5e-05 0.00541198 0.00541198 7.25745e-06 -0.00850813
2.5e-05 0.00541198 0.00541198 7.25745e-06 -0.00850813
2.5e-05 0.00552277 0.00552277 7.52955e-06 -0.00868227
2.5e-05 0.00552277 0.00552277 7.52955e-06 -0.00868227
2.5e-05 0.00553988 0.00553988 7.66159e-06 -0.00870913
2.5e-05 0.00553988 0.00553988 7.66159e-06 -0.00870913
2.5e-05 0.00551396 0.00551396 7.79072e-06 -0.00866842
2.5e-05 0.00551396 0.00551396 7.79072e-06 -0.00866842
2.5e-05 0.00551658 0.00551658 7.82504e-06 -0.00867253
2.5e-05 0.00551658 0.00551658 7.82504e-06 -0.00867253
2.5e-05 0.00553395 0.00553395 7.87073e-06 -0.00869969
2.5e-05 0.00553395 0.00553395 7.87073e-06 -0.00869969
2.5e-05 0.00553524 0.00553524 7.87724e-06 -0.00870171
2.5e-05 0.00553524 0.00553524 7.87724e-06 -0.00870171
2.5e-05 0.00553091 0.00553091 7.88943e-06 -0.00869493
2.5e-05 0.00553091 0.00553091 7.88943e-06 -0.00869493
2.5e-05 0.00553108 0.00553108 7.88965e-06 -0.0086952
2.5e-05 0.00553108 0.00553108 7.88965e-06 -0.0086952
2.5e-05 0.00553333 0.00553333 7.89173e-06 -0.00869873
2.5e-05 0.00553333 0.00553333 7.89173e-06 -0.00869873
2.5e-05 0.00553344 0.00553344 7.89109e-06 -0.00869891
2.5e-05 0.00553344 0.00553344 7.89109e-06 -0.00869891
2.5e-05 0.00553287 0.00553287 7.89096e-06 -0.00869801
2.5e-05 0.00553287 0.00553287 7.89096e-06 -0.00869801
2.5e-05 0.00553288 0.00553288 7.89048e-06 -0.00869803
2.5e-05 0.00553288 0.00553288 7.89048e-06 -0.00869803
2.5e-05 0.00553313 0.00553313 7.89015e-06 -0.00869843
2.5e-05 0.00553313 0.00553313 7.89015e-06 -0.00869843
2.5e-05 0.00553314 0.00553314 7.8899e-06 -0.00869844
2.5e-05 0.00553314 0.00553314 7.8899e-06 -0.00869844
2.5e-05 0.00553308 0.00553308 7.88969e-06 -0.00869835
2.5e-05 0.00553308 0.00553308 7.88969e-06 -0.00869835
2.5e-05 0.00553308 0.00553308 7.88957e-06 -0.00869834
2.5e-05 0.00553308 0.00553308 7.88957e-06 -0.00869834
2.5e-05 0.0055331 0.0055331 7.88949e-06 -0.00869839
2.5e-05 0.0055331 0.0055331 7.88949e-06 -0.00869839
2.5e-05 0.0055331 0.0055331 7.88944e-06 -0.00869839
2.5e-05 0.0055331 0.0055331 7.88944e-06 -0.00869839
2.5e-05 0.0055331 0.0055331 7.88939e-06 -0.00869837
2.5e-05 0.0055331 0.0055331 7.88939e-06 -0.00869837
2.5e-05 0.0055331 0.0055331 7.88938e-06 -0.00869837
2.5e-05 0.0055331 0.0055331 7.88938e-06 -0.00869837
2.5e-05 0.0055331 0.0055331 7.88936e-06 -0.00869837
2.5e-05 0.0055331 0.0055331 7.88936e-06 -0.00869837
