# Time Dx Dy Dz magD
2.5e-05 0 0 0 0
2.5e-05 0 0 0 0
2.5e-05 0 3.39581e-07 -5.88838e-11 3.39581e-07
2.5e-05 0 3.39581e-07 -5.88838e-11 3.39581e-07
2.5e-05 0 6.79161e-07 -1.17768e-10 6.79161e-07
2.5e-05 0 6.79161e-07 -1.17768e-10 6.79161e-07
2.5e-05 0 -1.46902e-07 -9.01662e-11 1.46902e-07
2.5e-05 0 -1.46902e-07 -9.01662e-11 1.46902e-07
2.5e-05 0 -2.07783e-07 -5.60027e-11 2.07783e-07
2.5e-05 0 -2.07783e-07 -5.60027e-11 2.07783e-07
2.5e-05 0 -3.43012e-08 3.40943e-11 3.43013e-08
2.5e-05 0 -3.43012e-08 3.40943e-11 3.43013e-08
2.5e-05 0 -2.66572e-08 4.52562e-11 2.66572e-08
2.5e-05 0 -2.66572e-08 4.52562e-11 2.66572e-08
2.5e-05 0 8.79354e-08 -1.59042e-10 8.79355e-08
2.5e-05 0 8.79354e-08 -1.59042e-10 8.79355e-08
2.5e-05 0 9.51718e-08 -1.52855e-10 9.5172e-08
2.5e-05 0 9.51718e-08 -1.52855e-10 9.5172e-08
2.5e-05 0 -4.48027e-08 -1.94569e-10 4.48032e-08
2.5e-05 0 -4.48027e-08 -1.94569e-10 4.48032e-08
2.5e-05 0 -5.62629e-08 -1.71772e-10 5.62632e-08
2.5e-05 0 -5.62629e-08 -1.71772e-10 5.62632e-08
2.5e-05 0 -3.27845e-09 -1.14331e-10 3.28044e-09
2.5e-05 0 -3.27845e-09 -1.14331e-10 3.28044e-09
2.5e-05 0 1.71256e-09 -7.9822e-11 1.71442e-09
2.5e-05 0 1.71256e-09 -7.9822e-11 1.71442e-09
2.5e-05 0 1.84046e-08 -1.59149e-10 1.84053e-08
2.5e-05 0 1.84046e-08 -1.59149e-10 1.84053e-08
2.5e-05 0 1.99513e-08 -1.39308e-10 1.99517e-08
2.5e-05 0 1.99513e-08 -1.39308e-10 1.99517e-08
2.5e-05 0 -1.01459e-08 -1.12152e-10 1.01465e-08
2.5e-05 0 -1.01459e-08 -1.12152e-10 1.01465e-08
2.5e-05 0 -2.14325e-08 -1.94794e-11 2.14325e-08
2.5e-05 0 -2.14325e-08 -1.94794e-11 2.14325e-08
2.5e-05 0 2.96929e-10 9.52883e-13 2.96931e-10
2.5e-05 0 2.96929e-10 9.52883e-13 2.96931e-10
2.5e-05 0 4.22314e-09 1.026e-11 4.22315e-09
2.5e-05 0 4.22314e-09 1.026e-11 4.22315e-09
2.5e-05 0 2.63561e-09 -1.82284e-11 2.63568e-09
2.5e-05 0 2.63561e-09 -1.82284e-11 2.63568e-09
2.5e-05 0 2.21206e-09 -1.61653e-11 2.21212e-09
2.5e-05 0 2.21206e-09 -1.61653e-11 2.21212e-09
2.5e-05 0 -2.24127e-09 -2.17802e-12 2.24127e-09
2.5e-05 0 -2.24127e-09 -2.17802e-12 2.24127e-09
2.5e-05 0 -2.23984e-09 -3.27588e-14 2.23984e-09
2.5e-05 0 -2.23984e-09 -3.27588e-14 2.23984e-09
2.5e-05 0 8.32879e-10 1.27059e-12 8.32879e-10
2.5e-05 0 8.32879e-10 1.27059e-12 8.32879e-10
2.5e-05 0 9.30527e-10 1.51397e-12 9.30529e-10
2.5e-05 0 9.30527e-10 1.51397e-12 9.30529e-10
2.5e-05 0 1.89625e-10 -1.38823e-12 1.89631e-10
2.5e-05 0 1.89625e-10 -1.38823e-12 1.89631e-10
2.5e-05 0 1.56191e-10 -1.27416e-12 1.56196e-10
2.5e-05 0 1.56191e-10 -1.27416e-12 1.56196e-10
2.5e-05 0 1.6917e-11 6.53656e-13 1.69296e-11
2.5e-05 0 1.6917e-11 6.53656e-13 1.69296e-11
2.5e-05 0 2.41686e-11 7.1822e-13 2.41792e-11
2.5e-05 0 2.41686e-11 7.1822e-13 2.41792e-11
2.5e-05 0 2.10377e-10 4.30929e-13 2.10377e-10
2.5e-05 0 2.10377e-10 4.30929e-13 2.10377e-10
2.5e-05 0 2.12692e-10 4.1899e-13 2.12692e-10
2.5e-05 0 2.12692e-10 4.1899e-13 2.12692e-10
2.5e-05 0 1.48273e-10 2.79207e-13 1.48274e-10
2.5e-05 0 1.48273e-10 2.79207e-13 1.48274e-10
2.5e-05 0 1.46584e-10 2.80583e-13 1.46585e-10
2.5e-05 0 1.46584e-10 2.80583e-13 1.46585e-10
2.5e-05 0 1.51132e-10 4.027e-13 1.51133e-10
2.5e-05 0 1.51132e-10 4.027e-13 1.51133e-10
2.5e-05 0 1.51621e-10 4.03948e-13 1.51622e-10
2.5e-05 0 1.51621e-10 4.03948e-13 1.51622e-10
2.5e-05 0 1.5761e-10 3.68238e-13 1.5761e-10
2.5e-05 0 1.5761e-10 3.68238e-13 1.5761e-10
2.5e-05 0 1.57607e-10 3.66666e-13 1.57607e-10
2.5e-05 0 1.57607e-10 3.66666e-13 1.57607e-10
2.5e-05 0 1.54778e-10 3.65171e-13 1.54779e-10
2.5e-05 0 1.54778e-10 3.65171e-13 1.54779e-10
2.5e-05 0 1.54677e-10 3.65154e-13 1.54677e-10
2.5e-05 0 1.54677e-10 3.65154e-13 1.54677e-10
2.5e-05 0 1.55173e-10 3.6981e-13 1.55174e-10
2.5e-05 0 1.55173e-10 3.6981e-13 1.55174e-10
2.5e-05 0 1.55196e-10 3.698e-13 1.55196e-10
2.5e-05 0 1.55196e-10 3.698e-13 1.55196e-10
2.5e-05 0 1.55282e-10 3.67775e-13 1.55282e-10
2.5e-05 0 1.55282e-10 3.67775e-13 1.55282e-10
2.5e-05 0 1.55279e-10 3.67715e-13 1.55279e-10
