TimeWindow  TotalIterations  Iterations  Convergence  
     1      43      43       1  
     2      64      21       1  
     3      84      20       1  
     4     103      19       1  
     5     116      13       1  
     6     139      23       1  
     7     158      19       1  
     8     174      16       1  
     9     190      16       1  
    10     206      16       1  
    11     221      15       1  
    12     236      15       1  
    13     256      20       1  
    14     272      16       1  
    15     288      16       1  
    16     303      15       1  
    17     317      14       1  
    18     331      14       1  
    19     345      14       1  
    20     358      13       1  
    21     374      16       1  
    22     388      14       1  
    23     404      16       1  
    24     419      15       1  
    25     434      15       1  
    26     449      15       1  
    27     463      14       1  
    28     477      14       1  
    29     492      15       1  
    30     507      15       1  
    31     520      13       1  
    32     533      13       1  
    33     547      14       1  
    34     562      15       1  
    35     576      14       1  
    36     592      16       1  
    37     606      14       1  
    38     620      14       1  
    39     636      16       1  
    40     651      15       1  
    41     666      15       1  
    42     681      15       1  
    43     696      15       1  
    44     710      14       1  
    45     725      15       1  
    46     740      15       1  
    47     752      12       1  
    48     767      15       1  
    49     783      16       1  
    50     798      15       1  
    51     813      15       1  
    52     831      18       1  
    53     846      15       1  
    54     861      15       1  
    55     877      16       1  
    56     891      14       1  
    57     904      13       1  
    58     918      14       1  
    59     932      14       1  
    60     946      14       1  
    61     960      14       1  
    62     975      15       1  
    63     990      15       1  
    64    1005      15       1  
    65    1020      15       1  
    66    1034      14       1  
    67    1048      14       1  
    68    1063      15       1  
    69    1080      17       1  
    70    1097      17       1  
    71    1113      16       1  
    72    1130      17       1  
    73    1146      16       1  
    74    1163      17       1  
    75    1179      16       1  
    76    1194      15       1  
    77    1210      16       1  
    78    1224      14       1  
    79    1239      15       1  
    80    1254      15       1  
    81    1271      17       1  
    82    1284      13       1  
    83    1298      14       1  
    84    1312      14       1  
    85    1326      14       1  
    86    1345      19       1  
    87    1363      18       1  
    88    1379      16       1  
    89    1397      18       1  
    90    1416      19       1  
    91    1434      18       1  
    92    1451      17       1  
    93    1467      16       1  
    94    1486      19       1  
    95    1503      17       1  
    96    1519      16       1  
    97    1535      16       1  
    98    1550      15       1  
    99    1566      16       1  
   100    1581      15       1  
   101    1596      15       1  
   102    1612      16       1  
   103    1628      16       1  
   104    1644      16       1  
   105    1661      17       1  
   106    1675      14       1  
   107    1690      15       1  
   108    1705      15       1  
   109    1719      14       1  
   110    1736      17       1  
   111    1752      16       1  
   112    1768      16       1  
   113    1783      15       1  
   114    1799      16       1  
   115    1815      16       1  
   116    1832      17       1  
   117    1846      14       1  
   118    1861      15       1  
   119    1876      15       1  
   120    1891      15       1  
   121    1904      13       1  
   122    1918      14       1  
   123    1933      15       1  
   124    1948      15       1  
   125    1965      17       1  
   126    1982      17       1  
   127    1997      15       1  
