TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
     1       1              inf   1.00000000e+00  
     1       2   1.00000000e+00   5.00000000e-01  
     1       3   5.00000000e-01   1.01121316e+00  
     1       4   9.20463093e-01   1.00444972e+00  
     1       5   8.83684240e-01   1.17995971e+00  
     1       6   9.26534090e-01   9.23246979e-01  
     1       7   8.64201329e-01   1.21427495e+00  
     1       8   8.47633956e-01   7.98778749e-01  
     1       9   7.65241852e-01   1.10396278e+00  
     1      10   7.21638012e-01   6.70676197e-01  
     1      11   6.31848698e-01   9.36581423e-01  
     1      12   5.52555776e-01   5.02664340e-01  
     1      13   4.67090227e-01   6.97525143e-01  
     1      14   3.65538284e-01   3.16174391e-01  
     1      15   2.96754621e-01   4.39017859e-01  
     1      16   2.09387652e-01   1.67677727e-01  
     1      17   1.66390396e-01   9.48542842e-01  
     1      18   1.93425228e-01   8.84791776e-01  
     1      19   1.02933854e-01   6.95831633e-01  
     1      20   9.58366766e-02   4.94868181e-01  
     1      21   5.53084901e-02   3.01289052e-01  
     1      22   4.38924255e-02   1.63613183e-01  
     1      23   2.69653757e-02   1.00240190e-01  
     1      24   1.88854797e-02   4.77991773e-02  
     1      25   1.21230003e-02   3.16835987e-02  
     1      26   7.69164183e-03   1.39094456e-02  
     1      27   5.07014074e-03   9.88784820e-03  
     1      28   2.98467000e-03   4.08790498e-03  
     1      29   1.98813237e-03   3.10742542e-03  
     1      30   1.10949212e-03   1.21306912e-03  
     1      31   7.36397403e-04   9.62113141e-04  
     1      32   3.96638938e-04   3.80150180e-04  
     1      33   2.59585973e-04   2.98895505e-04  
     1      34   1.36819108e-04   1.17124823e-04  
     1      35   8.73538456e-05   1.14827331e-04  
     1      36   4.57112460e-05   1.83172337e-05  
     1      37   2.70890058e-05   3.10667604e-05  
     1      38   1.46624218e-05   1.95611307e-05  
     1      39   8.60012032e-06   2.76846247e-05  
     1      40   4.67786208e-06   1.03551247e-05  
     1      41   2.70404856e-06   1.00347171e-05  
     1      42   1.48216650e-06   1.16485258e-06  
     1      43   8.09700335e-07   1.34518547e-06  
     2       1   4.79387305e-01   9.81184463e-01  
     2       2   1.14557249e-02   3.74066128e-02  
     2       3   1.09004647e-02   6.50234576e-02  
     2       4   4.31646278e-03   7.69169764e-03  
     2       5   1.80765557e-03   8.62540871e-03  
     2       6   1.01540712e-03   1.75905110e-03  
     2       7   5.72953655e-04   2.72891609e-03  
     2       8   4.40812364e-04   1.46595205e-03  
     2       9   2.57173597e-04   1.77492361e-03  
     2      10   1.84024283e-04   9.67986467e-04  
     2      11   1.12595160e-04   8.79595931e-04  
     2      12   6.61477990e-05   5.35513899e-04  
     2      13   5.04157837e-05   4.18094260e-04  
     2      14   3.50449740e-05   3.13425632e-04  
     2      15   2.62575824e-05   2.34555805e-04  
     2      16   1.25890128e-05   1.35480117e-04  
     2      17   7.87165066e-06   8.66532859e-05  
     2      18   4.19408289e-06   5.40377267e-05  
     2      19   2.98362564e-06   3.17422788e-05  
     2      20   1.72049525e-06   2.41680189e-05  
     2      21   9.49863194e-07   1.18426332e-05  
     3       1   3.83330702e-01   9.80395516e-01  
     3       2   4.40744779e-03   2.59015190e-02  
     3       3   1.60338233e-03   1.78788935e-02  
     3       4   1.23705007e-03   1.57059875e-02  
     3       5   8.11349589e-04   4.06295113e-03  
     3       6   5.69752842e-04   4.58372395e-03  
     3       7   3.05364280e-04   1.78461185e-03  
     3       8   2.39994035e-04   1.84276689e-03  
     3       9   1.16960503e-04   5.24185364e-04  
     3      10   1.00922374e-04   6.04513758e-04  
     3      11   5.66700604e-05   2.79968692e-04  
     3      12   4.69125402e-05   2.84687106e-04  
     3      13   1.94120675e-05   8.67365751e-05  
     3      14   1.21157980e-05   9.44646368e-05  
     3      15   7.04131914e-06   8.23571878e-05  
     3      16   4.97744517e-06   8.41484528e-05  
     3      17   3.23293140e-06   6.29169457e-05  
     3      18   1.97855167e-06   4.65860706e-05  
     3      19   1.19988724e-06   2.57150887e-05  
     3      20   6.91183395e-07   1.60519604e-05  
     4       1   3.20148052e-01   9.82359326e-01  
     4       2   2.26208352e-02   6.49703563e-02  
     4       3   1.92717787e-03   2.67047742e-02  
     4       4   1.77704402e-03   3.74035335e-02  
     4       5   1.20392102e-03   2.23250556e-02  
     4       6   5.30158592e-04   1.04780758e-02  
     4       7   3.36794433e-04   5.54978417e-03  
     4       8   1.73824774e-04   1.45001828e-03  
     4       9   1.21137647e-04   8.69391417e-04  
     4      10   6.98272482e-05   9.92528180e-04  
     4      11   4.57125884e-05   9.72787958e-04  
     4      12   2.31784860e-05   6.54735526e-04  
     4      13   1.18582937e-05   4.91371909e-04  
     4      14   7.35975638e-06   2.40139819e-04  
     4      15   3.51944141e-06   1.78732188e-04  
     4      16   3.00936497e-06   5.62557092e-05  
     4      17   1.51857922e-06   4.57520016e-05  
     4      18   1.19660512e-06   1.00923912e-05  
     4      19   5.24899644e-07   6.10689566e-06  
     5       1   2.76780752e-01   9.84862485e-01  
     5       2   1.58702859e-03   1.57217591e-02  
     5       3   4.32777997e-04   8.03421330e-03  
     5       4   2.45374380e-04   4.01831138e-03  
     5       5   1.31235113e-04   2.09647088e-03  
     5       6   5.03103851e-05   4.78537523e-04  
     5       7   2.48995725e-05   3.77671297e-04  
     5       8   1.20254473e-05   1.22464227e-03  
     5       9   5.48537402e-06   2.96792253e-04  
     5      10   3.15275533e-06   2.90984577e-04  
     5      11   1.76871643e-06   4.09154517e-05  
     5      12   1.39020799e-06   2.15972530e-05  
     5      13   6.50741890e-07   3.83930030e-05  
     6       1   2.43502579e-01   9.87350031e-01  
     6       2   4.23567740e-03   5.34732918e-02  
     6       3   1.95584740e-03   1.93692387e-01  
     6       4   2.93625458e-03   1.41397778e-01  
     6       5   7.79559368e-04   1.44217051e-02  
     6       6   4.81801397e-04   6.44858370e-03  
     6       7   2.55255192e-04   1.02385353e-02  
     6       8   2.28601745e-04   1.35228216e-02  
     6       9   1.94360098e-04   1.02899109e-02  
     6      10   1.36933560e-04   9.77908725e-03  
     6      11   1.31558065e-04   6.04453364e-03  
     6      12   1.18498337e-04   3.58094787e-03  
     6      13   9.81074962e-05   2.84679845e-03  
     6      14   7.65088316e-05   9.84760136e-04  
     6      15   4.39325425e-05   9.25592870e-04  
     6      16   2.95870613e-05   1.96624012e-04  
     6      17   1.71856416e-05   4.89225708e-04  
     6      18   1.19967304e-05   1.31245064e-04  
     6      19   6.06072641e-06   2.54226007e-04  
     6      20   4.06994885e-06   8.74810528e-05  
     6      21   2.27461293e-06   8.28184616e-05  
     6      22   1.49306526e-06   1.87227682e-05  
     6      23   9.37059123e-07   2.99342997e-06  
     7       1   2.16177222e-01   9.89512034e-01  
     7       2   5.52755104e-03   3.54120940e-02  
     7       3   1.83097498e-03   2.27120955e-01  
     7       4   1.89216324e-03   3.11690682e-02  
     7       5   8.68855961e-04   3.90031513e-02  
     7       6   5.62829854e-04   1.38094217e-02  
     7       7   3.22297811e-04   6.43314373e-03  
     7       8   2.16115474e-04   6.83159195e-03  
     7       9   1.34389672e-04   2.65738256e-03  
     7      10   8.11511739e-05   2.48582372e-03  
     7      11   5.23229729e-05   1.28270924e-03  
     7      12   3.34665254e-05   2.07628766e-03  
     7      13   2.18428500e-05   9.58724578e-04  
     7      14   1.42916778e-05   7.03236003e-04  
     7      15   7.84120778e-06   2.70409931e-04  
     7      16   4.76957847e-06   1.82249400e-04  
     7      17   2.63986001e-06   7.98623288e-05  
     7      18   1.02382857e-06   6.27218670e-05  
     7      19   5.25838331e-07   4.74006230e-05  
     8       1   1.93350511e-01   9.91177530e-01  
     8       2   8.69923450e-03   2.64188544e-01  
     8       3   2.02200286e-03   8.62976000e-02  
     8       4   1.10326593e-03   3.38878327e-02  
     8       5   4.41732211e-04   8.63108835e-03  
     8       6   1.98748420e-04   1.26342467e-02  
     8       7   1.48732176e-04   6.28887358e-03  
     8       8   8.41190342e-05   5.64967620e-03  
     8       9   4.04804395e-05   2.49815248e-03  
     8      10   2.11496550e-05   8.17231606e-04  
     8      11   1.16450845e-05   7.02832926e-04  
     8      12   7.53744963e-06   2.04091027e-04  
     8      13   4.07505268e-06   2.28943932e-04  
     8      14   2.39435550e-06   4.58841242e-05  
     8      15   1.33005040e-06   4.39614437e-05  
     8      16   6.90811519e-07   3.19965743e-05  
     9       1   1.74279358e-01   9.92328302e-01  
     9       2   3.75666079e-03   8.57364035e-03  
     9       3   3.18195632e-04   1.75648903e-01  
     9       4   3.41337352e-04   1.40824742e-01  
     9       5   1.96947760e-04   1.02065633e-01  
     9       6   9.84750216e-05   4.01336838e-02  
     9       7   6.67027224e-05   2.94647606e-02  
     9       8   4.11211620e-05   1.74568435e-02  
     9       9   2.39928772e-05   9.92474469e-03  
     9      10   1.22937746e-05   2.97434847e-03  
     9      11   9.78264116e-06   1.72074541e-03  
     9      12   6.24645268e-06   2.49417550e-04  
     9      13   3.04298529e-06   1.32694582e-04  
     9      14   1.57698625e-06   2.43834747e-04  
     9      15   1.03834445e-06   4.48156427e-05  
     9      16   6.65045121e-07   5.61469547e-05  
    10       1   1.58322077e-01   9.93052413e-01  
    10       2   1.46249304e-02   5.03592771e-01  
    10       3   3.10271710e-03   6.96064040e-01  
    10       4   1.84078220e-03   1.31822510e-01  
    10       5   1.14343985e-03   7.20152293e-02  
    10       6   4.48821190e-04   5.34535158e-02  
    10       7   2.99059203e-04   3.08368861e-02  
    10       8   1.70284770e-04   1.52018969e-02  
    10       9   7.81408847e-05   3.64337369e-03  
    10      10   4.11219389e-05   5.47601658e-04  
    10      11   1.65533528e-05   1.30607700e-03  
    10      12   1.04613372e-05   7.23757865e-04  
    10      13   5.95282301e-06   2.76818135e-04  
    10      14   3.30570609e-06   3.24728160e-04  
    10      15   1.80606261e-06   3.24548529e-04  
    10      16   8.70849304e-07   8.86868848e-05  
    11       1   1.44880318e-01   9.93486432e-01  
    11       2   3.24931805e-03   1.79280136e-02  
    11       3   4.34010437e-04   4.58939222e-01  
    11       4   4.17399139e-04   2.20462733e-01  
    11       5   2.45456681e-04   1.57752124e-01  
    11       6   1.84407015e-04   3.48294509e-02  
    11       7   9.62716508e-05   3.85133106e-02  
    11       8   5.66110361e-05   1.20710196e-02  
    11       9   2.84042129e-05   4.30695802e-03  
    11      10   1.46408439e-05   5.10225976e-04  
    11      11   7.97125934e-06   6.31959309e-04  
    11      12   4.39264542e-06   3.69141546e-04  
    11      13   2.33770182e-06   4.46788798e-04  
    11      14   1.46183745e-06   5.93971420e-05  
    11      15   7.96898153e-07   1.28215359e-04  
    12       1   1.33429327e-01   9.93771771e-01  
    12       2   1.17705317e-02   5.38262901e-01  
    12       3   2.69491989e-03   5.34979255e-01  
    12       4   1.60158585e-03   1.11899536e-01  
    12       5   9.00409778e-04   7.29253078e-02  
    12       6   5.17909718e-04   2.63529419e-02  
    12       7   2.34780445e-04   1.04513089e-02  
    12       8   1.05932237e-04   3.09704190e-03  
    12       9   4.57522095e-05   4.78845635e-03  
    12      10   2.31237318e-05   2.93826440e-03  
    12      11   1.25757391e-05   5.47709329e-04  
    12      12   7.08418234e-06   1.84222916e-04  
    12      13   3.60509197e-06   1.93226403e-04  
    12      14   1.66416522e-06   9.36831066e-05  
    12      15   9.06926566e-07   7.59756721e-05  
    13       1   1.23562779e-01   9.93983126e-01  
    13       2   1.43088641e-02   8.29298817e-01  
    13       3   9.29839318e-03   8.53795320e-01  
    13       4   8.76381477e-03   8.03771925e-01  
    13       5   3.88562206e-03   8.03572060e-01  
    13       6   2.47092254e-03   4.15315468e-01  
    13       7   8.78805868e-04   1.10659684e-01  
    13       8   5.52481495e-04   7.07892905e-02  
    13       9   2.90758310e-04   5.56420363e-03  
    13      10   1.42294164e-04   2.97618254e-03  
    13      11   6.82317993e-05   7.37640055e-03  
    13      12   3.52205394e-05   1.27102124e-03  
    13      13   2.45814902e-05   3.58066790e-03  
    13      14   1.50083621e-05   3.53913686e-03  
    13      15   7.04598555e-06   5.81897287e-04  
    13      16   4.38744188e-06   2.05174234e-04  
    13      17   2.92119635e-06   1.94557585e-04  
    13      18   2.16971185e-06   6.41462824e-05  
    13      19   1.18410492e-06   1.11282454e-04  
    13      20   7.13559740e-07   2.97973948e-05  
    14       1   1.14962833e-01   9.94172199e-01  
    14       2   1.52648000e-02   5.62181155e-01  
    14       3   3.24644750e-03   3.05568840e-01  
    14       4   2.11814058e-03   8.19784210e-02  
    14       5   9.68743774e-04   5.35677501e-02  
    14       6   4.58286688e-04   7.21054595e-02  
    14       7   2.04356117e-04   1.19178788e-02  
    14       8   1.01138770e-04   4.66496075e-03  
    14       9   4.54683553e-05   2.74095407e-03  
    14      10   2.59672662e-05   1.63955247e-03  
    14      11   1.32502033e-05   1.03534565e-03  
    14      12   6.70047637e-06   9.41521490e-04  
    14      13   4.26967919e-06   1.84080546e-04  
    14      14   1.91239022e-06   1.58599637e-04  
    14      15   1.24388263e-06   1.19824792e-04  
    14      16   5.51040776e-07   5.01927028e-05  
    15       1   1.07398226e-01   9.94354061e-01  
    15       2   1.48296631e-02   3.47671380e-01  
    15       3   2.12972203e-03   7.25728872e-01  
    15       4   1.55445077e-03   1.23439905e-01  
    15       5   7.87803255e-04   1.48211193e-01  
    15       6   5.01591381e-04   5.79364934e-02  
    15       7   3.08609774e-04   3.87079644e-02  
    15       8   1.57658773e-04   2.29280558e-02  
    15       9   8.21374231e-05   1.00158015e-02  
    15      10   4.04081824e-05   8.75708880e-03  
    15      11   1.68755319e-05   3.36604152e-03  
    15      12   1.11079095e-05   1.13712925e-03  
    15      13   6.28711606e-06   8.79113737e-04  
    15      14   2.74058662e-06   4.94329966e-05  
    15      15   1.28264140e-06   2.04111085e-04  
    15      16   6.91562112e-07   4.02589348e-05  
    16       1   1.00700886e-01   9.94524623e-01  
    16       2   1.34449339e-02   2.90098987e-01  
    16       3   2.01842538e-03   8.25353027e-01  
    16       4   1.33708525e-03   2.27845203e-01  
    16       5   6.59959831e-04   2.28188857e-01  
    16       6   2.96099840e-04   7.22782281e-02  
    16       7   1.79851829e-04   4.89976777e-02  
    16       8   8.44778044e-05   3.44243616e-02  
    16       9   4.27713423e-05   1.16294020e-02  
    16      10   2.87430616e-05   9.06840412e-03  
    16      11   1.60100040e-05   1.65898777e-03  
    16      12   1.09197251e-05   5.29866533e-04  
    16      13   4.53485147e-06   7.14779359e-04  
    16      14   2.14536966e-06   2.90064745e-05  
    16      15   6.69568098e-07   2.19711386e-04  
    17       1   9.47479299e-02   9.94668355e-01  
    17       2   1.19938890e-02   3.86460970e-01  
    17       3   3.13748170e-03   6.46826008e-01  
    17       4   2.22364157e-03   2.23661739e-01  
    17       5   8.10916537e-04   1.63623620e-01  
    17       6   3.12649155e-04   5.23033743e-02  
    17       7   1.22155805e-04   8.09870238e-03  
    17       8   7.41572867e-05   3.23904987e-03  
    17       9   3.55993595e-05   1.40984607e-03  
    17      10   1.84813257e-05   1.18185220e-03  
    17      11   8.52042369e-06   1.13087948e-04  
    17      12   3.35466515e-06   9.09020360e-04  
    17      13   1.58120994e-06   6.92561028e-05  
    17      14   8.20689587e-07   1.14915652e-04  
    18       1   8.94368894e-02   9.94790353e-01  
    18       2   1.21835475e-02   3.92642051e-01  
    18       3   2.09478271e-03   2.90834263e-01  
    18       4   1.08114268e-03   2.28056881e-01  
    18       5   4.32472141e-04   2.09214713e-01  
    18       6   2.19027921e-04   7.17419597e-02  
    18       7   1.22407501e-04   5.32685136e-02  
    18       8   5.82579358e-05   1.55049177e-02  
    18       9   3.11362161e-05   4.09745083e-03  
    18      10   1.58381113e-05   2.30885045e-04  
    18      11   5.13792827e-06   6.13690316e-04  
    18      12   2.48932057e-06   2.73214733e-04  
    18      13   1.32382188e-06   2.62064967e-05  
    18      14   6.22150207e-07   1.11199266e-04  
    19       1   8.46832564e-02   9.94883904e-01  
    19       2   1.08635959e-02   3.03674814e-01  
    19       3   1.65405684e-03   8.56198078e-01  
    19       4   1.28504089e-03   2.98271618e-01  
    19       5   5.87396216e-04   1.87939447e-01  
    19       6   2.74157798e-04   4.01206354e-02  
    19       7   1.37753213e-04   3.84970272e-02  
    19       8   7.46953240e-05   1.27096840e-03  
    19       9   2.75607589e-05   5.31584549e-03  
    19      10   1.48882251e-05   3.78754733e-04  
    19      11   5.88192516e-06   2.49739652e-04  
    19      12   2.61079923e-06   6.75361073e-04  
    19      13   1.33751648e-06   2.03094881e-04  
    19      14   9.48860839e-07   1.34744304e-04  
    20       1   8.04067914e-02   9.94957968e-01  
    20       2   8.97295530e-03   4.12084865e-01  
    20       3   1.23206663e-03   2.57280541e-01  
    20       4   5.86789605e-04   9.53627338e-02  
    20       5   2.86438394e-04   5.66284770e-03  
    20       6   1.06227193e-04   2.94153997e-02  
    20       7   4.71898208e-05   5.85449204e-03  
    20       8   2.06677377e-05   9.62831485e-03  
    20       9   1.09660518e-05   4.92187667e-03  
    20      10   5.31899145e-06   1.66606299e-03  
    20      11   2.93445289e-06   7.18350822e-04  
    20      12   1.44685123e-06   1.44888540e-04  
    20      13   6.91046330e-07   4.44949990e-05  
    21       1   7.65407918e-02   9.95013582e-01  
    21       2   7.56403999e-03   4.22468610e-02  
    21       3   3.47462351e-04   9.07236481e-01  
    21       4   4.27755278e-04   8.77045481e-01  
    21       5   3.52209314e-04   8.02189081e-01  
    21       6   2.78152394e-04   5.78069419e-01  
    21       7   1.66138492e-04   3.57884317e-01  
    21       8   1.08144386e-04   6.60421991e-02  
    21       9   6.04326190e-05   4.90089867e-02  
    21      10   3.19906860e-05   2.31245209e-02  
    21      11   1.46942150e-05   5.98434359e-03  
    21      12   7.66239028e-06   7.28220423e-03  
    21      13   4.32196308e-06   8.91049210e-04  
    21      14   2.29225554e-06   9.53003258e-04  
    21      15   1.20038275e-06   8.24691204e-05  
    21      16   4.74633396e-07   8.78434693e-05  
    22       1   7.30175031e-02   9.95060377e-01  
    22       2   7.20199569e-03   1.92621699e-01  
    22       3   1.72527179e-03   9.65728909e-01  
    22       4   1.50858685e-03   5.21220669e-01  
    22       5   5.94431380e-04   3.60620647e-01  
    22       6   3.11816543e-04   5.93649063e-02  
    22       7   1.69323871e-04   2.24081464e-02  
    22       8   8.17017935e-05   1.06031488e-02  
    22       9   3.92277574e-05   8.25995341e-03  
    22      10   1.59136849e-05   1.76643546e-03  
    22      11   6.58593584e-06   8.80480475e-04  
    22      12   3.83978772e-06   1.35771930e-04  
    22      13   1.91745541e-06   2.03220092e-04  
    22      14   8.33396583e-07   6.03015341e-05  
    23       1   6.97827029e-02   9.95104207e-01  
