TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
     1      43      43       1      41       1       0  
     2      64      21       1      61       0       0  
     3      84      20       1      78       2       0  
     4     103      19       1      96       0       0  
     5     116      13       1     100       1       7  
     6     139      23       1     100       1      21  
     7     158      19       1     100       1      17  
     8     174      16       1     100       1      14  
     9     190      16       1     100       2      13  
    10     206      16       1     100       0      15  
    11     221      15       1     100       2      12  
    12     236      15       1     100       1      13  
    13     256      20       1     100       1      18  
    14     272      16       1     100       1      14  
    15     288      16       1     100       1      14  
    16     303      15       1     100       1      13  
    17     317      14       1     100       1      12  
    18     331      14       1     100       1      12  
    19     345      14       1     100       1      12  
    20     358      13       1     100       1      11  
    21     374      16       1     100       1      14  
    22     388      14       1     100       1      12  
    23     404      16       1     100       1      14  
    24     419      15       1     100       1      13  
    25     434      15       1     100       1      13  
    26     449      15       1     100       1      13  
    27     463      14       1     100       1      12  
    28     477      14       1     100       1      12  
    29     492      15       1     100       1      13  
    30     507      15       1     100       1      13  
    31     520      13       1     100       1      11  
    32     533      13       1     100       1      11  
    33     547      14       1     100       1      12  
    34     562      15       1     100       1      13  
    35     576      14       1     100       1      12  
    36     592      16       1     100       1      14  
    37     606      14       1     100       1      12  
    38     620      14       1     100       1      12  
    39     636      16       1     100       1      14  
    40     651      15       1     100       1      13  
    41     666      15       1     100       1      13  
    42     681      15       1     100       1      13  
    43     696      15       1     100       1      13  
    44     710      14       1     100       1      12  
    45     725      15       1     100       1      13  
    46     740      15       1     100       1      13  
    47     752      12       1     100       1      10  
    48     767      15       1     100       1      13  
    49     783      16       1     100       3      12  
    50     798      15       1     100       1      13  
    51     813      15       1     100       1      13  
    52     831      18       1     100       1      16  
    53     846      15       1     100       1      13  
    54     861      15       1     100       1      13  
    55     877      16       1     100       1      14  
    56     891      14       1     100       1      12  
    57     904      13       1     100       1      11  
    58     918      14       1     100       1      12  
    59     932      14       1     100       1      12  
    60     946      14       1     100       1      12  
    61     960      14       1     100       1      12  
    62     975      15       1     100       1      13  
    63     990      15       1     100       1      13  
    64    1005      15       1     100       2      12  
    65    1020      15       1     100       1      13  
    66    1034      14       1     100       1      12  
    67    1048      14       1     100       1      12  
    68    1063      15       1     100       2      12  
    69    1080      17       1     100       1      15  
    70    1097      17       1     100       1      15  
    71    1113      16       1     100       1      14  
    72    1130      17       1     100       1      15  
    73    1146      16       1     100       1      14  
    74    1163      17       1     100       1      15  
    75    1179      16       1     100       1      14  
    76    1194      15       1     100       1      13  
    77    1210      16       1     100       1      14  
    78    1224      14       1     100       1      12  
    79    1239      15       1     100       1      13  
    80    1254      15       1     100       1      13  
    81    1271      17       1     100       1      15  
    82    1284      13       1     100       1      11  
    83    1298      14       1     100       1      12  
    84    1312      14       1     100       1      12  
    85    1326      14       1     100       1      12  
    86    1345      19       1     100       2      16  
    87    1363      18       1     100       1      16  
    88    1379      16       1     100       1      14  
    89    1397      18       1     100       1      16  
    90    1416      19       1     100       1      17  
    91    1434      18       1     100       1      16  
    92    1451      17       1     100       1      15  
    93    1467      16       1     100       1      14  
    94    1486      19       1     100       1      17  
    95    1503      17       1     100       2      14  
    96    1519      16       1     100       1      14  
    97    1535      16       1     100       1      14  
    98    1550      15       1     100       1      13  
    99    1566      16       1     100       1      14  
   100    1581      15       1     100       1      13  
   101    1596      15       1     100       1      13  
   102    1612      16       1     100       1      14  
   103    1628      16       1     100       1      14  
   104    1644      16       1     100       1      14  
   105    1661      17       1     100       2      14  
   106    1675      14       1     100       1      12  
   107    1690      15       1     100       1      13  
   108    1705      15       1     100       1      13  
   109    1719      14       1     100       1      12  
   110    1736      17       1     100       1      15  
   111    1752      16       1     100       5      10  
   112    1768      16       1     100       1      14  
   113    1783      15       1     100       1      13  
   114    1799      16       1     100       1      14  
   115    1815      16       1     100       1      14  
   116    1832      17       1     100       1      15  
   117    1846      14       1     100       1      12  
   118    1861      15       1     100       1      13  
   119    1876      15       1     100       2      12  
   120    1891      15       1     100       1      13  
   121    1904      13       1     100       1      11  
   122    1918      14       1     100       1      12  
   123    1933      15       1     100       1      13  
   124    1948      15       1     100       1      13  
   125    1965      17       1     100       1      15  
   126    1982      17       1     100       2      14  
   127    1997      15       1     100       1      13  
   128    2014      17       1     100       1      15  
   129    2030      16       1     100       2      13  
   130    2047      17       1     100       1      15  
   131    2064      17       1     100       1      15  
   132    2081      17       1     100       1      15  
   133    2096      15       1     100       1      13  
   134    2110      14       1     100       1      12  
   135    2130      20       1     100       5      14  
   136    2148      18       1     100       1      16  
   137    2165      17       1     100       1      15  
   138    2181      16       1     100       1      14  
   139    2200      19       1     100       1      17  
   140    2217      17       1     100       2      14  
   141    2232      15       1     100       1      13  
   142    2250      18       1     100       1      16  
   143    2267      17       1     100       1      15  
   144    2286      19       1     100       1      17  
   145    2300      14       1     100       1      12  
   146    2317      17       1     100       1      15  
   147    2334      17       1     100       1      15  
   148    2353      19       1     100       1      17  
   149    2369      16       1     100       1      14  
   150    2386      17       1     100       1      15  
   151    2403      17       1     100       1      15  
   152    2421      18       1     100       1      16  
   153    2438      17       1     100       1      15  
   154    2453      15       1     100       1      13  
   155    2469      16       1     100       1      14  
   156    2485      16       1     100       1      14  
   157    2501      16       1     100       1      14  
   158    2516      15       1     100       2      12  
   159    2531      15       1     100       1      13  
   160    2548      17       1     100       1      15  
   161    2565      17       1     100       1      15  
   162    2579      14       1     100       1      12  
   163    2596      17       1     100       1      15  
   164    2611      15       1     100       1      13  
   165    2625      14       1     100       1      12  
   166    2640      15       1     100       1      13  
   167    2654      14       1     100       1      12  
   168    2670      16       1     100       1      14  
   169    2683      13       1     100       1      11  
   170    2696      13       1     100       1      11  
   171    2710      14       1     100       1      12  
   172    2725      15       1     100       1      13  
   173    2739      14       1     100       1      12  
   174    2753      14       1     100       1      12  
   175    2766      13       1     100       1      11  
   176    2780      14       1     100       1      12  
   177    2792      12       1     100       1      10  
   178    2805      13       1     100       1      11  
   179    2819      14       1     100       1      12  
   180    2833      14       1     100       1      12  
   181    2847      14       1     100       1      12  
   182    2860      13       1     100       1      11  
   183    2876      16       1     100       1      14  
   184    2891      15       1     100       1      13  
   185    2906      15       1     100       1      13  
   186    2921      15       1     100       1      13  
   187    2934      13       1     100       1      11  
   188    2950      16       1     100       1      14  
   189    2965      15       1     100       1      13  
   190    2978      13       1     100       1      11  
