Time  Coordinate0  Coordinate1  Coordinate2  Displacement0  Displacement1  Displacement2  Force0  Force1  Force2  
 2.50000000e-05   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.50204187e-10   1.84770166e-10   7.85589983e-14   4.78308918e-08   4.40185959e-08   6.60834519e-11  
 5.00000000e-05   1.96167081e-04   4.99235197e-03   2.46875000e-02   7.39891401e-10   4.92975324e-10  -3.76526094e-13   7.91416091e-08   7.61521882e-08   1.45366945e-10  
 7.50000000e-05   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.11495872e-09   8.88760856e-10  -2.25880538e-12   9.84184360e-08   9.96690273e-08   2.23997019e-10  
 1.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.42485930e-09   1.34028550e-09  -6.78420920e-12   1.08658573e-07   1.11864256e-07   2.92351953e-10  
 1.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.64276464e-09   1.82019425e-09  -1.53068533e-11   1.12111497e-07   1.16713647e-07   3.43743341e-10  
 1.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.77840993e-09   2.31016186e-09  -2.89572752e-11   1.12010465e-07   1.22079436e-07   3.74969366e-10  
 1.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.86690869e-09   2.79697051e-09  -4.85332828e-11   1.11231186e-07   1.26054756e-07   3.87192597e-10  
 2.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.94949932e-09   3.27330166e-09  -7.42314605e-11   1.11413735e-07   1.23096566e-07   3.83322158e-10  
 2.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.05828450e-09   3.73596040e-09  -1.05888639e-10   1.13779399e-07   1.24843435e-07   3.68716150e-10  
 2.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.20979495e-09   4.19153788e-09  -1.42820979e-10   1.18328409e-07   1.37903878e-07   3.48576447e-10  
 2.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.40519545e-09   4.63519526e-09  -1.84431687e-10   1.22683596e-07   1.29485472e-07   3.26118755e-10  
 3.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.63692249e-09   5.09190370e-09  -2.30706388e-10   1.28339888e-07   1.42820195e-07   3.04113851e-10  
 3.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.89283385e-09   5.55777091e-09  -2.82122035e-10   1.33951845e-07   1.56870981e-07   2.82025046e-10  
 3.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.16319239e-09   6.05859084e-09  -3.39918782e-10   1.39278794e-07   1.69374105e-07   2.58584156e-10  
 3.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.44106494e-09   6.60097676e-09  -4.06207221e-10   1.44164570e-07   1.72677697e-07   2.32320978e-10  
 4.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.72352458e-09   7.19645038e-09  -4.83536766e-10   1.50439992e-07   1.99778608e-07   2.03288029e-10  
 4.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.01005746e-09   7.85088656e-09  -5.74757737e-10   1.55635139e-07   1.98481518e-07   1.71335418e-10  
 4.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.30217372e-09   8.59260939e-09  -6.82772431e-10   1.61746396e-07   2.08560018e-07   1.36786477e-10  
 4.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.59987252e-09   9.40385229e-09  -8.10044744e-10   1.67705329e-07   2.09335024e-07   9.82167862e-11  
 5.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.90369538e-09   1.02982770e-08  -9.59297902e-10   1.73967670e-07   2.12992450e-07   5.91891380e-11  
 5.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.21386275e-09   1.12822255e-08  -1.13370621e-09   1.80659287e-07   2.25549113e-07   2.10659993e-11  
 5.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.53061246e-09   1.23637702e-08  -1.33651758e-09   1.86999811e-07   2.32807901e-07  -1.67124405e-11  
 5.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.85377175e-09   1.35248097e-08  -1.57139874e-09   1.91831352e-07   2.13302005e-07  -5.35453890e-11  
 6.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.18571280e-09   1.47976639e-08  -1.84510051e-09   2.00319787e-07   2.69118579e-07  -8.52697806e-11  
 6.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.52713217e-09   1.61548995e-08  -2.16362321e-09   2.07228870e-07   2.93687394e-07  -1.14356831e-10  
 6.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.88115501e-09   1.76217801e-08  -2.53549696e-09   2.12240800e-07   2.82053986e-07  -1.38213658e-10  
 6.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   7.24938436e-09   1.91908178e-08  -2.97002793e-09   2.18426432e-07   2.90602622e-07  -1.57316344e-10  
