# Time forceX forceY forceZ normalForce
0.0001 0.00882166 0.00882166 2.25251e-05 -0.0138623
0.0001 0.00882166 0.00882166 2.25251e-05 -0.0138623
0.0002 0.0133339 0.0133339 4.51651e-05 -0.0209496
0.0002 0.0133339 0.0133339 4.51651e-05 -0.0209496
0.0003 0.0157293 0.0157293 6.79647e-05 -0.0247105
0.0003 0.0157293 0.0157293 6.79647e-05 -0.0247105
0.0004 0.0175489 0.0175489 9.11731e-05 -0.0275665
0.0004 0.0175489 0.0175489 9.11731e-05 -0.0275665
0.0005 0.0196249 0.0196249 0.00011495 -0.0308254
0.0005 0.0196249 0.0196249 0.00011495 -0.0308254
0.0006 0.0221466 0.0221466 0.000139266 -0.0347845
0.0006 0.0221466 0.0221466 0.000139266 -0.0347845
0.0007 0.025001 0.0250011 0.000164028 -0.0392666
0.0007 0.025001 0.0250011 0.000164028 -0.0392666
0.0008 0.0280355 0.0280355 0.000189146 -0.0440314
0.0008 0.0280355 0.0280355 0.000189146 -0.0440314
0.0009 0.0311623 0.0311622 0.000214547 -0.0489412
0.0009 0.0311623 0.0311622 0.000214547 -0.0489412
0.001 0.0343601 0.0343601 0.000240161 -0.0539627
0.001 0.0343601 0.0343601 0.000240161 -0.0539627
0.0011 0.0376368 0.0376368 0.00026592 -0.0591077
0.0011 0.0376368 0.0376368 0.00026592 -0.0591077
0.0012 0.0409972 0.0409973 0.00029176 -0.0643844
0.0012 0.0409972 0.0409973 0.00029176 -0.0643844
0.0013 0.0444362 0.0444361 0.000317624 -0.0697841
0.0013 0.0444362 0.0444361 0.000317624 -0.0697841
0.0014 0.0479414 0.0479414 0.000343465 -0.0752879
0.0014 0.0479414 0.0479414 0.000343465 -0.0752879
0.0015 0.0515014 0.0515013 0.000369242 -0.0808777
0.0015 0.0515014 0.0515013 0.000369242 -0.0808777
0.0016 0.0551069 0.0551069 0.000394918 -0.0865389
0.0016 0.0551069 0.0551069 0.000394918 -0.0865389
0.0017 0.0587441 0.0587442 0.00042046 -0.0922499
0.0017 0.0587441 0.0587442 0.00042046 -0.0922499
0.0018 0.0624053 0.0624053 0.000445835 -0.0979985
0.0018 0.0624053 0.0624053 0.000445835 -0.0979985
0.0019 0.0660928 0.0660926 0.000471007 -0.103789
0.0019 0.0660928 0.0660926 0.000471007 -0.103789
0.002 0.069796 0.0697961 0.000495943 -0.109604
0.002 0.069796 0.0697961 0.000495943 -0.109604
0.0021 0.0735013 0.0735013 0.0005206 -0.115421
0.0021 0.0735013 0.0735013 0.0005206 -0.115421
0.0022 0.0772146 0.0772145 0.000544936 -0.121252
0.0022 0.0772146 0.0772145 0.000544936 -0.121252
0.0023 0.0809217 0.0809216 0.000568895 -0.127073
0.0023 0.0809217 0.0809216 0.000568895 -0.127073
0.0024 0.084622 0.084622 0.000592411 -0.132883
0.0024 0.084622 0.084622 0.000592411 -0.132883
0.0025 0.0883209 0.0883209 0.000615405 -0.138691
0.0025 0.0883209 0.0883209 0.000615405 -0.138691
0.0026 0.0920028 0.0920029 0.000637788 -0.144473
0.0026 0.0920028 0.0920029 0.000637788 -0.144473
0.0027 0.095674 0.0956739 0.000659464 -0.150237
0.0027 0.095674 0.0956739 0.000659464 -0.150237
0.0028 0.0993308 0.0993307 0.00068033 -0.155979
0.0028 0.0993308 0.0993307 0.00068033 -0.155979
0.0029 0.102969 0.102969 0.000700289 -0.161692
0.0029 0.102969 0.102969 0.000700289 -0.161692
0.003 0.106589 0.106589 0.00071925 -0.167377
0.003 0.106589 0.106589 0.00071925 -0.167377
0.0031 0.101537 0.101537 0.000714958 -0.159434
0.0031 0.101537 0.101537 0.000714958 -0.159434
0.0032 0.100593 0.100593 0.000709162 -0.15795
0.0032 0.100593 0.100593 0.000709162 -0.15795
0.0033 0.101727 0.101727 0.000701938 -0.159731
0.0033 0.101727 0.101727 0.000701938 -0.159731
0.0034 0.103446 0.103447 0.000693095 -0.162432
0.0034 0.103446 0.103447 0.000693095 -0.162432
0.0035 0.10491 0.104909 0.000682529 -0.164731
0.0035 0.10491 0.104909 0.000682529 -0.164731
0.0036 0.105914 0.105913 0.000670324 -0.166309
0.0036 0.105914 0.105913 0.000670324 -0.166309
0.0037 0.106551 0.106551 0.000656634 -0.16731
0.0037 0.106551 0.106551 0.000656634 -0.16731
0.0038 0.106978 0.106978 0.000641626 -0.16798
0.0038 0.106978 0.106978 0.000641626 -0.16798
0.0039 0.107311 0.107311 0.000625452 -0.168505
0.0039 0.107311 0.107311 0.000625452 -0.168505
0.004 0.107563 0.107563 0.000608266 -0.168901
0.004 0.107563 0.107563 0.000608266 -0.168901
0.0041 0.107704 0.107704 0.000590223 -0.169123
0.0041 0.107704 0.107704 0.000590223 -0.169123
0.0042 0.107771 0.107771 0.000571478 -0.169229
0.0042 0.107771 0.107771 0.000571478 -0.169229
0.0043 0.107762 0.107762 0.000552175 -0.169216
0.0043 0.107762 0.107762 0.000552175 -0.169216
0.0044 0.107647 0.107647 0.000532449 -0.169036
0.0044 0.107647 0.107647 0.000532449 -0.169036
0.0045 0.107472 0.107472 0.000512432 -0.168761
0.0045 0.107472 0.107472 0.000512432 -0.168761
0.0046 0.107272 0.107272 0.000492239 -0.168448
0.0046 0.107272 0.107272 0.000492239 -0.168448
0.0047 0.107019 0.107019 0.00047198 -0.168051
0.0047 0.107019 0.107019 0.00047198 -0.168051
0.0048 0.106721 0.106722 0.000451761 -0.167585
0.0048 0.106721 0.106722 0.000451761 -0.167585
0.0049 0.106427 0.106427 0.000431687 -0.167124
0.0049 0.106427 0.106427 0.000431687 -0.167124
0.005 0.10611 0.10611 0.000411864 -0.166626
0.005 0.10611 0.10611 0.000411864 -0.166626
0.0051 0.105757 0.105758 0.000392405 -0.166073
0.0051 0.105757 0.105758 0.000392405 -0.166073
0.0052 0.105422 0.105422 0.00037343 -0.165546
0.0052 0.105422 0.105422 0.00037343 -0.165546
