# Time Dx Dy Dz magD
0.0001 0 1.48734e-11 -1.24922e-12 1.49257e-11
0.0001 0 1.48734e-11 -1.24922e-12 1.49257e-11
0.0002 0 1.22633e-10 -1.23179e-11 1.2325e-10
0.0002 0 1.22633e-10 -1.23179e-11 1.2325e-10
0.0003 0 5.30074e-10 -6.77664e-11 5.34388e-10
0.0003 0 5.30074e-10 -6.77664e-11 5.34388e-10
0.0004 0 1.55591e-09 -2.82911e-10 1.58142e-09
0.0004 0 1.55591e-09 -2.82911e-10 1.58142e-09
0.0005 0 3.54539e-09 -1.00971e-09 3.68636e-09
0.0005 0 3.54539e-09 -1.00971e-09 3.68636e-09
0.0006 0 6.80269e-09 -3.20951e-09 7.52181e-09
0.0006 0 6.80269e-09 -3.20951e-09 7.52181e-09
0.0007 0 1.16604e-08 -9.1744e-09 1.48369e-08
0.0007 0 1.16604e-08 -9.1744e-09 1.48369e-08
0.0008 0 1.86149e-08 -2.36578e-08 3.01032e-08
0.0008 0 1.86149e-08 -2.36578e-08 3.01032e-08
0.0009 0 2.84468e-08 -5.53207e-08 6.22061e-08
0.0009 0 2.84468e-08 -5.53207e-08 6.22061e-08
0.001 0 4.22668e-08 -1.18187e-07 1.25517e-07
0.001 0 4.22668e-08 -1.18187e-07 1.25517e-07
0.0011 0 6.14054e-08 -2.3263e-07 2.40598e-07
0.0011 0 6.14054e-08 -2.3263e-07 2.40598e-07
0.0012 0 8.73181e-08 -4.25419e-07 4.34288e-07
0.0012 0 8.73181e-08 -4.25419e-07 4.34288e-07
0.0013 0 1.21539e-07 -7.28489e-07 7.38558e-07
0.0013 0 1.21539e-07 -7.28489e-07 7.38558e-07
0.0014 0 1.65703e-07 -1.17648e-06 1.1881e-06
0.0014 0 1.65703e-07 -1.17648e-06 1.1881e-06
0.0015 0 2.21509e-07 -1.80346e-06 1.81701e-06
0.0015 0 2.21509e-07 -1.80346e-06 1.81701e-06
0.0016 0 2.90799e-07 -2.63936e-06 2.65533e-06
0.0016 0 2.90799e-07 -2.63936e-06 2.65533e-06
0.0017 0 3.75553e-07 -3.70707e-06 3.72604e-06
0.0017 0 3.75553e-07 -3.70707e-06 3.72604e-06
0.0018 0 4.78021e-07 -5.02045e-06 5.04315e-06
0.0018 0 4.78021e-07 -5.02045e-06 5.04315e-06
0.0019 0 6.00798e-07 -6.58372e-06 6.61108e-06
0.0019 0 6.00798e-07 -6.58372e-06 6.61108e-06
0.002 0 7.46933e-07 -8.39207e-06 8.42525e-06
0.002 0 7.46933e-07 -8.39207e-06 8.42525e-06
0.0021 0 9.20014e-07 -1.04331e-05 1.04736e-05
0.0021 0 9.20014e-07 -1.04331e-05 1.04736e-05
0.0022 0 1.12427e-06 -1.26887e-05 1.27384e-05
0.0022 0 1.12427e-06 -1.26887e-05 1.27384e-05
0.0023 0 1.36443e-06 -1.51373e-05 1.51987e-05
0.0023 0 1.36443e-06 -1.51373e-05 1.51987e-05
0.0024 0 1.64584e-06 -1.77555e-05 1.78316e-05
0.0024 0 1.64584e-06 -1.77555e-05 1.78316e-05
0.0025 0 1.97444e-06 -2.05194e-05 2.06142e-05
0.0025 0 1.97444e-06 -2.05194e-05 2.06142e-05
0.0026 0 2.35645e-06 -2.34059e-05 2.35242e-05
0.0026 0 2.35645e-06 -2.34059e-05 2.35242e-05
0.0027 0 2.79859e-06 -2.63929e-05 2.65409e-05
0.0027 0 2.79859e-06 -2.63929e-05 2.65409e-05
0.0028 0 3.30799e-06 -2.94601e-05 2.96453e-05
0.0028 0 3.30799e-06 -2.94601e-05 2.96453e-05
0.0029 0 3.8921e-06 -3.25886e-05 3.28202e-05
0.0029 0 3.8921e-06 -3.25886e-05 3.28202e-05
0.003 0 4.55888e-06 -3.5761e-05 3.60504e-05
0.003 0 4.55888e-06 -3.5761e-05 3.60504e-05
0.0031 0 5.31665e-06 -3.89611e-05 3.93222e-05
0.0031 0 5.31665e-06 -3.89611e-05 3.93222e-05
0.0032 0 6.17433e-06 -4.21737e-05 4.26233e-05
0.0032 0 6.17433e-06 -4.21737e-05 4.26233e-05
0.0033 0 7.14143e-06 -4.53841e-05 4.59425e-05
0.0033 0 7.14143e-06 -4.53841e-05 4.59425e-05
0.0034 0 8.22798e-06 -4.85777e-05 4.92696e-05
0.0034 0 8.22798e-06 -4.85777e-05 4.92696e-05
0.0035 0 9.44483e-06 -5.17395e-05 5.25945e-05
0.0035 0 9.44483e-06 -5.17395e-05 5.25945e-05
0.0036 0 1.08034e-05 -5.4853e-05 5.59068e-05
0.0036 0 1.08034e-05 -5.4853e-05 5.59068e-05
0.0037 0 1.23157e-05 -5.78994e-05 5.91947e-05
0.0037 0 1.23157e-05 -5.78994e-05 5.91947e-05
0.0038 0 1.39932e-05 -6.0856e-05 6.2444e-05
0.0038 0 1.39932e-05 -6.0856e-05 6.2444e-05
0.0039 0 1.58466e-05 -6.36948e-05 6.56364e-05
0.0039 0 1.58466e-05 -6.36948e-05 6.56364e-05
0.004 0 1.78854e-05 -6.63812e-05 6.87485e-05
0.004 0 1.78854e-05 -6.63812e-05 6.87485e-05
0.0041 0 2.01166e-05 -6.88732e-05 7.17509e-05
0.0041 0 2.01166e-05 -6.88732e-05 7.17509e-05
0.0042 0 2.25449e-05 -7.11218e-05 7.46095e-05
0.0042 0 2.25449e-05 -7.11218e-05 7.46095e-05
0.0043 0 2.51718e-05 -7.3073e-05 7.7287e-05
0.0043 0 2.51718e-05 -7.3073e-05 7.7287e-05
0.0044 0 2.79958e-05 -7.46712e-05 7.97468e-05
0.0044 0 2.79958e-05 -7.46712e-05 7.97468e-05
0.0045 0 3.10121e-05 -7.58627e-05 8.19566e-05
0.0045 0 3.10121e-05 -7.58627e-05 8.19566e-05
0.0046 0 3.42129e-05 -7.66004e-05 8.38936e-05
0.0046 0 3.42129e-05 -7.66004e-05 8.38936e-05
0.0047 0 3.75876e-05 -7.68472e-05 8.55472e-05
0.0047 0 3.75876e-05 -7.68472e-05 8.55472e-05
0.0048 0 4.11239e-05 -7.65783e-05 8.69219e-05
0.0048 0 4.11239e-05 -7.65783e-05 8.69219e-05
0.0049 0 4.48082e-05 -7.57823e-05 8.80382e-05
0.0049 0 4.48082e-05 -7.57823e-05 8.80382e-05
0.005 0 4.86261e-05 -7.44604e-05 8.89317e-05
0.005 0 4.86261e-05 -7.44604e-05 8.89317e-05
0.0051 0 5.25632e-05 -7.26249e-05 8.96508e-05
0.0051 0 5.25632e-05 -7.26249e-05 8.96508e-05
0.0052 0 5.66053e-05 -7.02968e-05 9.02541e-05
0.0052 0 5.66053e-05 -7.02968e-05 9.02541e-05
0.0053 0 6.07386e-05 -6.75032e-05 9.08067e-05
0.0053 0 6.07386e-05 -6.75032e-05 9.08067e-05
0.0054 0 6.49492e-05 -6.42751e-05 9.13766e-05
0.0054 0 6.49492e-05 -6.42751e-05 9.13766e-05
0.0055 0 6.9223e-05 -6.06449e-05 9.20306e-05
0.0055 0 6.9223e-05 -6.06449e-05 9.20306e-05
0.0056 0 7.35447e-05 -5.66453e-05 9.28306e-05
0.0056 0 7.35447e-05 -5.66453e-05 9.28306e-05
0.0057 0 7.78966e-05 -5.23076e-05 9.38295e-05
0.0057 0 7.78966e-05 -5.23076e-05 9.38295e-05
0.0058 0 8.22577e-05 -4.76616e-05 9.50682e-05
