# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001        	(8.824541e-03 8.824540e-03 -9.672691e-08)	(8.825402e-03 8.825402e-03 -2.273923e-05)	(-8.616695e-07 -8.616779e-07 2.264250e-05)
0.0002        	(1.334722e-02 1.334722e-02 -1.487994e-05)	(1.334841e-02 1.334842e-02 -6.026232e-05)	(-1.197363e-06 -1.197383e-06 4.538238e-05)
0.0003        	(1.575817e-02 1.575816e-02 -3.930364e-05)	(1.575963e-02 1.575962e-02 -1.075902e-04)	(-1.459964e-06 -1.459990e-06 6.828661e-05)
0.0004        	(1.759735e-02 1.759735e-02 -7.086646e-05)	(1.759897e-02 1.759897e-02 -1.624855e-04)	(-1.616456e-06 -1.616482e-06 9.161902e-05)
0.0005        	(1.969725e-02 1.969725e-02 -1.053902e-04)	(1.969892e-02 1.969893e-02 -2.209335e-04)	(-1.677768e-06 -1.677799e-06 1.155432e-04)
0.0006        	(2.224756e-02 2.224754e-02 -1.391035e-04)	(2.224923e-02 2.224921e-02 -2.791339e-04)	(-1.663981e-06 -1.663992e-06 1.400303e-04)
0.0007        	(2.513546e-02 2.513549e-02 -1.698449e-04)	(2.513706e-02 2.513709e-02 -3.348305e-04)	(-1.596644e-06 -1.596679e-06 1.649855e-04)
0.0008        	(2.820794e-02 2.820792e-02 -1.966308e-04)	(2.820943e-02 2.820942e-02 -3.869516e-04)	(-1.494954e-06 -1.494990e-06 1.903207e-04)
0.0009        	(3.137700e-02 3.137694e-02 -2.189459e-04)	(3.137837e-02 3.137831e-02 -4.349076e-04)	(-1.374834e-06 -1.374775e-06 2.159618e-04)
0.001         	(3.462121e-02 3.462125e-02 -2.364592e-04)	(3.462246e-02 3.462250e-02 -4.782988e-04)	(-1.248702e-06 -1.248588e-06 2.418396e-04)
0.0011        	(3.794835e-02 3.794836e-02 -2.490997e-04)	(3.794947e-02 3.794948e-02 -5.169856e-04)	(-1.125629e-06 -1.125569e-06 2.678859e-04)
0.0012        	(4.136312e-02 4.136323e-02 -2.568001e-04)	(4.136413e-02 4.136424e-02 -5.508353e-04)	(-1.012499e-06 -1.012597e-06 2.940353e-04)
0.0013        	(4.486008e-02 4.486002e-02 -2.597429e-04)	(4.486100e-02 4.486093e-02 -5.799689e-04)	(-9.139823e-07 -9.141016e-07 3.202261e-04)
0.0014        	(4.842641e-02 4.842650e-02 -2.581164e-04)	(4.842724e-02 4.842733e-02 -6.045261e-04)	(-8.340150e-07 -8.342965e-07 3.464097e-04)
0.0015        	(5.205049e-02 5.205043e-02 -2.524903e-04)	(5.205126e-02 5.205121e-02 -6.250331e-04)	(-7.726403e-07 -7.728953e-07 3.725428e-04)
0.0016        	(5.572257e-02 5.572254e-02 -2.434624e-04)	(5.572330e-02 5.572327e-02 -6.420506e-04)	(-7.292045e-07 -7.293369e-07 3.985882e-04)
0.0017        	(5.942838e-02 5.942842e-02 -2.311124e-04)	(5.942908e-02 5.942912e-02 -6.556216e-04)	(-7.029402e-07 -7.030846e-07 4.245091e-04)
0.0018        	(6.315976e-02 6.315982e-02 -2.159048e-04)	(6.316045e-02 6.316051e-02 -6.661754e-04)	(-6.923967e-07 -6.925959e-07 4.502706e-04)
0.0019        	(6.691890e-02 6.691876e-02 -1.986916e-04)	(6.691959e-02 6.691946e-02 -6.745298e-04)	(-6.941148e-07 -6.941690e-07 4.758382e-04)
0.002         	(7.069482e-02 7.069486e-02 -1.797240e-04)	(7.069553e-02 7.069556e-02 -6.808991e-04)	(-7.068649e-07 -7.067965e-07 5.011751e-04)
0.0021        	(7.447338e-02 7.447340e-02 -1.587394e-04)	(7.447410e-02 7.447413e-02 -6.849789e-04)	(-7.289727e-07 -7.289789e-07 5.262395e-04)
0.0022        	(7.826053e-02 7.826045e-02 -1.364831e-04)	(7.826129e-02 7.826121e-02 -6.874676e-04)	(-7.573367e-07 -7.573017e-07 5.509845e-04)
0.0023        	(8.204163e-02 8.204156e-02 -1.130837e-04)	(8.204242e-02 8.204235e-02 -6.884384e-04)	(-7.903222e-07 -7.901216e-07 5.753547e-04)
0.0024        	(8.581597e-02 8.581599e-02 -8.890518e-05)	(8.581679e-02 8.581682e-02 -6.881865e-04)	(-8.253701e-07 -8.251791e-07 5.992813e-04)
0.0025        	(8.958896e-02 8.958894e-02 -6.456640e-05)	(8.958982e-02 8.958980e-02 -6.872511e-04)	(-8.612865e-07 -8.611060e-07 6.226847e-04)
0.0026        	(9.334461e-02 9.334472e-02 -4.009414e-05)	(9.334551e-02 9.334562e-02 -6.855685e-04)	(-8.961856e-07 -8.960637e-07 6.454743e-04)
0.0027        	(9.708933e-02 9.708926e-02 -1.596228e-05)	(9.709026e-02 9.709019e-02 -6.835141e-04)	(-9.298113e-07 -9.296916e-07 6.675518e-04)
0.0028        	(1.008193e-01 1.008192e-01 7.700931e-06)	(1.008203e-01 1.008202e-01 -6.811150e-04)	(-9.612279e-07 -9.609107e-07 6.888159e-04)
0.0029        	(1.045304e-01 1.045306e-01 3.064383e-05)	(1.045314e-01 1.045316e-01 -6.785245e-04)	(-9.896069e-07 -9.894320e-07 7.091683e-04)
0.003         	(1.082227e-01 1.082228e-01 5.267166e-05)	(1.082237e-01 1.082238e-01 -6.758464e-04)	(-1.014483e-06 -1.014527e-06 7.285181e-04)
0.0031        	(1.030758e-01 1.030759e-01 5.143492e-04)	(1.030766e-01 1.030767e-01 -2.093225e-04)	(-7.929580e-07 -7.932604e-07 7.236717e-04)
0.0032        	(1.021190e-01 1.021190e-01 6.612761e-04)	(1.021200e-01 1.021199e-01 -5.612381e-05)	(-9.401979e-07 -9.406408e-07 7.173999e-04)
0.0033        	(1.032644e-01 1.032641e-01 6.871861e-04)	(1.032654e-01 1.032651e-01 -2.261022e-05)	(-1.003214e-06 -1.003396e-06 7.097963e-04)
0.0034        	(1.049993e-01 1.049999e-01 6.849651e-04)	(1.050003e-01 1.050009e-01 -1.569010e-05)	(-1.035731e-06 -1.036542e-06 7.006552e-04)
0.0035        	(1.064717e-01 1.064713e-01 6.839528e-04)	(1.064728e-01 1.064723e-01 -5.893665e-06)	(-1.047175e-06 -1.047847e-06 6.898464e-04)
0.0036        	(1.074750e-01 1.074746e-01 6.846623e-04)	(1.074760e-01 1.074757e-01 7.231200e-06)	(-1.034562e-06 -1.034511e-06 6.774311e-04)
0.0037        	(1.081036e-01 1.081040e-01 6.823200e-04)	(1.081046e-01 1.081050e-01 1.876952e-05)	(-9.961961e-07 -9.963489e-07 6.635505e-04)
