# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001        	(-1.350018e-05 1.346149e-05 -3.529816e-03)	(-1.131020e-05 2.214511e-06 -3.530161e-03)	(-2.189982e-06 1.124698e-05 3.446719e-07)
0.0002        	(-2.546185e-05 1.950978e-05 -5.338889e-03)	(-2.107253e-05 -3.032490e-06 -5.339368e-03)	(-4.389320e-06 2.254227e-05 4.789553e-07)
0.0003        	(-3.256319e-05 1.684179e-05 -6.303265e-03)	(-2.595881e-05 -1.707724e-05 -6.303849e-03)	(-6.604382e-06 3.391903e-05 5.839987e-07)
0.0004        	(-3.681295e-05 8.466481e-06 -7.038939e-03)	(-2.795225e-05 -3.704183e-05 -7.039586e-03)	(-8.860703e-06 4.550831e-05 6.465954e-07)
0.0005        	(-4.171304e-05 -4.432470e-07 -7.878900e-03)	(-3.053894e-05 -5.783463e-05 -7.879572e-03)	(-1.117410e-05 5.739138e-05 6.711228e-07)
0.0006        	(-4.944072e-05 -6.200060e-06 -8.899015e-03)	(-3.589896e-05 -7.575395e-05 -8.899681e-03)	(-1.354176e-05 6.955389e-05 6.655978e-07)
0.0007        	(-6.045300e-05 -7.486019e-06 -1.005420e-02)	(-4.449850e-05 -8.943474e-05 -1.005484e-02)	(-1.595451e-05 8.194872e-05 6.386748e-07)
0.0008        	(-7.434116e-05 -4.311102e-06 -1.128317e-02)	(-5.593734e-05 -9.884323e-05 -1.128377e-02)	(-1.840382e-05 9.453212e-05 5.979996e-07)
0.0009        	(-9.066671e-05 3.090762e-06 -1.255077e-02)	(-6.978418e-05 -1.041765e-04 -1.255132e-02)	(-2.088253e-05 1.072672e-04 5.499043e-07)
0.001         	(-1.093028e-04 1.471756e-05 -1.384851e-02)	(-8.591882e-05 -1.054022e-04 -1.384901e-02)	(-2.338396e-05 1.201198e-04 4.994242e-07)
0.0011        	(-1.303244e-04 3.068417e-05 -1.517934e-02)	(-1.044229e-04 -1.023717e-04 -1.517979e-02)	(-2.590150e-05 1.330559e-04 4.502216e-07)
0.0012        	(-1.538885e-04 5.116649e-05 -1.654530e-02)	(-1.254596e-04 -9.487646e-05 -1.654571e-02)	(-2.842884e-05 1.460430e-04 4.050483e-07)
0.0013        	(-1.800677e-04 7.617316e-05 -1.794400e-02)	(-1.491077e-04 -8.287731e-05 -1.794437e-02)	(-3.096003e-05 1.590505e-04 3.656521e-07)
0.0014        	(-2.088861e-04 1.056380e-04 -1.937061e-02)	(-1.753957e-04 -6.641626e-05 -1.937094e-02)	(-3.349038e-05 1.720543e-04 3.337457e-07)
0.0015        	(-2.402769e-04 1.392816e-04 -2.082017e-02)	(-2.042612e-04 -4.575124e-05 -2.082048e-02)	(-3.601572e-05 1.850328e-04 3.091827e-07)
