# Time forceX forceY forceZ normalForce
2.5e-05 0.00307623 0.00307623 5.80555e-06 -0.00483688
2.5e-05 0.00307623 0.00307623 5.80555e-06 -0.00483688
5e-05 0.00592483 0.00592483 1.12528e-05 -0.00931254
5e-05 0.00592483 0.00592483 1.12528e-05 -0.00931254
7.5e-05 0.00850427 0.00850427 1.67961e-05 -0.0133642
7.5e-05 0.00850427 0.00850427 1.67961e-05 -0.0133642
0.0001 0.0107016 0.0107016 2.25116e-05 -0.0168153
0.0001 0.0107016 0.0107016 2.25116e-05 -0.0168153
0.000125 0.012438 0.012438 2.83111e-05 -0.0195424
0.000125 0.012438 0.012438 2.83111e-05 -0.0195424
0.00015 0.0137088 0.0137088 3.40698e-05 -0.0215381
0.00015 0.0137088 0.0137088 3.40698e-05 -0.0215381
0.000175 0.0145666 0.0145666 3.9703e-05 -0.0228853
0.000175 0.0145666 0.0145666 3.9703e-05 -0.0228853
0.0002 0.0150913 0.0150913 4.51972e-05 -0.0237093
0.0002 0.0150913 0.0150913 4.51972e-05 -0.0237093
0.000225 0.015367 0.015367 5.06016e-05 -0.0241421
0.000225 0.015367 0.015367 5.06016e-05 -0.0241421
0.00025 0.0154722 0.0154722 5.59964e-05 -0.0243071
0.00025 0.0154722 0.0154722 5.59964e-05 -0.0243071
0.000275 0.0154788 0.0154788 6.14576e-05 -0.0243169
0.000275 0.0154788 0.0154788 6.14576e-05 -0.0243169
0.0003 0.0154513 0.0154513 6.70324e-05 -0.0242731
0.0003 0.0154513 0.0154513 6.70324e-05 -0.0242731
0.000325 0.0154469 0.0154469 7.2731e-05 -0.0242654
0.000325 0.0154469 0.0154469 7.2731e-05 -0.0242654
0.00035 0.0155135 0.0155135 7.85326e-05 -0.0243692
0.00035 0.0155135 0.0155135 7.85326e-05 -0.0243692
0.000375 0.0156866 0.0156866 8.44004e-05 -0.0246401
0.000375 0.0156866 0.0156866 8.44004e-05 -0.0246401
0.0004 0.0159868 0.0159868 9.02965e-05 -0.0251108
0.0004 0.0159868 0.0159868 9.02965e-05 -0.0251108
0.000425 0.0164206 0.0164206 9.61936e-05 -0.0257913
0.000425 0.0164206 0.0164206 9.61936e-05 -0.0257913
0.00045 0.0169816 0.0169816 0.00010208 -0.0266718
0.00045 0.0169816 0.0169816 0.00010208 -0.0266718
0.000475 0.0176534 0.0176534 0.000107959 -0.0277264
0.000475 0.0176534 0.0176534 0.000107959 -0.0277264
0.0005 0.018414 0.0184141 0.000113844 -0.0289207
0.0005 0.018414 0.0184141 0.000113844 -0.0289207
0.000525 0.0192395 0.0192395 0.000119752 -0.030217
0.000525 0.0192395 0.0192395 0.000119752 -0.030217
0.00055 0.0201052 0.0201052 0.0001257 -0.0315766
0.00055 0.0201052 0.0201052 0.0001257 -0.0315766
