# Time Dx Dy Dz magD
2.5e-05 0 1.08538e-17 -4.76651e-19 1.08642e-17
2.5e-05 0 1.08538e-17 -4.76651e-19 1.08642e-17
5e-05 0 -1.66159e-14 2.55525e-17 1.66159e-14
5e-05 0 -1.66159e-14 2.55525e-17 1.66159e-14
7.5e-05 0 -1.0293e-14 5.3492e-16 1.03069e-14
7.5e-05 0 -1.0293e-14 5.3492e-16 1.03069e-14
0.0001 0 -7.16347e-14 1.88689e-15 7.16595e-14
0.0001 0 -7.16347e-14 1.88689e-15 7.16595e-14
0.000125 0 -1.16408e-13 2.69468e-15 1.16439e-13
0.000125 0 -1.16408e-13 2.69468e-15 1.16439e-13
0.00015 0 -3.78033e-13 1.91432e-15 3.78038e-13
0.00015 0 -3.78033e-13 1.91432e-15 3.78038e-13
0.000175 0 -6.40498e-13 9.31723e-15 6.40565e-13
0.000175 0 -6.40498e-13 9.31723e-15 6.40565e-13
0.0002 0 -1.02075e-12 3.03702e-14 1.0212e-12
0.0002 0 -1.02075e-12 3.03702e-14 1.0212e-12
0.000225 0 -1.19987e-12 6.29211e-14 1.20152e-12
0.000225 0 -1.19987e-12 6.29211e-14 1.20152e-12
0.00025 0 -9.5467e-13 9.88298e-14 9.59772e-13
0.00025 0 -9.5467e-13 9.88298e-14 9.59772e-13
0.000275 0 -7.80852e-13 1.34182e-13 7.92297e-13
0.000275 0 -7.80852e-13 1.34182e-13 7.92297e-13
0.0003 0 -1.67355e-13 1.65471e-13 2.35347e-13
0.0003 0 -1.67355e-13 1.65471e-13 2.35347e-13
0.000325 0 2.29271e-12 1.83928e-13 2.30007e-12
0.000325 0 2.29271e-12 1.83928e-13 2.30007e-12
0.00035 0 7.69727e-12 1.27959e-13 7.69834e-12
0.00035 0 7.69727e-12 1.27959e-13 7.69834e-12
0.000375 0 2.07391e-11 -1.66822e-13 2.07398e-11
0.000375 0 2.07391e-11 -1.66822e-13 2.07398e-11
0.0004 0 4.78934e-11 -1.06312e-12 4.79051e-11
0.0004 0 4.78934e-11 -1.06312e-12 4.79051e-11
0.000425 0 1.00292e-10 -3.24285e-12 1.00345e-10
0.000425 0 1.00292e-10 -3.24285e-12 1.00345e-10
0.00045 0 1.96266e-10 -7.87419e-12 1.96424e-10
0.00045 0 1.96266e-10 -7.87419e-12 1.96424e-10
0.000475 0 3.60131e-10 -1.68171e-11 3.60524e-10
0.000475 0 3.60131e-10 -1.68171e-11 3.60524e-10
0.0005 0 6.2432e-10 -3.28385e-11 6.25183e-10
0.0005 0 6.2432e-10 -3.28385e-11 6.25183e-10
0.000525 0 1.03421e-09 -5.96531e-11 1.03593e-09
0.000525 0 1.03421e-09 -5.96531e-11 1.03593e-09
0.00055 0 1.63084e-09 -1.01811e-10 1.63401e-09
0.00055 0 1.63084e-09 -1.01811e-10 1.63401e-09
0.000575 0 2.45598e-09 -1.64205e-10 2.46147e-09
0.000575 0 2.45598e-09 -1.64205e-10 2.46147e-09
0.0006 0 3.53991e-09 -2.5116e-10 3.54881e-09
0.0006 0 3.53991e-09 -2.5116e-10 3.54881e-09
0.000625 0 4.88361e-09 -3.6507e-10 4.89723e-09
0.000625 0 4.88361e-09 -3.6507e-10 4.89723e-09
0.00065 0 6.47349e-09 -5.05012e-10 6.49316e-09
0.00065 0 6.47349e-09 -5.05012e-10 6.49316e-09
0.000675 0 8.24109e-09 -6.65877e-10 8.26795e-09
0.000675 0 8.24109e-09 -6.65877e-10 8.26795e-09
0.0007 0 1.00923e-08 -8.37907e-10 1.0127e-08
0.0007 0 1.00923e-08 -8.37907e-10 1.0127e-08
0.000725 0 1.19034e-08 -1.00757e-09 1.19459e-08
0.000725 0 1.19034e-08 -1.00757e-09 1.19459e-08
0.00075 0 1.35376e-08 -1.15982e-09 1.35872e-08
0.00075 0 1.35376e-08 -1.15982e-09 1.35872e-08
0.000775 0 1.4875e-08 -1.2813e-09 1.49301e-08
0.000775 0 1.4875e-08 -1.2813e-09 1.49301e-08
0.0008 0 1.58296e-08 -1.36456e-09 1.58883e-08
0.0008 0 1.58296e-08 -1.36456e-09 1.58883e-08
0.000825 0 1.63681e-08 -1.41204e-09 1.64289e-08
0.000825 0 1.63681e-08 -1.41204e-09 1.64289e-08
0.00085 0 1.65543e-08 -1.43882e-09 1.66167e-08
0.00085 0 1.65543e-08 -1.43882e-09 1.66167e-08
0.000875 0 1.65469e-08 -1.47418e-09 1.66125e-08
0.000875 0 1.65469e-08 -1.47418e-09 1.66125e-08
0.0009 0 1.65124e-08 -1.5602e-09 1.6586e-08
0.0009 0 1.65124e-08 -1.5602e-09 1.6586e-08
0.000925 0 1.66902e-08 -1.74671e-09 1.67814e-08
0.000925 0 1.66902e-08 -1.74671e-09 1.67814e-08
0.00095 0 1.7341e-08 -2.08687e-09 1.74661e-08
0.00095 0 1.7341e-08 -2.08687e-09 1.74661e-08
0.000975 0 1.87012e-08 -2.63436e-09 1.88858e-08
0.000975 0 1.87012e-08 -2.63436e-09 1.88858e-08
0.001 0 2.09495e-08 -3.44193e-09 2.12304e-08
0.001 0 2.09495e-08 -3.44193e-09 2.12304e-08
0.001025 0 2.41522e-08 -4.56263e-09 2.45794e-08
0.001025 0 2.41522e-08 -4.56263e-09 2.45794e-08
0.00105 0 2.82749e-08 -6.05483e-09 2.89159e-08
0.00105 0 2.82749e-08 -6.05483e-09 2.89159e-08
0.001075 0 3.32078e-08 -7.99175e-09 3.41559e-08
0.001075 0 3.32078e-08 -7.99175e-09 3.41559e-08
0.0011 0 3.87274e-08 -1.04746e-08 4.0119e-08
0.0011 0 3.87274e-08 -1.04746e-08 4.0119e-08
0.001125 0 4.45808e-08 -1.36484e-08 4.66233e-08
0.001125 0 4.45808e-08 -1.36484e-08 4.66233e-08
0.00115 0 5.05118e-08 -1.77185e-08 5.35293e-08
0.00115 0 5.05118e-08 -1.77185e-08 5.35293e-08
0.001175 0 5.62861e-08 -2.29659e-08 6.07911e-08
0.001175 0 5.62861e-08 -2.29659e-08 6.07911e-08
0.0012 0 6.17438e-08 -2.97601e-08 6.85416e-08
0.0012 0 6.17438e-08 -2.97601e-08 6.85416e-08
0.001225 0 6.68233e-08 -3.85678e-08 7.71546e-08
0.001225 0 6.68233e-08 -3.85678e-08 7.71546e-08
0.00125 0 7.15632e-08 -4.99596e-08 8.72768e-08
0.00125 0 7.15632e-08 -4.99596e-08 8.72768e-08
0.001275 0 7.61137e-08 -6.4611e-08 9.98393e-08
0.001275 0 7.61137e-08 -6.4611e-08 9.98393e-08
0.0013 0 8.07056e-08 -8.33027e-08 1.15986e-07
0.0013 0 8.07056e-08 -8.33027e-08 1.15986e-07
0.001325 0 8.56193e-08 -1.06917e-07 1.36974e-07
0.001325 0 8.56193e-08 -1.06917e-07 1.36974e-07
0.00135 0 9.11711e-08 -1.36434e-07 1.64092e-07
0.00135 0 9.11711e-08 -1.36434e-07 1.64092e-07
0.001375 0 9.76467e-08 -1.72921e-07 1.98586e-07
0.001375 0 9.76467e-08 -1.72921e-07 1.98586e-07
0.0014 0 1.05281e-07 -2.17529e-07 2.41667e-07
0.0014 0 1.05281e-07 -2.17529e-07 2.41667e-07
0.001425 0 1.14258e-07 -2.71478e-07 2.94543e-07
0.001425 0 1.14258e-07 -2.71478e-07 2.94543e-07
0.00145 0 1.24659e-07 -3.36046e-07 3.58422e-07
0.00145 0 1.24659e-07 -3.36046e-07 3.58422e-07
0.001475 0 1.36475e-07 -4.12549e-07 4.34536e-07
0.001475 0 1.36475e-07 -4.12549e-07 4.34536e-07
