# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(3.075590e-03 3.075590e-03 3.722071e-06)	(3.076075e-03 3.076075e-03 -2.123816e-06)	(-4.850638e-07 -4.850648e-07 5.845888e-06)
5e-05         	(5.924443e-03 5.924444e-03 4.777253e-06)	(5.925046e-03 5.925047e-03 -6.563086e-06)	(-6.030617e-07 -6.030650e-07 1.134034e-05)
7.5e-05       	(8.504544e-03 8.504544e-03 5.412077e-06)	(8.505279e-03 8.505279e-03 -1.151222e-05)	(-7.351276e-07 -7.351330e-07 1.692429e-05)
0.0001        	(1.070298e-02 1.070298e-02 5.827762e-06)	(1.070384e-02 1.070383e-02 -1.684434e-05)	(-8.545765e-07 -8.545827e-07 2.267210e-05)
0.000125      	(1.244107e-02 1.244107e-02 5.620497e-06)	(1.244203e-02 1.244204e-02 -2.287791e-05)	(-9.644633e-07 -9.644722e-07 2.849841e-05)
0.00015       	(1.371394e-02 1.371395e-02 4.310046e-06)	(1.371501e-02 1.371502e-02 -2.997154e-05)	(-1.070386e-06 -1.070401e-06 3.428159e-05)
0.000175      	(1.457434e-02 1.457434e-02 1.476962e-06)	(1.457551e-02 1.457551e-02 -3.846183e-05)	(-1.174153e-06 -1.174171e-06 3.993880e-05)
0.0002        	(1.510189e-02 1.510189e-02 -3.101740e-06)	(1.510316e-02 1.510316e-02 -4.855904e-05)	(-1.274731e-06 -1.274751e-06 4.545730e-05)
0.000225      	(1.538074e-02 1.538074e-02 -9.387919e-06)	(1.538211e-02 1.538211e-02 -6.027470e-05)	(-1.370105e-06 -1.370128e-06 5.088678e-05)
0.00025       	(1.548940e-02 1.548940e-02 -1.713056e-05)	(1.549086e-02 1.549086e-02 -7.343851e-05)	(-1.458246e-06 -1.458269e-06 5.630795e-05)
0.000275      	(1.549950e-02 1.549948e-02 -2.597984e-05)	(1.550103e-02 1.550101e-02 -8.777702e-05)	(-1.537543e-06 -1.537560e-06 6.179717e-05)
0.0003        	(1.547573e-02 1.547573e-02 -3.559828e-05)	(1.547734e-02 1.547734e-02 -1.030001e-04)	(-1.606912e-06 -1.606929e-06 6.740178e-05)
