# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(-2.158469e-06 3.647297e-06 -1.230236e-03)	(-1.593074e-06 7.435472e-07 -1.230430e-03)	(-5.653950e-07 2.903750e-06 1.940260e-07)
5e-05         	(-5.438131e-06 7.349032e-06 -2.369777e-03)	(-4.341270e-06 1.716035e-06 -2.370019e-03)	(-1.096860e-06 5.632996e-06 2.412263e-07)
7.5e-05       	(-9.767412e-06 1.193224e-05 -3.401818e-03)	(-8.130456e-06 3.525569e-06 -3.402112e-03)	(-1.636956e-06 8.406673e-06 2.940537e-07)
0.0001        	(-1.478574e-05 1.711686e-05 -4.281191e-03)	(-1.259285e-05 5.855124e-06 -4.281533e-03)	(-2.192892e-06 1.126173e-05 3.418337e-07)
0.000125      	(-2.001550e-05 2.226369e-05 -4.976429e-03)	(-1.725909e-05 8.107919e-06 -4.976815e-03)	(-2.756410e-06 1.415577e-05 3.857898e-07)
0.00015       	(-2.500011e-05 2.672411e-05 -5.485582e-03)	(-2.168436e-05 9.695729e-06 -5.486010e-03)	(-3.315742e-06 1.702838e-05 4.281618e-07)
0.000175      	(-2.937021e-05 2.996100e-05 -5.829736e-03)	(-2.550734e-05 1.012262e-05 -5.830205e-03)	(-3.862868e-06 1.983839e-05 4.696700e-07)
0.0002        	(-3.286865e-05 3.162796e-05 -6.040755e-03)	(-2.847209e-05 9.048479e-06 -6.041265e-03)	(-4.396558e-06 2.257948e-05 5.099025e-07)
0.000225      	(-3.535258e-05 3.159742e-05 -6.152298e-03)	(-3.043095e-05 6.321087e-06 -6.152846e-03)	(-4.921621e-06 2.527633e-05 5.480533e-07)
0.00025       	(-3.678879e-05 2.993659e-05 -6.195759e-03)	(-3.134292e-05 1.967542e-06 -6.196342e-03)	(-5.445870e-06 2.796905e-05 5.833099e-07)
0.000275      	(-3.723554e-05 2.684370e-05 -6.199789e-03)	(-3.125885e-05 -3.851871e-06 -6.200404e-03)	(-5.976697e-06 3.069557e-05 6.150254e-07)
