# Time forceX forceY forceZ normalForce
2.5e-05 0.00307624 0.00307624 5.80555e-06 -0.00483688
2.5e-05 0.00307624 0.00307624 5.80555e-06 -0.00483688
5e-05 0.00592483 0.00592483 1.12528e-05 -0.00931254
5e-05 0.00592483 0.00592483 1.12528e-05 -0.00931254
7.5e-05 0.00850426 0.00850426 1.67961e-05 -0.0133642
7.5e-05 0.00850426 0.00850426 1.67961e-05 -0.0133642
0.0001 0.0107016 0.0107016 2.25116e-05 -0.0168153
0.0001 0.0107016 0.0107016 2.25116e-05 -0.0168153
0.000125 0.012438 0.012438 2.83111e-05 -0.0195424
0.000125 0.012438 0.012438 2.83111e-05 -0.0195424
0.00015 0.0137088 0.0137088 3.40698e-05 -0.0215381
0.00015 0.0137088 0.0137088 3.40698e-05 -0.0215381
0.000175 0.0145667 0.0145667 3.9703e-05 -0.0228854
0.000175 0.0145667 0.0145667 3.9703e-05 -0.0228854
0.0002 0.0150913 0.0150913 4.51972e-05 -0.0237093
0.0002 0.0150913 0.0150913 4.51972e-05 -0.0237093
0.000225 0.0153669 0.0153669 5.06016e-05 -0.024142
0.000225 0.0153669 0.0153669 5.06016e-05 -0.024142
0.00025 0.0154722 0.0154722 5.59964e-05 -0.024307
0.00025 0.0154722 0.0154722 5.59964e-05 -0.024307
0.000275 0.0154788 0.0154788 6.14576e-05 -0.024317
0.000275 0.0154788 0.0154788 6.14576e-05 -0.024317
0.0003 0.0154512 0.0154512 6.70324e-05 -0.0242729
0.0003 0.0154512 0.0154512 6.70324e-05 -0.0242729
0.000325 0.0154467 0.0154467 7.2731e-05 -0.0242651
0.000325 0.0154467 0.0154467 7.2731e-05 -0.0242651
0.00035 0.0155136 0.0155136 7.85326e-05 -0.0243693
0.00035 0.0155136 0.0155136 7.85326e-05 -0.0243693
0.000375 0.0156866 0.0156866 8.44003e-05 -0.0246401
0.000375 0.0156866 0.0156866 8.44003e-05 -0.0246401
0.0004 0.0159868 0.0159868 9.02964e-05 -0.0251108
0.0004 0.0159868 0.0159868 9.02964e-05 -0.0251108
0.000425 0.0164206 0.0164206 9.61934e-05 -0.0257913
0.000425 0.0164206 0.0164206 9.61934e-05 -0.0257913
0.00045 0.0169815 0.0169815 0.00010208 -0.0266716
0.00045 0.0169815 0.0169815 0.00010208 -0.0266716
0.000475 0.0176534 0.0176534 0.000107959 -0.0277264
0.000475 0.0176534 0.0176534 0.000107959 -0.0277264
0.0005 0.0184142 0.0184142 0.000113843 -0.028921
0.0005 0.0184142 0.0184142 0.000113843 -0.028921
0.000525 0.0192395 0.0192395 0.000119752 -0.030217
0.000525 0.0192395 0.0192395 0.000119752 -0.030217
0.00055 0.0201052 0.0201052 0.0001257 -0.0315766
0.00055 0.0201052 0.0201052 0.0001257 -0.0315766
0.000575 0.0209895 0.0209895 0.0001317 -0.0329656
0.000575 0.0209895 0.0209895 0.0001317 -0.0329656
0.0006 0.0218743 0.0218743 0.000137756 -0.0343553
0.0006 0.0218743 0.0218743 0.000137756 -0.0343553
0.000625 0.0227449 0.0227449 0.00014387 -0.0357229
0.000625 0.0227449 0.0227449 0.00014387 -0.0357229
0.00065 0.0235909 0.0235909 0.000150036 -0.0370517
0.00065 0.0235909 0.0235909 0.000150036 -0.0370517
0.000675 0.0244053 0.0244053 0.000156249 -0.0383309
0.000675 0.0244053 0.0244053 0.000156249 -0.0383309
0.0007 0.0251847 0.0251847 0.000162501 -0.039555
0.0007 0.0251847 0.0251847 0.000162501 -0.039555
0.000725 0.0259289 0.0259289 0.000168785 -0.0407238
0.000725 0.0259289 0.0259289 0.000168785 -0.0407238
0.00075 0.0266405 0.0266405 0.000175097 -0.0418414
0.00075 0.0266405 0.0266405 0.000175097 -0.0418414
0.000775 0.027325 0.027325 0.000181433 -0.0429162
0.000775 0.027325 0.027325 0.000181433 -0.0429162
0.0008 0.0279897 0.0279897 0.00018779 -0.0439599
0.0008 0.0279897 0.0279897 0.00018779 -0.0439599
0.000825 0.0286434 0.0286434 0.000194165 -0.0449863
0.000825 0.0286434 0.0286434 0.000194165 -0.0449863
0.00085 0.0292955 0.0292955 0.000200559 -0.0460103
0.00085 0.0292955 0.0292955 0.000200559 -0.0460103
0.000875 0.029956 0.029956 0.00020697 -0.0470471
0.000875 0.029956 0.029956 0.00020697 -0.0470471
0.0009 0.0306319 0.0306319 0.000213398 -0.0481084
0.0009 0.0306319 0.0306319 0.000213398 -0.0481084
0.000925 0.0313331 0.0313331 0.00021984 -0.0492092
