# Time Dx Dy Dz magD
2.5e-05 0 4.70146e-17 -2.26452e-19 4.70151e-17
2.5e-05 0 4.70146e-17 -2.26452e-19 4.70151e-17
5e-05 0 1.29054e-16 -1.02429e-18 1.29058e-16
5e-05 0 1.29054e-16 -1.02429e-18 1.29058e-16
7.5e-05 0 2.60701e-16 -4.0204e-18 2.60732e-16
7.5e-05 0 2.60701e-16 -4.0204e-18 2.60732e-16
0.0001 0 3.69761e-16 -1.24978e-17 3.69972e-16
0.0001 0 3.69761e-16 -1.24978e-17 3.69972e-16
0.000125 0 6.17711e-16 -2.62716e-17 6.1827e-16
0.000125 0 6.17711e-16 -2.62716e-17 6.1827e-16
0.00015 0 1.33245e-15 -4.33979e-17 1.33316e-15
0.00015 0 1.33245e-15 -4.33979e-17 1.33316e-15
0.000175 0 3.13509e-15 -6.12867e-17 3.13569e-15
0.000175 0 3.13509e-15 -6.12867e-17 3.13569e-15
0.0002 0 1.12861e-14 -6.33053e-17 1.12863e-14
0.0002 0 1.12861e-14 -6.33053e-17 1.12863e-14
0.000225 0 4.37756e-14 -1.11173e-16 4.37758e-14
0.000225 0 4.37756e-14 -1.11173e-16 4.37758e-14
0.00025 0 1.55641e-13 -7.82896e-16 1.55643e-13
0.00025 0 1.55641e-13 -7.82896e-16 1.55643e-13
0.000275 0 4.9438e-13 -4.66651e-15 4.94402e-13
0.000275 0 4.9438e-13 -4.66651e-15 4.94402e-13
0.0003 0 1.45181e-12 -2.06251e-14 1.45195e-12
0.0003 0 1.45181e-12 -2.06251e-14 1.45195e-12
0.000325 0 3.92502e-12 -7.50325e-14 3.92573e-12
0.000325 0 3.92502e-12 -7.50325e-14 3.92573e-12
0.00035 0 9.81668e-12 -2.36904e-13 9.81954e-12
0.00035 0 9.81668e-12 -2.36904e-13 9.81954e-12
0.000375 0 2.28699e-11 -6.677e-13 2.28796e-11
0.000375 0 2.28699e-11 -6.677e-13 2.28796e-11
0.0004 0 4.98614e-11 -1.70925e-12 4.98907e-11
0.0004 0 4.98614e-11 -1.70925e-12 4.98907e-11
0.000425 0 1.02166e-10 -4.02119e-12 1.02245e-10
0.000425 0 1.02166e-10 -4.02119e-12 1.02245e-10
0.00045 0 1.97478e-10 -8.76858e-12 1.97673e-10
0.00045 0 1.97478e-10 -8.76858e-12 1.97673e-10
0.000475 0 3.61258e-10 -1.78376e-11 3.61698e-10
0.000475 0 3.61258e-10 -1.78376e-11 3.61698e-10
0.0005 0 6.2724e-10 -3.40234e-11 6.28162e-10
0.0005 0 6.2724e-10 -3.40234e-11 6.28162e-10
0.000525 0 1.03622e-09 -6.10958e-11 1.03802e-09
0.000525 0 1.03622e-09 -6.10958e-11 1.03802e-09
0.00055 0 1.63241e-09 -1.03625e-10 1.63569e-09
0.00055 0 1.63241e-09 -1.03625e-10 1.63569e-09
0.000575 0 2.45696e-09 -1.6646e-10 2.46259e-09
0.000575 0 2.45696e-09 -1.6646e-10 2.46259e-09
0.0006 0 3.53911e-09 -2.53809e-10 3.5482e-09
0.0006 0 3.53911e-09 -2.53809e-10 3.5482e-09
0.000625 0 4.88616e-09 -3.67998e-10 4.9e-09
0.000625 0 4.88616e-09 -3.67998e-10 4.9e-09
0.00065 0 6.47417e-09 -5.08135e-10 6.49408e-09
0.00065 0 6.47417e-09 -5.08135e-10 6.49408e-09
0.000675 0 8.24263e-09 -6.69053e-10 8.26974e-09
0.000675 0 8.24263e-09 -6.69053e-10 8.26974e-09
0.0007 0 1.0095e-08 -8.4101e-10 1.013e-08
0.0007 0 1.0095e-08 -8.4101e-10 1.013e-08
0.000725 0 1.19075e-08 -1.01052e-09 1.19503e-08
0.000725 0 1.19075e-08 -1.01052e-09 1.19503e-08
0.00075 0 1.35454e-08 -1.16253e-09 1.35952e-08
0.00075 0 1.35454e-08 -1.16253e-09 1.35952e-08
0.000775 0 1.48855e-08 -1.2838e-09 1.49407e-08
0.000775 0 1.48855e-08 -1.2838e-09 1.49407e-08
0.0008 0 1.5842e-08 -1.367e-09 1.59008e-08
0.0008 0 1.5842e-08 -1.367e-09 1.59008e-08
0.000825 0 1.63883e-08 -1.41451e-09 1.64492e-08
0.000825 0 1.63883e-08 -1.41451e-09 1.64492e-08
0.00085 0 1.65788e-08 -1.44137e-09 1.66414e-08
0.00085 0 1.65788e-08 -1.44137e-09 1.66414e-08
0.000875 0 1.65744e-08 -1.47682e-09 1.664e-08
0.000875 0 1.65744e-08 -1.47682e-09 1.664e-08
0.0009 0 1.65439e-08 -1.56279e-09 1.66175e-08
0.0009 0 1.65439e-08 -1.56279e-09 1.66175e-08
0.000925 0 1.67251e-08 -1.74902e-09 1.68163e-08
0.000925 0 1.67251e-08 -1.74902e-09 1.68163e-08
0.00095 0 1.73781e-08 -2.08867e-09 1.75032e-08
0.00095 0 1.73781e-08 -2.08867e-09 1.75032e-08
0.000975 0 1.87439e-08 -2.63548e-09 1.89283e-08
0.000975 0 1.87439e-08 -2.63548e-09 1.89283e-08
0.001 0 2.09899e-08 -3.44228e-09 2.12703e-08
0.001 0 2.09899e-08 -3.44228e-09 2.12703e-08
0.001025 0 2.41916e-08 -4.56217e-09 2.4618e-08
0.001025 0 2.41916e-08 -4.56217e-09 2.4618e-08
0.00105 0 2.8322e-08 -6.0536e-09 2.89617e-08
0.00105 0 2.8322e-08 -6.0536e-09 2.89617e-08
0.001075 0 3.32536e-08 -7.98986e-09 3.42e-08
0.001075 0 3.32536e-08 -7.98986e-09 3.42e-08
0.0011 0 3.87783e-08 -1.04723e-08 4.01675e-08
0.0011 0 3.87783e-08 -1.04723e-08 4.01675e-08
0.001125 0 4.46402e-08 -1.36463e-08 4.66794e-08
0.001125 0 4.46402e-08 -1.36463e-08 4.66794e-08
0.00115 0 5.05756e-08 -1.77172e-08 5.35891e-08
0.00115 0 5.05756e-08 -1.77172e-08 5.35891e-08
0.001175 0 5.63545e-08 -2.29662e-08 6.08546e-08
0.001175 0 5.63545e-08 -2.29662e-08 6.08546e-08
0.0012 0 6.18173e-08 -2.97626e-08 6.8609e-08
0.0012 0 6.18173e-08 -2.97626e-08 6.8609e-08
0.001225 0 6.68995e-08 -3.85732e-08 7.72232e-08
0.001225 0 6.68995e-08 -3.85732e-08 7.72232e-08
0.00125 0 7.1643e-08 -4.99682e-08 8.73472e-08
0.00125 0 7.1643e-08 -4.99682e-08 8.73472e-08
0.001275 0 7.61941e-08 -6.46231e-08 9.99084e-08
0.001275 0 7.61941e-08 -6.46231e-08 9.99084e-08
0.0013 0 8.07841e-08 -8.33187e-08 1.16052e-07
0.0013 0 8.07841e-08 -8.33187e-08 1.16052e-07
0.001325 0 8.56996e-08 -1.06937e-07 1.3704e-07
0.001325 0 8.56996e-08 -1.06937e-07 1.3704e-07
0.00135 0 9.12475e-08 -1.36457e-07 1.64155e-07
0.00135 0 9.12475e-08 -1.36457e-07 1.64155e-07
0.001375 0 9.77182e-08 -1.72949e-07 1.98646e-07
0.001375 0 9.77182e-08 -1.72949e-07 1.98646e-07
0.0014 0 1.05354e-07 -2.17561e-07 2.41728e-07
0.0014 0 1.05354e-07 -2.17561e-07 2.41728e-07
0.001425 0 1.14325e-07 -2.71514e-07 2.94602e-07
0.001425 0 1.14325e-07 -2.71514e-07 2.94602e-07
0.00145 0 1.2472e-07 -3.36086e-07 3.58481e-07
0.00145 0 1.2472e-07 -3.36086e-07 3.58481e-07
0.001475 0 1.3654e-07 -4.12592e-07 4.34598e-07
0.001475 0 1.3654e-07 -4.12592e-07 4.34598e-07
0.0015 0 1.49711e-07 -5.02372e-07 5.24205e-07
0.0015 0 1.49711e-07 -5.02372e-07 5.24205e-07
0.001525 0 1.64103e-07 -6.06762e-07 6.28562e-07
0.001525 0 1.64103e-07 -6.06762e-07 6.28562e-07
0.00155 0 1.79549e-07 -7.27076e-07 7.48917e-07
0.00155 0 1.79549e-07 -7.27076e-07 7.48917e-07
0.001575 0 1.9587e-07 -8.64572e-07 8.86482e-07
0.001575 0 1.9587e-07 -8.64572e-07 8.86482e-07
0.0016 0 2.12903e-07 -1.02043e-06 1.04241e-06
0.0016 0 2.12903e-07 -1.02043e-06 1.04241e-06
0.001625 0 2.30515e-07 -1.19574e-06 1.21776e-06
0.001625 0 2.30515e-07 -1.19574e-06 1.21776e-06
0.00165 0 2.4862e-07 -1.39145e-06 1.41349e-06
0.00165 0 2.4862e-07 -1.39145e-06 1.41349e-06
0.001675 0 2.67185e-07 -1.60838e-06 1.63042e-06
0.001675 0 2.67185e-07 -1.60838e-06 1.63042e-06
0.0017 0 2.86227e-07 -1.84717e-06 1.86922e-06
0.0017 0 2.86227e-07 -1.84717e-06 1.86922e-06
0.001725 0 3.0581e-07 -2.10833e-06 2.13039e-06
0.001725 0 3.0581e-07 -2.10833e-06 2.13039e-06
0.00175 0 3.26033e-07 -2.39215e-06 2.41427e-06
0.00175 0 3.26033e-07 -2.39215e-06 2.41427e-06
0.001775 0 3.47017e-07 -2.69881e-06 2.72103e-06
0.001775 0 3.47017e-07 -2.69881e-06 2.72103e-06
0.0018 0 3.68888e-07 -3.02829e-06 3.05068e-06
0.0018 0 3.68888e-07 -3.02829e-06 3.05068e-06
0.001825 0 3.91768e-07 -3.38044e-06 3.40306e-06
0.001825 0 3.91768e-07 -3.38044e-06 3.40306e-06
0.00185 0 4.15763e-07 -3.75496e-06 3.7779e-06
0.00185 0 4.15763e-07 -3.75496e-06 3.7779e-06
0.001875 0 4.40953e-07 -4.15145e-06 4.1748e-06
0.001875 0 4.40953e-07 -4.15145e-06 4.1748e-06
0.0019 0 4.67392e-07 -4.56941e-06 4.59325e-06
0.0019 0 4.67392e-07 -4.56941e-06 4.59325e-06
0.001925 0 4.95107e-07 -5.00825e-06 5.03267e-06
0.001925 0 4.95107e-07 -5.00825e-06 5.03267e-06
0.00195 0 5.24102e-07 -5.46735e-06 5.49241e-06
0.00195 0 5.24102e-07 -5.46735e-06 5.49241e-06
0.001975 0 5.54365e-07 -5.94601e-06 5.9718e-06
0.001975 0 5.54365e-07 -5.94601e-06 5.9718e-06
0.002 0 5.85872e-07 -6.44354e-06 6.47012e-06
0.002 0 5.85872e-07 -6.44354e-06 6.47012e-06
0.002025 0 6.18602e-07 -6.95921e-06 6.98665e-06
0.002025 0 6.18602e-07 -6.95921e-06 6.98665e-06
0.00205 0 6.52539e-07 -7.49231e-06 7.52067e-06
0.00205 0 6.52539e-07 -7.49231e-06 7.52067e-06
0.002075 0 6.87682e-07 -8.04212e-06 8.07147e-06
0.002075 0 6.87682e-07 -8.04212e-06 8.07147e-06
0.0021 0 7.24048e-07 -8.60796e-06 8.63835e-06
0.0021 0 7.24048e-07 -8.60796e-06 8.63835e-06
0.002125 0 7.61676e-07 -9.18915e-06 9.22066e-06
0.002125 0 7.61676e-07 -9.18915e-06 9.22066e-06
0.00215 0 8.00626e-07 -9.78504e-06 9.81774e-06
0.00215 0 8.00626e-07 -9.78504e-06 9.81774e-06
0.002175 0 8.40979e-07 -1.0395e-05 1.0429e-05
0.002175 0 8.40979e-07 -1.0395e-05 1.0429e-05
0.0022 0 8.82834e-07 -1.10185e-05 1.10538e-05
0.0022 0 8.82834e-07 -1.10185e-05 1.10538e-05
0.002225 0 9.26301e-07 -1.16549e-05 1.16916e-05
0.002225 0 9.26301e-07 -1.16549e-05 1.16916e-05
0.00225 0 9.71501e-07 -1.23037e-05 1.2342e-05
0.00225 0 9.71501e-07 -1.23037e-05 1.2342e-05
0.002275 0 1.01855e-06 -1.29643e-05 1.30042e-05
0.002275 0 1.01855e-06 -1.29643e-05 1.30042e-05
0.0023 0 1.06758e-06 -1.36363e-05 1.3678e-05
0.0023 0 1.06758e-06 -1.36363e-05 1.3678e-05
0.002325 0 1.1187e-06 -1.43192e-05 1.43628e-05
0.002325 0 1.1187e-06 -1.43192e-05 1.43628e-05
0.00235 0 1.17201e-06 -1.50125e-05 1.50582e-05
0.00235 0 1.17201e-06 -1.50125e-05 1.50582e-05
0.002375 0 1.22762e-06 -1.57158e-05 1.57637e-05
0.002375 0 1.22762e-06 -1.57158e-05 1.57637e-05
0.0024 0 1.28561e-06 -1.64287e-05 1.6479e-05
0.0024 0 1.28561e-06 -1.64287e-05 1.6479e-05
0.002425 0 1.34607e-06 -1.71508e-05 1.72035e-05
0.002425 0 1.34607e-06 -1.71508e-05 1.72035e-05
0.00245 0 1.40908e-06 -1.78816e-05 1.7937e-05
0.00245 0 1.40908e-06 -1.78816e-05 1.7937e-05
0.002475 0 1.47469e-06 -1.86207e-05 1.8679e-05
0.002475 0 1.47469e-06 -1.86207e-05 1.8679e-05
0.0025 0 1.54299e-06 -1.93678e-05 1.94292e-05
0.0025 0 1.54299e-06 -1.93678e-05 1.94292e-05
0.002525 0 1.61404e-06 -2.01225e-05 2.01872e-05
