# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(3.075592e-03 3.075592e-03 3.722071e-06)	(3.076077e-03 3.076077e-03 -2.123817e-06)	(-4.850638e-07 -4.850648e-07 5.845888e-06)
5e-05         	(5.924442e-03 5.924442e-03 4.777256e-06)	(5.925045e-03 5.925045e-03 -6.563085e-06)	(-6.030617e-07 -6.030650e-07 1.134034e-05)
7.5e-05       	(8.504531e-03 8.504531e-03 5.412074e-06)	(8.505266e-03 8.505266e-03 -1.151222e-05)	(-7.351277e-07 -7.351329e-07 1.692429e-05)
0.0001        	(1.070298e-02 1.070298e-02 5.827751e-06)	(1.070383e-02 1.070383e-02 -1.684435e-05)	(-8.545763e-07 -8.545838e-07 2.267210e-05)
0.000125      	(1.244106e-02 1.244106e-02 5.620493e-06)	(1.244203e-02 1.244203e-02 -2.287792e-05)	(-9.644633e-07 -9.644731e-07 2.849841e-05)
0.00015       	(1.371395e-02 1.371395e-02 4.310007e-06)	(1.371502e-02 1.371502e-02 -2.997158e-05)	(-1.070388e-06 -1.070400e-06 3.428158e-05)
0.000175      	(1.457440e-02 1.457440e-02 1.476992e-06)	(1.457557e-02 1.457558e-02 -3.846181e-05)	(-1.174156e-06 -1.174171e-06 3.993880e-05)
0.0002        	(1.510192e-02 1.510192e-02 -3.101755e-06)	(1.510319e-02 1.510319e-02 -4.855905e-05)	(-1.274734e-06 -1.274752e-06 4.545729e-05)
0.000225      	(1.538071e-02 1.538071e-02 -9.387934e-06)	(1.538208e-02 1.538208e-02 -6.027471e-05)	(-1.370106e-06 -1.370127e-06 5.088678e-05)
0.00025       	(1.548933e-02 1.548933e-02 -1.713073e-05)	(1.549079e-02 1.549079e-02 -7.343869e-05)	(-1.458244e-06 -1.458268e-06 5.630796e-05)
0.000275      	(1.549955e-02 1.549955e-02 -2.597989e-05)	(1.550109e-02 1.550109e-02 -8.777706e-05)	(-1.537539e-06 -1.537565e-06 6.179717e-05)
0.0003        	(1.547562e-02 1.547562e-02 -3.559825e-05)	(1.547722e-02 1.547722e-02 -1.030000e-04)	(-1.606902e-06 -1.606930e-06 6.740177e-05)
0.000325      	(1.547514e-02 1.547514e-02 -4.572317e-05)	(1.547680e-02 1.547680e-02 -1.188549e-04)	(-1.665689e-06 -1.665718e-06 7.313174e-05)
0.00035       	(1.554632e-02 1.554632e-02 -5.617136e-05)	(1.554803e-02 1.554803e-02 -1.351373e-04)	(-1.713726e-06 -1.713757e-06 7.896593e-05)
0.000375      	(1.572399e-02 1.572399e-02 -6.681035e-05)	(1.572574e-02 1.572574e-02 -1.516770e-04)	(-1.751179e-06 -1.751211e-06 8.486666e-05)
0.0004        	(1.602945e-02 1.602945e-02 -7.752140e-05)	(1.603123e-02 1.603123e-02 -1.683170e-04)	(-1.778563e-06 -1.778597e-06 9.079555e-05)
