# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.5e-05       	(-2.158493e-06 3.647321e-06 -1.230237e-03)	(-1.593098e-06 7.435710e-07 -1.230431e-03)	(-5.653950e-07 2.903750e-06 1.940260e-07)
5e-05         	(-5.438120e-06 7.349023e-06 -2.369777e-03)	(-4.341259e-06 1.716026e-06 -2.370018e-03)	(-1.096861e-06 5.632997e-06 2.412263e-07)
7.5e-05       	(-9.767328e-06 1.193216e-05 -3.401812e-03)	(-8.130372e-06 3.525484e-06 -3.402107e-03)	(-1.636956e-06 8.406673e-06 2.940537e-07)
0.0001        	(-1.478586e-05 1.711696e-05 -4.281192e-03)	(-1.259297e-05 5.855232e-06 -4.281534e-03)	(-2.192891e-06 1.126173e-05 3.418342e-07)
0.000125      	(-2.001530e-05 2.226350e-05 -4.976425e-03)	(-1.725889e-05 8.107722e-06 -4.976811e-03)	(-2.756411e-06 1.415577e-05 3.857902e-07)
0.00015       	(-2.500027e-05 2.672427e-05 -5.485579e-03)	(-2.168453e-05 9.695897e-06 -5.486007e-03)	(-3.315741e-06 1.702838e-05 4.281614e-07)
0.000175      	(-2.937076e-05 2.996156e-05 -5.829760e-03)	(-2.550790e-05 1.012317e-05 -5.830230e-03)	(-3.862868e-06 1.983839e-05 4.696699e-07)
0.0002        	(-3.286819e-05 3.162748e-05 -6.040768e-03)	(-2.847163e-05 9.048007e-06 -6.041278e-03)	(-4.396557e-06 2.257947e-05 5.099024e-07)
0.000225      	(-3.535221e-05 3.159704e-05 -6.152284e-03)	(-3.043059e-05 6.320704e-06 -6.152832e-03)	(-4.921621e-06 2.527633e-05 5.480528e-07)
0.00025       	(-3.678835e-05 2.993606e-05 -6.195732e-03)	(-3.134248e-05 1.967003e-06 -6.196315e-03)	(-5.445871e-06 2.796905e-05 5.833093e-07)
0.000275      	(-3.723727e-05 2.684531e-05 -6.199821e-03)	(-3.126057e-05 -3.850257e-06 -6.200436e-03)	(-5.976696e-06 3.069556e-05 6.150283e-07)
0.0003        	(-3.683078e-05 2.259148e-05 -6.190247e-03)	(-3.031210e-05 -1.088791e-05 -6.190890e-03)	(-6.518680e-06 3.347939e-05 6.427745e-07)
0.000325      	(-3.576594e-05 1.747667e-05 -6.190055e-03)	(-2.869315e-05 -1.884882e-05 -6.190722e-03)	(-7.072786e-06 3.632548e-05 6.662901e-07)
0.00035       	(-3.428358e-05 1.181504e-05 -6.218527e-03)	(-2.664661e-05 -2.740830e-05 -6.219212e-03)	(-7.636969e-06 3.922334e-05 6.855058e-07)
0.000375      	(-3.264019e-05 5.916052e-06 -6.289597e-03)	(-2.443262e-05 -3.623819e-05 -6.290297e-03)	(-8.207578e-06 4.215424e-05 7.004876e-07)
0.0004        	(-3.109762e-05 8.905327e-08 -6.411782e-03)	(-2.231672e-05 -4.501007e-05 -6.412493e-03)	(-8.780902e-06 4.509912e-05 7.114419e-07)
0.000425      	(-2.989286e-05 -5.376373e-06 -6.587597e-03)	(-2.053864e-05 -5.342040e-05 -6.588315e-03)	(-9.354219e-06 4.804403e-05 7.186705e-07)
0.00045       	(-2.922310e-05 -1.022405e-05 -6.814473e-03)	(-1.929671e-05 -6.120714e-05 -6.815195e-03)	(-9.926388e-06 5.098309e-05 7.225631e-07)
0.000475      	(-2.923118e-05 -1.425210e-05 -7.085937e-03)	(-1.873347e-05 -6.816996e-05 -7.086660e-03)	(-1.049771e-05 5.391786e-05 7.235524e-07)
0.0005        	(-2.999930e-05 -1.732906e-05 -7.393134e-03)	(-1.892979e-05 -7.418421e-05 -7.393856e-03)	(-1.106951e-05 5.685515e-05 7.220816e-07)
0.000525      	(-3.154805e-05 -1.940442e-05 -7.726241e-03)	(-1.990450e-05 -7.920839e-05 -7.726960e-03)	(-1.164355e-05 5.980397e-05 7.185609e-07)
0.00055       	(-3.384085e-05 -2.051069e-05 -8.075603e-03)	(-2.161938e-05 -8.328349e-05 -8.076317e-03)	(-1.222147e-05 6.277280e-05 7.133528e-07)
0.000575      	(-3.679250e-05 -2.075616e-05 -8.432505e-03)	(-2.398803e-05 -8.652395e-05 -8.433212e-03)	(-1.280448e-05 6.576779e-05 7.067321e-07)
0.0006        	(-4.028098e-05 -2.030866e-05 -8.789609e-03)	(-2.688780e-05 -8.910070e-05 -8.790308e-03)	(-1.339317e-05 6.879204e-05 6.989091e-07)
0.000625      	(-4.416092e-05 -1.937302e-05 -9.141122e-03)	(-3.017332e-05 -9.121879e-05 -9.141812e-03)	(-1.398760e-05 7.184577e-05 6.900142e-07)
0.00065       	(-4.827815e-05 -1.816499e-05 -9.482809e-03)	(-3.369076e-05 -9.309208e-05 -9.483489e-03)	(-1.458739e-05 7.492708e-05 6.801383e-07)
0.000675      	(-5.248373e-05 -1.688558e-05 -9.811916e-03)	(-3.729180e-05 -9.491843e-05 -9.812585e-03)	(-1.519193e-05 7.803285e-05 6.693319e-07)
0.0007        	(-5.664653e-05 -1.569930e-05 -1.012708e-02)	(-4.084598e-05 -9.685888e-05 -1.012774e-02)	(-1.580055e-05 8.115958e-05 6.576420e-07)
0.000725      	(-6.066355e-05 -1.471845e-05 -1.042823e-02)	(-4.425095e-05 -9.902246e-05 -1.042887e-02)	(-1.641261e-05 8.430401e-05 6.451199e-07)
0.00075       	(-6.446683e-05 -1.399526e-05 -1.071646e-02)	(-4.743925e-05 -1.014587e-04 -1.071709e-02)	(-1.702759e-05 8.746348e-05 6.318375e-07)
0.000775      	(-6.802713e-05 -1.352190e-05 -1.099392e-02)	(-5.038203e-05 -1.041579e-04 -1.099453e-02)	(-1.764509e-05 9.063599e-05 6.178931e-07)
0.0008        	(-7.135343e-05 -1.323752e-05 -1.126358e-02)	(-5.308856e-05 -1.070577e-04 -1.126418e-02)	(-1.826486e-05 9.382016e-05 6.034072e-07)
0.000825      	(-7.448710e-05 -1.304326e-05 -1.152897e-02)	(-5.560038e-05 -1.100583e-04 -1.152956e-02)	(-1.888672e-05 9.701507e-05 5.885197e-07)
0.00085       	(-7.749541e-05 -1.281710e-05 -1.179389e-02)	(-5.798487e-05 -1.130372e-04 -1.179446e-02)	(-1.951054e-05 1.002201e-04 5.733806e-07)
0.000875      	(-8.046813e-05 -1.242319e-05 -1.206227e-02)	(-6.033196e-05 -1.158577e-04 -1.206283e-02)	(-2.013617e-05 1.034345e-04 5.581290e-07)
0.0009        	(-8.347363e-05 -1.177303e-05 -1.233701e-02)	(-6.270997e-05 -1.184315e-04 -1.233755e-02)	(-2.076367e-05 1.066585e-04 5.429025e-07)
0.000925      	(-8.662746e-05 -1.074948e-05 -1.262198e-02)	(-6.523472e-05 -1.206401e-04 -1.262251e-02)	(-2.139273e-05 1.098906e-04 5.277515e-07)
0.00095       	(-9.000309e-05 -9.285283e-06 -1.291888e-02)	(-6.797976e-05 -1.224159e-04 -1.291940e-02)	(-2.202332e-05 1.131306e-04 5.127657e-07)
0.000975      	(-9.368022e-05 -7.300203e-06 -1.322871e-02)	(-7.102493e-05 -1.236780e-04 -1.322920e-02)	(-2.265528e-05 1.163778e-04 4.980678e-07)
0.001         	(-9.771506e-05 -4.749940e-06 -1.355148e-02)	(-7.442662e-05 -1.243810e-04 -1.355196e-02)	(-2.328844e-05 1.196310e-04 4.837365e-07)
0.001025      	(-1.021379e-04 -1.636440e-06 -1.388661e-02)	(-7.821532e-05 -1.245260e-04 -1.388708e-02)	(-2.392260e-05 1.228896e-04 4.698083e-07)
0.00105       	(-1.069534e-04 1.995861e-06 -1.423304e-02)	(-8.239580e-05 -1.241565e-04 -1.423349e-02)	(-2.455757e-05 1.261523e-04 4.562175e-07)
0.001075      	(-1.121518e-04 6.116748e-06 -1.458880e-02)	(-8.695864e-05 -1.233015e-04 -1.458924e-02)	(-2.519315e-05 1.294183e-04 4.429778e-07)
0.0011        	(-1.177073e-04 1.068778e-05 -1.495155e-02)	(-9.187809e-05 -1.219988e-04 -1.495198e-02)	(-2.582919e-05 1.326866e-04 4.301241e-07)
0.001125      	(-1.235802e-04 1.566050e-05 -1.531880e-02)	(-9.711464e-05 -1.202964e-04 -1.531922e-02)	(-2.646558e-05 1.359569e-04 4.176672e-07)
0.00115       	(-1.297184e-04 2.096609e-05 -1.568833e-02)	(-1.026162e-04 -1.182622e-04 -1.568874e-02)	(-2.710219e-05 1.392283e-04 4.055502e-07)
0.001175      	(-1.360654e-04 2.653539e-05 -1.605819e-02)	(-1.083265e-04 -1.159648e-04 -1.605858e-02)	(-2.773889e-05 1.425002e-04 3.936957e-07)
0.0012        	(-1.425744e-04 3.235132e-05 -1.642629e-02)	(-1.141987e-04 -1.134212e-04 -1.642668e-02)	(-2.837565e-05 1.457725e-04 3.821854e-07)
0.001225      	(-1.491981e-04 3.837496e-05 -1.679143e-02)	(-1.201856e-04 -1.106702e-04 -1.679180e-02)	(-2.901247e-05 1.490452e-04 3.710368e-07)
0.00125       	(-1.558962e-04 4.457029e-05 -1.715301e-02)	(-1.262469e-04 -1.077478e-04 -1.715337e-02)	(-2.964935e-05 1.523181e-04 3.602523e-07)
0.001275      	(-1.626405e-04 5.092065e-05 -1.751085e-02)	(-1.323542e-04 -1.046707e-04 -1.751120e-02)	(-3.028627e-05 1.555914e-04 3.498602e-07)
0.0013        	(-1.694134e-04 5.741339e-05 -1.786532e-02)	(-1.384902e-04 -1.014513e-04 -1.786566e-02)	(-3.092320e-05 1.588647e-04 3.398818e-07)
0.001325      	(-1.762122e-04 6.406019e-05 -1.821704e-02)	(-1.446520e-04 -9.807790e-05 -1.821737e-02)	(-3.156014e-05 1.621381e-04 3.303579e-07)
0.00135       	(-1.830440e-04 7.086773e-05 -1.856721e-02)	(-1.508469e-04 -9.454352e-05 -1.856753e-02)	(-3.219702e-05 1.654112e-04 3.213004e-07)
