# Time Dx Dy Dz magD
5e-05 0 -6.90755e-14 -9.77512e-16 6.90824e-14
5e-05 0 -6.90755e-14 -9.77512e-16 6.90824e-14
0.0001 0 7.24498e-14 -6.71154e-15 7.276e-14
0.0001 0 7.24498e-14 -6.71154e-15 7.276e-14
0.00015 0 1.00949e-12 -5.39335e-14 1.01093e-12
0.00015 0 1.00949e-12 -5.39335e-14 1.01093e-12
0.0002 0 5.0032e-12 -3.27547e-13 5.01391e-12
0.0002 0 5.0032e-12 -3.27547e-13 5.01391e-12
0.00025 0 2.29974e-11 -1.43217e-12 2.30419e-11
0.00025 0 2.29974e-11 -1.43217e-12 2.30419e-11
0.0003 0 7.69753e-11 -4.96974e-12 7.71355e-11
0.0003 0 7.69753e-11 -4.96974e-12 7.71355e-11
0.00035 0 2.13085e-10 -1.43672e-11 2.13569e-10
0.00035 0 2.13085e-10 -1.43672e-11 2.13569e-10
0.0004 0 5.04455e-10 -3.5573e-11 5.05707e-10
0.0004 0 5.04455e-10 -3.5573e-11 5.05707e-10
0.00045 0 1.04597e-09 -7.6994e-11 1.0488e-09
0.00045 0 1.04597e-09 -7.6994e-11 1.0488e-09
0.0005 0 1.93156e-09 -1.48332e-10 1.93725e-09
0.0005 0 1.93156e-09 -1.48332e-10 1.93725e-09
0.00055 0 3.22082e-09 -2.58986e-10 3.23122e-09
0.00055 0 3.22082e-09 -2.58986e-10 3.23122e-09
0.0006 0 4.91238e-09 -4.18119e-10 4.93015e-09
0.0006 0 4.91238e-09 -4.18119e-10 4.93015e-09
0.00065 0 6.94067e-09 -6.39644e-10 6.97009e-09
0.00065 0 6.94067e-09 -6.39644e-10 6.97009e-09
0.0007 0 9.20975e-09 -9.55358e-10 9.25917e-09
0.0007 0 9.20975e-09 -9.55358e-10 9.25917e-09
0.00075 0 1.16348e-08 -1.43824e-09 1.17234e-08
0.00075 0 1.16348e-08 -1.43824e-09 1.17234e-08
0.0008 0 1.42282e-08 -2.23723e-09 1.4403e-08
0.0008 0 1.42282e-08 -2.23723e-09 1.4403e-08
0.00085 0 1.71126e-08 -3.62447e-09 1.74922e-08
0.00085 0 1.71126e-08 -3.62447e-09 1.74922e-08
0.0009 0 2.05177e-08 -6.05719e-09 2.13931e-08
0.0009 0 2.05177e-08 -6.05719e-09 2.13931e-08
0.00095 0 2.47236e-08 -1.02574e-08 2.67669e-08
0.00095 0 2.47236e-08 -1.02574e-08 2.67669e-08
0.001 0 2.99978e-08 -1.73119e-08 3.46348e-08
0.001 0 2.99978e-08 -1.73119e-08 3.46348e-08
0.00105 0 3.65362e-08 -2.87913e-08 4.6517e-08
0.00105 0 3.65362e-08 -2.87913e-08 4.6517e-08
0.0011 0 4.4462e-08 -4.68783e-08 6.46099e-08
0.0011 0 4.4462e-08 -4.68783e-08 6.46099e-08
0.00115 0 5.38449e-08 -7.44903e-08 9.19134e-08
0.00115 0 5.38449e-08 -7.44903e-08 9.19134e-08
0.0012 0 6.47655e-08 -1.15373e-07 1.32308e-07
0.0012 0 6.47655e-08 -1.15373e-07 1.32308e-07
0.00125 0 7.73557e-08 -1.74142e-07 1.9055e-07
0.00125 0 7.73557e-08 -1.74142e-07 1.9055e-07
0.0013 0 9.1834e-08 -2.56257e-07 2.72215e-07
0.0013 0 9.1834e-08 -2.56257e-07 2.72215e-07
0.00135 0 1.08488e-07 -3.67911e-07 3.83573e-07
0.00135 0 1.08488e-07 -3.67911e-07 3.83573e-07
0.0014 0 1.27649e-07 -5.15844e-07 5.31403e-07
0.0014 0 1.27649e-07 -5.15844e-07 5.31403e-07
0.00145 0 1.49631e-07 -7.07088e-07 7.22746e-07
0.00145 0 1.49631e-07 -7.07088e-07 7.22746e-07
0.0015 0 1.74709e-07 -9.48663e-07 9.64617e-07
0.0015 0 1.74709e-07 -9.48663e-07 9.64617e-07
0.00155 0 2.03087e-07 -1.24726e-06 1.26369e-06
0.00155 0 2.03087e-07 -1.24726e-06 1.26369e-06
0.0016 0 2.34909e-07 -1.60893e-06 1.62599e-06
0.0016 0 2.34909e-07 -1.60893e-06 1.62599e-06
0.00165 0 2.70281e-07 -2.03882e-06 2.05665e-06
0.00165 0 2.70281e-07 -2.03882e-06 2.05665e-06
0.0017 0 3.09301e-07 -2.54094e-06 2.55969e-06
0.0017 0 3.09301e-07 -2.54094e-06 2.55969e-06
0.00175 0 3.52087e-07 -3.11808e-06 3.1379e-06
0.00175 0 3.52087e-07 -3.11808e-06 3.1379e-06
0.0018 0 3.98803e-07 -3.77175e-06 3.79277e-06
0.0018 0 3.98803e-07 -3.77175e-06 3.79277e-06
0.00185 0 4.49648e-07 -4.50218e-06 4.52458e-06
0.00185 0 4.49648e-07 -4.50218e-06 4.52458e-06
0.0019 0 5.04904e-07 -5.30848e-06 5.33243e-06
0.0019 0 5.04904e-07 -5.30848e-06 5.33243e-06
0.00195 0 5.64877e-07 -6.18875e-06 6.21448e-06
0.00195 0 5.64877e-07 -6.18875e-06 6.21448e-06
0.002 0 6.2992e-07 -7.14031e-06 7.16804e-06
0.002 0 6.2992e-07 -7.14031e-06 7.16804e-06
0.00205 0 7.00452e-07 -8.15985e-06 8.18986e-06
0.00205 0 7.00452e-07 -8.15985e-06 8.18986e-06
0.0021 0 7.76875e-07 -9.24364e-06 9.27623e-06
0.0021 0 7.76875e-07 -9.24364e-06 9.27623e-06
0.00215 0 8.59696e-07 -1.03877e-05 1.04232e-05
0.00215 0 8.59696e-07 -1.03877e-05 1.04232e-05
0.0022 0 9.49409e-07 -1.1588e-05 1.16268e-05
0.0022 0 9.49409e-07 -1.1588e-05 1.16268e-05
0.00225 0 1.04661e-06 -1.28403e-05 1.28829e-05
0.00225 0 1.04661e-06 -1.28403e-05 1.28829e-05
0.0023 0 1.15195e-06 -1.41408e-05 1.41877e-05
0.0023 0 1.15195e-06 -1.41408e-05 1.41877e-05
0.00235 0 1.26606e-06 -1.54856e-05 1.55372e-05
0.00235 0 1.26606e-06 -1.54856e-05 1.55372e-05
0.0024 0 1.38967e-06 -1.68709e-05 1.6928e-05
0.0024 0 1.38967e-06 -1.68709e-05 1.6928e-05
0.00245 0 1.52354e-06 -1.82932e-05 1.83565e-05
0.00245 0 1.52354e-06 -1.82932e-05 1.83565e-05
0.0025 0 1.66848e-06 -1.97493e-05 1.98196e-05
0.0025 0 1.66848e-06 -1.97493e-05 1.98196e-05
0.00255 0 1.82531e-06 -2.12359e-05 2.13142e-05
0.00255 0 1.82531e-06 -2.12359e-05 2.13142e-05
0.0026 0 1.99493e-06 -2.27502e-05 2.28375e-05
