# Time forceX forceY forceZ normalForce
0.0008 0.0304726 0.0304726 0.000191331 -0.0478599
0.0008 0.0304726 0.0304726 0.000191331 -0.0478599
0.0016 0.0567798 0.0567799 0.000378939 -0.0891674
0.0016 0.0567798 0.0567799 0.000378939 -0.0891674
0.0024 0.0846653 0.0846653 0.000546261 -0.132953
0.0024 0.0846653 0.0846653 0.000546261 -0.132953
0.0032 0.0825834 0.0825833 0.000496271 -0.129674
0.0032 0.0825834 0.0825833 0.000496271 -0.129674
0.004 0.0838168 0.0838168 0.000423995 -0.131613
0.004 0.0838168 0.0838168 0.000423995 -0.131613
0.0048 0.0823289 0.0823288 0.000355877 -0.12928
0.0048 0.0823289 0.0823288 0.000355877 -0.12928
0.0056 0.0788907 0.0788907 0.00031007 -0.123882
0.0056 0.0788907 0.0788907 0.00031007 -0.123882
0.0064 0.0735627 0.0735627 0.000291997 -0.115516
0.0064 0.0735627 0.0735627 0.000291997 -0.115516
0.0072 0.0660144 0.0660144 0.000296024 -0.103663
0.0072 0.0660144 0.0660144 0.000296024 -0.103663
0.008 0.0558736 0.0558736 0.00031109 -0.0877379
0.008 0.0558736 0.0558736 0.00031109 -0.0877379
0.0088 0.0430761 0.0430762 0.000326547 -0.0676416
0.0088 0.0430761 0.0430762 0.000326547 -0.0676416
0.0096 0.0280001 0.0280001 0.000335507 -0.0439676
0.0096 0.0280001 0.0280001 0.000335507 -0.0439676
0.0104 0.0114787 0.0114787 0.000335419 -0.0180243
0.0104 0.0114787 0.0114787 0.000335419 -0.0180243
0.0112 -0.00533094 -0.00533092 0.000326895 0.00837158
0.0112 -0.00533094 -0.00533092 0.000326895 0.00837158
0.012 -0.0211351 -0.0211351 0.000312086 0.0331883
0.012 -0.0211351 -0.0211351 0.000312086 0.0331883
0.0128 -0.0347306 -0.0347306 0.000293476 0.054537
0.0128 -0.0347306 -0.0347306 0.000293476 0.054537
0.0136 -0.0451776 -0.0451776 0.000273334 0.0709416
0.0136 -0.0451776 -0.0451776 0.000273334 0.0709416
0.0144 -0.0519106 -0.0519106 0.000253571 0.0815143
0.0144 -0.0519106 -0.0519106 0.000253571 0.0815143
0.0152 -0.0547526 -0.0547526 0.000235773 0.0859768
0.0152 -0.0547526 -0.0547526 0.000235773 0.0859768
0.016 -0.0538754 -0.0538754 0.00022119 0.0846
0.016 -0.0538754 -0.0538754 0.00022119 0.0846
0.0168 -0.0496921 -0.0496921 0.000210552 0.0780309
0.0168 -0.0496921 -0.0496921 0.000210552 0.0780309
0.0176 -0.0427914 -0.0427914 0.000203968 0.0671946
0.0176 -0.0427914 -0.0427914 0.000203968 0.0671946
0.0184 -0.0338443 -0.0338443 0.000200901 0.053145
0.0184 -0.0338443 -0.0338443 0.000200901 0.053145
0.0192 -0.0235487 -0.0235487 0.000200295 0.036978
0.0192 -0.0235487 -0.0235487 0.000200295 0.036978
0.02 -0.0125949 -0.0125949 0.000200837 0.0197774
0.02 -0.0125949 -0.0125949 0.000200837 0.0197774
