# Time Dx Dy Dz magD
0.0002 0 7.52757e-10 -1.05314e-09 1.29451e-09
0.0002 0 7.52757e-10 -1.05314e-09 1.29451e-09
0.0004 0 2.57648e-09 -6.15009e-09 6.66797e-09
0.0004 0 2.57648e-09 -6.15009e-09 6.66797e-09
0.0006 0 6.97545e-09 -2.21727e-08 2.32441e-08
0.0006 0 6.97545e-09 -2.21727e-08 2.32441e-08
0.0008 0 1.68211e-08 -6.83701e-08 7.0409e-08
0.0008 0 1.68211e-08 -6.83701e-08 7.0409e-08
0.001 0 3.65426e-08 -1.89949e-07 1.93432e-07
0.001 0 3.65426e-08 -1.89949e-07 1.93432e-07
0.0012 0 7.25838e-08 -4.77125e-07 4.82614e-07
0.0012 0 7.25838e-08 -4.77125e-07 4.82614e-07
0.0014 0 1.34138e-07 -1.08225e-06 1.09053e-06
0.0014 0 1.34138e-07 -1.08225e-06 1.09053e-06
0.0016 0 2.33293e-07 -2.21994e-06 2.23217e-06
0.0016 0 2.33293e-07 -2.21994e-06 2.23217e-06
0.0018 0 3.84558e-07 -4.13539e-06 4.15324e-06
0.0018 0 3.84558e-07 -4.13539e-06 4.15324e-06
0.002 0 6.04867e-07 -7.04006e-06 7.066e-06
0.002 0 6.04867e-07 -7.04006e-06 7.066e-06
0.0022 0 9.1465e-07 -1.10374e-05 1.10753e-05
0.0022 0 9.1465e-07 -1.10374e-05 1.10753e-05
0.0024 0 1.34032e-06 -1.60768e-05 1.61326e-05
0.0024 0 1.34032e-06 -1.60768e-05 1.61326e-05
0.0026 0 1.91714e-06 -2.19636e-05 2.20471e-05
0.0026 0 1.91714e-06 -2.19636e-05 2.20471e-05
0.0028 0 2.6908e-06 -2.8423e-05 2.85501e-05
0.0028 0 2.6908e-06 -2.8423e-05 2.85501e-05
0.003 0 3.71656e-06 -3.51818e-05 3.53776e-05
0.003 0 3.71656e-06 -3.51818e-05 3.53776e-05
0.0032 0 5.0565e-06 -4.20263e-05 4.23294e-05
0.0032 0 5.0565e-06 -4.20263e-05 4.23294e-05
0.0034 0 6.77642e-06 -4.88156e-05 4.92837e-05
0.0034 0 6.77642e-06 -4.88156e-05 4.92837e-05
0.0036 0 8.94582e-06 -5.5459e-05 5.61759e-05
0.0036 0 8.94582e-06 -5.5459e-05 5.61759e-05
0.0038 0 1.16434e-05 -6.18782e-05 6.29641e-05
0.0038 0 1.16434e-05 -6.18782e-05 6.29641e-05
0.004 0 1.49652e-05 -6.79695e-05 6.95975e-05
0.004 0 1.49652e-05 -6.79695e-05 6.95975e-05
0.0042 0 1.90289e-05 -7.35673e-05 7.59884e-05
0.0042 0 1.90289e-05 -7.35673e-05 7.59884e-05
0.0044 0 2.39627e-05 -7.84063e-05 8.19864e-05
0.0044 0 2.39627e-05 -7.84063e-05 8.19864e-05
0.0046 0 2.98755e-05 -8.21002e-05 8.7367e-05
0.0046 0 2.98755e-05 -8.21002e-05 8.7367e-05
0.0048 0 3.68093e-05 -8.41622e-05 9.18597e-05
0.0048 0 3.68093e-05 -8.41622e-05 9.18597e-05
0.005 0 4.46919e-05 -8.40915e-05 9.52299e-05
0.005 0 4.46919e-05 -8.40915e-05 9.52299e-05
0.0052 0 5.33177e-05 -8.15098e-05 9.73993e-05
0.0052 0 5.33177e-05 -8.15098e-05 9.73993e-05
0.0054 0 6.23827e-05 -7.62937e-05 9.85512e-05
0.0054 0 6.23827e-05 -7.62937e-05 9.85512e-05
0.0056 0 7.15752e-05 -6.86334e-05 9.91643e-05
0.0056 0 7.15752e-05 -6.86334e-05 9.91643e-05
0.0058 0 8.06874e-05 -5.89805e-05 9.99458e-05
0.0058 0 8.06874e-05 -5.89805e-05 9.99458e-05
0.006 0 8.969e-05 -4.79061e-05 0.000101682
0.006 0 8.969e-05 -4.79061e-05 0.000101682
0.0062 0 9.87162e-05 -3.59332e-05 0.000105053
