# Time forceX forceY forceZ normalForce
0.0004 0.0178889 0.0178889 9.37471e-05 -0.0281009
0.0004 0.0178889 0.0178889 9.37471e-05 -0.0281009
0.0008 0.0275968 0.0275968 0.00019631 -0.0433443
0.0008 0.0275968 0.0275968 0.00019631 -0.0433443
0.0012 0.0418303 0.0418303 0.000296066 -0.0656925
0.0012 0.0418303 0.0418303 0.000296066 -0.0656925
0.0016 0.0552192 0.0552193 0.000396117 -0.0867159
0.0016 0.0552192 0.0552193 0.000396117 -0.0867159
0.002 0.0695637 0.0695634 0.000494169 -0.109239
0.002 0.0695637 0.0695634 0.000494169 -0.109239
0.0024 0.0844265 0.0844263 0.000587476 -0.132576
0.0024 0.0844265 0.0844263 0.000587476 -0.132576
0.0028 0.0992265 0.099227 0.000672994 -0.155816
0.0028 0.0992265 0.099227 0.000672994 -0.155816
0.0032 0.0998527 0.0998529 0.000687109 -0.156787
0.0032 0.0998527 0.0998529 0.000687109 -0.156787
0.0036 0.104333 0.104333 0.000663657 -0.163824
0.0036 0.104333 0.104333 0.000663657 -0.163824
0.004 0.107483 0.107483 0.000614514 -0.168774
0.004 0.107483 0.107483 0.000614514 -0.168774
0.0044 0.107978 0.107978 0.000547076 -0.169555
0.0044 0.107978 0.107978 0.000547076 -0.169555
0.0048 0.107143 0.107143 0.000469384 -0.168246
0.0048 0.107143 0.107143 0.000469384 -0.168246
0.0052 0.105793 0.105792 0.000390084 -0.166128
0.0052 0.105793 0.105792 0.000390084 -0.166128
0.0056 0.104239 0.104239 0.000318134 -0.163691
0.0056 0.104239 0.104239 0.000318134 -0.163691
0.006 0.102686 0.102685 0.000261956 -0.161252
0.006 0.102686 0.102685 0.000261956 -0.161252
0.0064 0.10121 0.10121 0.000228431 -0.158934
0.0064 0.10121 0.10121 0.000228431 -0.158934
0.0068 0.0997459 0.0997461 0.000221801 -0.156634
0.0068 0.0997459 0.0997461 0.000221801 -0.156634
0.0072 0.098152 0.098152 0.000242536 -0.154129
0.0072 0.098152 0.098152 0.000242536 -0.154129
0.0076 0.0962193 0.0962192 0.000286688 -0.151092
0.0076 0.0962193 0.0962192 0.000286688 -0.151092
0.008 0.0936938 0.0936934 0.000346303 -0.147125
0.008 0.0936938 0.0936934 0.000346303 -0.147125
0.0084 0.090317 0.0903166 0.000411048 -0.141821
0.0084 0.090317 0.0903166 0.000411048 -0.141821
0.0088 0.0858264 0.0858262 0.000470464 -0.13477
0.0088 0.0858264 0.0858262 0.000470464 -0.13477
0.0092 0.0799621 0.0799619 0.0005161 -0.125561
0.0092 0.0799621 0.0799619 0.0005161 -0.125561
0.0096 0.0724729 0.072473 0.00054267 -0.113802
0.0096 0.0724729 0.072473 0.00054267 -0.113802
0.01 0.0631152 0.063115 0.000548369 -0.0991076
0.01 0.0631152 0.063115 0.000548369 -0.0991076
0.0104 0.0516926 0.0516928 0.000534562 -0.0811704
0.0104 0.0516926 0.0516928 0.000534562 -0.0811704
0.0108 0.0380679 0.038068 0.000505299 -0.0597757
0.0108 0.0380679 0.038068 0.000505299 -0.0597757
0.0112 0.0222249 0.0222248 0.000466714 -0.0348963
0.0112 0.0222249 0.0222248 0.000466714 -0.0348963
0.0116 0.00431672 0.00431657 0.00042607 -0.006774
0.0116 0.00431672 0.00431657 0.00042607 -0.006774
0.012 -0.0152599 -0.01526 0.000390574 0.0239666
0.012 -0.0152599 -0.01526 0.000390574 0.0239666
0.0124 -0.0359272 -0.0359271 0.000365892 0.0564193
0.0124 -0.0359272 -0.0359271 0.000365892 0.0564193
0.0128 -0.0568295 -0.0568294 0.000354876 0.0892403
0.0128 -0.0568295 -0.0568294 0.000354876 0.0892403
0.0132 -0.0769661 -0.0769662 0.000356959 0.120859
0.0132 -0.0769661 -0.0769662 0.000356959 0.120859
0.0136 -0.0952357 -0.095237 0.000368176 0.149546
0.0136 -0.0952357 -0.095237 0.000368176 0.149546
0.014 -0.110593 -0.110594 0.000382036 0.173659
0.014 -0.110593 -0.110594 0.000382036 0.173659
0.0144 -0.122155 -0.122154 0.000390802 0.191811
0.0144 -0.122155 -0.122154 0.000390802 0.191811
0.0148 -0.12933 -0.12933 0.000387069 0.203079
0.0148 -0.12933 -0.12933 0.000387069 0.203079
0.0152 -0.131915 -0.131915 0.000365477 0.207144
0.0152 -0.131915 -0.131915 0.000365477 0.207144
0.0156 -0.129935 -0.129935 0.000323536 0.204032
0.0156 -0.129935 -0.129935 0.000323536 0.204032
0.016 -0.123997 -0.123997 0.000262622 0.194708
0.016 -0.123997 -0.123997 0.000262622 0.194708
0.0164 -0.114841 -0.114842 0.000188135 0.180335
0.0164 -0.114841 -0.114842 0.000188135 0.180335
0.0168 -0.103447 -0.103447 0.000108812 0.162443
0.0168 -0.103447 -0.103447 0.000108812 0.162443
0.0172 -0.090954 -0.0909536 3.54611e-05 0.142826
0.0172 -0.090954 -0.0909536 3.54611e-05 0.142826
0.0176 -0.0784444 -0.0784442 -2.0711e-05 0.123185
0.0176 -0.0784444 -0.0784442 -2.0711e-05 0.123185
0.018 -0.0668263 -0.066826 -5.00729e-05 0.104941
0.018 -0.0668263 -0.066826 -5.00729e-05 0.104941
0.0184 -0.0568785 -0.0568778 -4.63075e-05 0.0893203
0.0184 -0.0568785 -0.0568778 -4.63075e-05 0.0893203
0.0188 -0.0487848 -0.0487842 -7.60262e-06 0.0766081
0.0188 -0.0487848 -0.0487842 -7.60262e-06 0.0766081
0.0192 -0.042542 -0.0425417 6.27547e-05 0.0668057
0.0192 -0.042542 -0.0425417 6.27547e-05 0.0668057
0.0196 -0.0375772 -0.0375768 0.00015652 0.0590096
0.0196 -0.0375772 -0.0375768 0.00015652 0.0590096
0.02 -0.0331102 -0.0331101 0.00026177 0.0519927
0.02 -0.0331102 -0.0331101 0.00026177 0.0519927
