# Time Dx Dy Dz magD
0.0002 0 7.52757e-10 -1.05314e-09 1.29451e-09
0.0002 0 7.52757e-10 -1.05314e-09 1.29451e-09
0.0004 0 4.32817e-09 -1.05224e-08 1.13778e-08
0.0004 0 4.32817e-09 -1.05224e-08 1.13778e-08
0.0006 0 1.41841e-08 -5.46278e-08 5.64392e-08
0.0006 0 1.41841e-08 -5.46278e-08 5.64392e-08
0.0008 0 3.56281e-08 -1.95572e-07 1.98791e-07
0.0008 0 3.56281e-08 -1.95572e-07 1.98791e-07
0.001 0 7.6534e-08 -5.42714e-07 5.48084e-07
0.001 0 7.6534e-08 -5.42714e-07 5.48084e-07
0.0012 0 1.4773e-07 -1.24628e-06 1.255e-06
0.0012 0 1.4773e-07 -1.24628e-06 1.255e-06
0.0014 0 2.63097e-07 -2.4711e-06 2.48506e-06
0.0014 0 2.63097e-07 -2.4711e-06 2.48506e-06
0.0016 0 4.40209e-07 -4.36001e-06 4.38218e-06
0.0016 0 4.40209e-07 -4.36001e-06 4.38218e-06
0.0018 0 7.01064e-07 -7.00208e-06 7.03709e-06
0.0018 0 7.01064e-07 -7.00208e-06 7.03709e-06
0.002 0 1.07328e-06 -1.0417e-05 1.04722e-05
0.002 0 1.07328e-06 -1.0417e-05 1.04722e-05
0.0022 0 1.5911e-06 -1.4558e-05 1.46447e-05
0.0022 0 1.5911e-06 -1.4558e-05 1.46447e-05
0.0024 0 2.296e-06 -1.93271e-05 1.9463e-05
0.0024 0 2.296e-06 -1.93271e-05 1.9463e-05
0.0026 0 3.2369e-06 -2.45952e-05 2.48072e-05
0.0026 0 3.2369e-06 -2.45952e-05 2.48072e-05
0.0028 0 4.46967e-06 -3.0219e-05 3.05477e-05
0.0028 0 4.46967e-06 -3.0219e-05 3.05477e-05
0.003 0 6.05625e-06 -3.60523e-05 3.65574e-05
0.003 0 6.05625e-06 -3.60523e-05 3.65574e-05
0.0032 0 8.06143e-06 -4.19502e-05 4.27178e-05
0.0032 0 8.06143e-06 -4.19502e-05 4.27178e-05
0.0034 0 1.05495e-05 -4.77649e-05 4.8916e-05
0.0034 0 1.05495e-05 -4.77649e-05 4.8916e-05
0.0036 0 1.35797e-05 -5.33325e-05 5.50342e-05
0.0036 0 1.35797e-05 -5.33325e-05 5.50342e-05
0.0038 0 1.72007e-05 -5.84563e-05 6.09344e-05
0.0038 0 1.72007e-05 -5.84563e-05 6.09344e-05
0.004 0 2.14457e-05 -6.28974e-05 6.6453e-05
0.004 0 2.14457e-05 -6.28974e-05 6.6453e-05
0.0042 0 2.63268e-05 -6.63851e-05 7.14148e-05
0.0042 0 2.63268e-05 -6.63851e-05 7.14148e-05
0.0044 0 3.18321e-05 -6.86477e-05 7.56689e-05
0.0044 0 3.18321e-05 -6.86477e-05 7.56689e-05
0.0046 0 3.79235e-05 -6.9454e-05 7.91331e-05
0.0046 0 3.79235e-05 -6.9454e-05 7.91331e-05
0.0048 0 4.45348e-05 -6.86491e-05 8.18294e-05
0.0048 0 4.45348e-05 -6.86491e-05 8.18294e-05
0.005 0 5.15709e-05 -6.61722e-05 8.38947e-05
0.005 0 5.15709e-05 -6.61722e-05 8.38947e-05
0.0052 0 5.89061e-05 -6.20554e-05 8.55617e-05
0.0052 0 5.89061e-05 -6.20554e-05 8.55617e-05
0.0054 0 6.63846e-05 -5.64078e-05 8.71134e-05
0.0054 0 6.63846e-05 -5.64078e-05 8.71134e-05
0.0056 0 7.38196e-05 -4.93941e-05 8.88206e-05
0.0056 0 7.38196e-05 -4.93941e-05 8.88206e-05
0.0058 0 8.09966e-05 -4.12162e-05 9.08803e-05
0.0058 0 8.09966e-05 -4.12162e-05 9.08803e-05
0.006 0 8.76782e-05 -3.20991e-05 9.33693e-05
0.006 0 8.76782e-05 -3.20991e-05 9.33693e-05
0.0062 0 9.36116e-05 -2.22838e-05 9.62273e-05
