# Time forceX forceY forceZ normalForce
5e-05 0.00568419 0.00568419 1.12804e-05 -0.00893402
5e-05 0.00568419 0.00568419 1.12804e-05 -0.00893402
0.0001 0.00984268 0.00984268 2.25233e-05 -0.0154664
0.0001 0.00984268 0.00984268 2.25233e-05 -0.0154664
0.00015 0.0126741 0.0126741 3.38572e-05 -0.0199136
0.00015 0.0126741 0.0126741 3.38572e-05 -0.0199136
0.0002 0.014328 0.014328 4.50881e-05 -0.022511
0.0002 0.014328 0.014328 4.50881e-05 -0.022511
0.00025 0.0151947 0.0151947 5.62368e-05 -0.0238715
0.00025 0.0151947 0.0151947 5.62368e-05 -0.0238715
0.0003 0.0156924 0.0156924 6.74524e-05 -0.0246521
0.0003 0.0156924 0.0156924 6.74524e-05 -0.0246521
0.00035 0.0161546 0.0161546 7.88509e-05 -0.0253767
0.00035 0.0161546 0.0161546 7.88509e-05 -0.0253767
0.0004 0.0167939 0.0167939 9.04597e-05 -0.0263795
0.0004 0.0167939 0.0167939 9.04597e-05 -0.0263795
0.00045 0.0177045 0.0177045 0.00010225 -0.0278086
0.00045 0.0177045 0.0177045 0.00010225 -0.0278086
0.0005 0.0188854 0.0188854 0.000114184 -0.0296625
0.0005 0.0188854 0.0188854 0.000114184 -0.0296625
0.00055 0.0202758 0.0202758 0.000126242 -0.0318456
0.00055 0.0202758 0.0202758 0.000126242 -0.0318456
0.0006 0.0217924 0.0217924 0.000138419 -0.0342273
0.0006 0.0217924 0.0217924 0.000138419 -0.0342273
0.00065 0.0233586 0.0233586 0.000150717 -0.0366868
0.00065 0.0233586 0.0233586 0.000150717 -0.0366868
0.0007 0.0249208 0.0249208 0.000163133 -0.0391402
0.0007 0.0249208 0.0249208 0.000163133 -0.0391402
0.00075 0.0264526 0.0264526 0.000175661 -0.0415458
0.00075 0.0264526 0.0264526 0.000175661 -0.0415458
0.0008 0.0279548 0.0279548 0.000188291 -0.0439048
0.0008 0.0279548 0.0279548 0.000188291 -0.0439048
0.00085 0.0294418 0.0294418 0.000201007 -0.0462398
0.00085 0.0294418 0.0294418 0.000201007 -0.0462398
0.0009 0.0309356 0.0309356 0.000213797 -0.0485855
