# Time forceX forceY forceZ normalForce
0.0001 0.00882164 0.00882164 2.25251e-05 -0.0138623
0.0001 0.00882164 0.00882164 2.25251e-05 -0.0138623
0.0002 0.0108119 0.0108119 4.57451e-05 -0.0169888
0.0002 0.0108119 0.0108119 4.57451e-05 -0.0169888
0.0003 0.0150668 0.0150668 6.85338e-05 -0.0236693
0.0003 0.0150668 0.0150668 6.85338e-05 -0.0236693
0.0004 0.0178195 0.0178195 9.1452e-05 -0.0279904
0.0004 0.0178195 0.0178195 9.1452e-05 -0.0279904
0.0005 0.0195399 0.0195399 0.000115674 -0.0306912
0.0005 0.0195399 0.0195399 0.000115674 -0.0306912
0.0006 0.0218135 0.0218135 0.00014082 -0.0342615
0.0006 0.0218135 0.0218135 0.00014082 -0.0342615
0.0007 0.0252201 0.0252201 0.000165787 -0.0396109
0.0007 0.0252201 0.0252201 0.000165787 -0.0396109
0.0008 0.028621 0.028621 0.00019089 -0.0449518
0.0008 0.028621 0.028621 0.00019089 -0.0449518
0.0009 0.031188 0.031188 0.000216795 -0.0489829
0.0009 0.031188 0.031188 0.000216795 -0.0489829
0.001 0.0337726 0.0337726 0.000242927 -0.0530405
0.001 0.0337726 0.0337726 0.000242927 -0.0530405
0.0011 0.0371951 0.0371951 0.000268666 -0.058413
0.0011 0.0371951 0.0371951 0.000268666 -0.058413
0.0012 0.0409857 0.0409856 0.00029448 -0.0643649
0.0012 0.0409857 0.0409856 0.00029448 -0.0643649
0.0013 0.0444587 0.0444587 0.000320779 -0.0698194
0.0013 0.0444587 0.0444587 0.000320779 -0.0698194
0.0014 0.0477368 0.0477369 0.000347075 -0.0749675
0.0014 0.0477368 0.0477369 0.000347075 -0.0749675
0.0015 0.0512222 0.0512222 0.000372954 -0.0804395
0.0015 0.0512222 0.0512222 0.000372954 -0.0804395
0.0016 0.0549004 0.0549003 0.000398672 -0.0862137
0.0016 0.0549004 0.0549003 0.000398672 -0.0862137
0.0017 0.0585757 0.0585756 0.000424465 -0.091984
0.0017 0.0585757 0.0585756 0.000424465 -0.091984
0.0018 0.0622521 0.0622521 0.000450112 -0.0977578
0.0018 0.0622521 0.0622521 0.000450112 -0.0977578
0.0019 0.0660054 0.0660054 0.000475434 -0.103652
0.0019 0.0660054 0.0660054 0.000475434 -0.103652
0.002 0.0697562 0.0697561 0.000500534 -0.109541
0.002 0.0697562 0.0697561 0.000500534 -0.109541
0.0021 0.0734259 0.0734258 0.000525475 -0.115302
0.0021 0.0734259 0.0734258 0.000525475 -0.115302
0.0022 0.0770971 0.0770972 0.000550131 -0.121066
0.0022 0.0770971 0.0770972 0.000550131 -0.121066
0.0023 0.0808542 0.0808543 0.000574413 -0.126965
0.0023 0.0808542 0.0808543 0.000574413 -0.126965
0.0024 0.0846531 0.084653 0.000598302 -0.132931
0.0024 0.0846531 0.084653 0.000598302 -0.132931
0.0025 0.0883893 0.0883893 0.000621699 -0.138799
0.0025 0.0883893 0.0883893 0.000621699 -0.138799
0.0026 0.0920476 0.0920477 0.000644398 -0.144543
0.0026 0.0920476 0.0920477 0.000644398 -0.144543
0.0027 0.0956955 0.0956955 0.000666198 -0.15027
0.0027 0.0956955 0.0956955 0.000666198 -0.15027
0.0028 0.0993806 0.0993806 0.000686945 -0.156056
0.0028 0.0993806 0.0993806 0.000686945 -0.156056
0.0029 0.103046 0.103046 0.000706512 -0.161813
0.0029 0.103046 0.103046 0.000706512 -0.161813
0.003 0.106678 0.106678 0.000724849 -0.167517
0.003 0.106678 0.106678 0.000724849 -0.167517
0.0031 0.103504 0.103504 0.000727266 -0.162524
0.0031 0.103504 0.103504 0.000727266 -0.162524
0.0032 0.102243 0.102243 0.000723336 -0.16054
0.0032 0.102243 0.102243 0.000723336 -0.16054
0.0033 0.103873 0.103873 0.000716488 -0.163099
0.0033 0.103873 0.103873 0.000716488 -0.163099
0.0034 0.106208 0.106208 0.000708092 -0.166768
0.0034 0.106208 0.106208 0.000708092 -0.166768
0.0035 0.107116 0.107116 0.000697206 -0.168197
0.0035 0.107116 0.107116 0.000697206 -0.168197
0.0036 0.106928 0.106928 0.000683258 -0.167904
0.0036 0.106928 0.106928 0.000683258 -0.167904
0.0037 0.107109 0.107109 0.000667589 -0.168187
0.0037 0.107109 0.107109 0.000667589 -0.168187
0.0038 0.108138 0.108138 0.00065145 -0.169799
0.0038 0.108138 0.108138 0.00065145 -0.169799
0.0039 0.109266 0.109266 0.000634652 -0.17157
0.0039 0.109266 0.109266 0.000634652 -0.17157
0.004 0.109798 0.109798 0.000617092 -0.172409
0.004 0.109798 0.109798 0.000617092 -0.172409
0.0041 0.109793 0.109792 0.000599204 -0.172405
0.0041 0.109793 0.109792 0.000599204 -0.172405
0.0042 0.109613 0.109612 0.000580603 -0.172124
0.0042 0.109613 0.109612 0.000580603 -0.172124
0.0043 0.109489 0.109489 0.000560186 -0.171928
0.0043 0.109489 0.109489 0.000560186 -0.171928
0.0044 0.109518 0.109518 0.000538027 -0.171972
0.0044 0.109518 0.109518 0.000538027 -0.171972
0.0045 0.109518 0.109518 0.000515849 -0.171972
0.0045 0.109518 0.109518 0.000515849 -0.171972
