# Time Dx Dy Dz magD
0.0002 0 7.52757e-10 -1.05314e-09 1.29451e-09
0.0002 0 7.52757e-10 -1.05314e-09 1.29451e-09
0.0004 0 2.48756e-09 -6.84408e-09 7.28213e-09
0.0004 0 2.48756e-09 -6.84408e-09 7.28213e-09
0.0006 0 6.45057e-09 -2.76942e-08 2.84355e-08
0.0006 0 6.45057e-09 -2.76942e-08 2.84355e-08
0.0008 0 1.5315e-08 -9.35538e-08 9.47991e-08
0.0008 0 1.5315e-08 -9.35538e-08 9.47991e-08
0.001 0 3.31389e-08 -2.78688e-07 2.80652e-07
0.001 0 3.31389e-08 -2.78688e-07 2.80652e-07
0.0012 0 6.54807e-08 -7.33733e-07 7.36649e-07
0.0012 0 6.54807e-08 -7.33733e-07 7.36649e-07
0.0014 0 1.20133e-07 -1.70059e-06 1.70483e-06
0.0014 0 1.20133e-07 -1.70059e-06 1.70483e-06
0.0016 0 2.07196e-07 -3.4669e-06 3.47309e-06
0.0016 0 2.07196e-07 -3.4669e-06 3.47309e-06
0.0018 0 3.3877e-07 -6.23797e-06 6.24716e-06
0.0018 0 3.3877e-07 -6.23797e-06 6.24716e-06
0.002 0 5.30948e-07 -9.98694e-06 1.0001e-05
0.002 0 5.30948e-07 -9.98694e-06 1.0001e-05
0.0022 0 8.08231e-07 -1.44288e-05 1.44514e-05
0.0022 0 8.08231e-07 -1.44288e-05 1.44514e-05
0.0024 0 1.20604e-06 -1.92157e-05 1.92535e-05
0.0024 0 1.20604e-06 -1.92157e-05 1.92535e-05
0.0026 0 1.76749e-06 -2.4229e-05 2.42933e-05
0.0026 0 1.76749e-06 -2.4229e-05 2.42933e-05
0.0028 0 2.53684e-06 -2.96583e-05 2.97666e-05
0.0028 0 2.53684e-06 -2.96583e-05 2.97666e-05
0.003 0 3.55859e-06 -3.571e-05 3.58869e-05
0.003 0 3.55859e-06 -3.571e-05 3.58869e-05
0.0032 0 4.88595e-06 -4.22243e-05 4.25061e-05
0.0032 0 4.88595e-06 -4.22243e-05 4.25061e-05
0.0034 0 6.5911e-06 -4.86806e-05 4.91247e-05
0.0034 0 6.5911e-06 -4.86806e-05 4.91247e-05
0.0036 0 8.76933e-06 -5.46505e-05 5.53496e-05
0.0036 0 8.76933e-06 -5.46505e-05 5.53496e-05
0.0038 0 1.15385e-05 -6.01543e-05 6.12509e-05
0.0038 0 1.15385e-05 -6.01543e-05 6.12509e-05
0.004 0 1.50372e-05 -6.54152e-05 6.71213e-05
0.004 0 1.50372e-05 -6.54152e-05 6.71213e-05
0.0042 0 1.94077e-05 -7.0272e-05 7.29027e-05
0.0042 0 1.94077e-05 -7.0272e-05 7.29027e-05
0.0044 0 2.47432e-05 -7.40003e-05 7.80274e-05
0.0044 0 2.47432e-05 -7.40003e-05 7.80274e-05
0.0046 0 3.10148e-05 -7.58059e-05 8.19052e-05
0.0046 0 3.10148e-05 -7.58059e-05 8.19052e-05
0.0048 0 3.80464e-05 -7.54163e-05 8.44698e-05
0.0048 0 3.80464e-05 -7.54163e-05 8.44698e-05
0.005 0 4.56012e-05 -7.31397e-05 8.6191e-05
0.005 0 4.56012e-05 -7.31397e-05 8.6191e-05
0.0052 0 5.35479e-05 -6.94608e-05 8.77051e-05
0.0052 0 5.35479e-05 -6.94608e-05 8.77051e-05
0.0054 0 6.19725e-05 -6.46755e-05 8.95741e-05
0.0054 0 6.19725e-05 -6.46755e-05 8.95741e-05
0.0056 0 7.11177e-05 -5.87832e-05 9.2267e-05
0.0056 0 7.11177e-05 -5.87832e-05 9.2267e-05
0.0058 0 8.11686e-05 -5.1541e-05 9.615e-05
0.0058 0 8.11686e-05 -5.1541e-05 9.615e-05
0.006 0 9.20309e-05 -4.26779e-05 0.000101445
0.006 0 9.20309e-05 -4.26779e-05 0.000101445
0.0062 0 0.000103245 -3.2278e-05 0.000108173
