# Time forceX forceY forceZ normalForce
0.0001 0.00882164 0.00882164 2.25251e-05 -0.0138623
0.0001 0.00882164 0.00882164 2.25251e-05 -0.0138623
0.0002 0.0133339 0.0133339 4.51651e-05 -0.0209496
0.0002 0.0133339 0.0133339 4.51651e-05 -0.0209496
0.0003 0.0157292 0.0157292 6.79646e-05 -0.0247105
0.0003 0.0157292 0.0157292 6.79646e-05 -0.0247105
0.0004 0.0175488 0.0175488 9.11731e-05 -0.0275664
0.0004 0.0175488 0.0175488 9.11731e-05 -0.0275664
0.0005 0.0196249 0.0196249 0.00011495 -0.0308253
0.0005 0.0196249 0.0196249 0.00011495 -0.0308253
0.0006 0.0221467 0.0221467 0.000139266 -0.0347846
0.0006 0.0221467 0.0221467 0.000139266 -0.0347846
0.0007 0.0250012 0.0250012 0.000164028 -0.0392667
0.0007 0.0250012 0.0250012 0.000164028 -0.0392667
0.0008 0.0280354 0.0280354 0.000189146 -0.0440313
0.0008 0.0280354 0.0280354 0.000189146 -0.0440313
0.0009 0.0311625 0.0311625 0.000214547 -0.0489417
0.0009 0.0311625 0.0311625 0.000214547 -0.0489417
0.001 0.0343602 0.0343602 0.000240161 -0.0539628
0.001 0.0343602 0.0343602 0.000240161 -0.0539628
0.0011 0.0376371 0.0376371 0.000265919 -0.0591082
0.0011 0.0376371 0.0376371 0.000265919 -0.0591082
0.0012 0.0409973 0.0409973 0.00029176 -0.0643844
0.0012 0.0409973 0.0409973 0.00029176 -0.0643844
0.0013 0.0444364 0.0444364 0.000317624 -0.0697845
0.0013 0.0444364 0.0444364 0.000317624 -0.0697845
0.0014 0.0479416 0.0479416 0.000343464 -0.0752882
0.0014 0.0479416 0.0479416 0.000343464 -0.0752882
0.0015 0.0515011 0.0515011 0.000369241 -0.0808773
0.0015 0.0515011 0.0515011 0.000369241 -0.0808773
0.0016 0.055107 0.055107 0.000394917 -0.0865391
0.0016 0.055107 0.055107 0.000394917 -0.0865391
0.0017 0.0587439 0.0587439 0.000420459 -0.0922496
0.0017 0.0587439 0.0587439 0.000420459 -0.0922496
0.0018 0.0624057 0.0624057 0.000445833 -0.0979991
0.0018 0.0624057 0.0624057 0.000445833 -0.0979991
0.0019 0.0660929 0.0660929 0.000471006 -0.103789
0.0019 0.0660929 0.0660929 0.000471006 -0.103789
0.002 0.0697961 0.069796 0.000495941 -0.109604
0.002 0.0697961 0.069796 0.000495941 -0.109604
0.0021 0.0735022 0.0735022 0.000520599 -0.115423
0.0021 0.0735022 0.0735022 0.000520599 -0.115423
0.0022 0.0772148 0.0772148 0.000544934 -0.121252
0.0022 0.0772148 0.0772148 0.000544934 -0.121252
0.0023 0.0809216 0.0809215 0.000568893 -0.127073
0.0023 0.0809216 0.0809215 0.000568893 -0.127073
0.0024 0.0846234 0.0846234 0.000592409 -0.132885
0.0024 0.0846234 0.0846234 0.000592409 -0.132885
0.0025 0.0883193 0.0883193 0.000615403 -0.138689
0.0025 0.0883193 0.0883193 0.000615403 -0.138689
0.0026 0.0920032 0.0920032 0.000637786 -0.144473
0.0026 0.0920032 0.0920032 0.000637786 -0.144473
0.0027 0.0956747 0.0956748 0.000659461 -0.150238
0.0027 0.0956747 0.0956748 0.000659461 -0.150238
0.0028 0.0993303 0.0993302 0.000680327 -0.155978
0.0028 0.0993303 0.0993302 0.000680327 -0.155978
0.0029 0.102969 0.102969 0.000700287 -0.161693
0.0029 0.102969 0.102969 0.000700287 -0.161693
0.003 0.10659 0.10659 0.000719249 -0.167377
0.003 0.10659 0.10659 0.000719249 -0.167377
0.0031 0.101537 0.101537 0.000714956 -0.159433
0.0031 0.101537 0.101537 0.000714956 -0.159433
0.0032 0.100593 0.100593 0.00070916 -0.15795
0.0032 0.100593 0.100593 0.00070916 -0.15795
0.0033 0.101727 0.101727 0.000701936 -0.15973
0.0033 0.101727 0.101727 0.000701936 -0.15973
0.0034 0.103446 0.103446 0.000693093 -0.162432
0.0034 0.103446 0.103446 0.000693093 -0.162432
0.0035 0.10491 0.10491 0.000682528 -0.164731
0.0035 0.10491 0.10491 0.000682528 -0.164731
0.0036 0.105914 0.105914 0.000670322 -0.16631
0.0036 0.105914 0.105914 0.000670322 -0.16631
0.0037 0.106552 0.106552 0.000656632 -0.167312
0.0037 0.106552 0.106552 0.000656632 -0.167312
0.0038 0.106978 0.106978 0.000641625 -0.16798
0.0038 0.106978 0.106978 0.000641625 -0.16798
0.0039 0.107312 0.107312 0.00062545 -0.168506
0.0039 0.107312 0.107312 0.00062545 -0.168506
0.004 0.107562 0.107562 0.000608265 -0.168899
0.004 0.107562 0.107562 0.000608265 -0.168899
0.0041 0.107705 0.107705 0.000590223 -0.169124
0.0041 0.107705 0.107705 0.000590223 -0.169124
0.0042 0.107772 0.107772 0.000571477 -0.16923
0.0042 0.107772 0.107772 0.000571477 -0.16923
0.0043 0.107763 0.107763 0.000552175 -0.169217
0.0043 0.107763 0.107763 0.000552175 -0.169217
0.0044 0.107648 0.107648 0.00053245 -0.169037
0.0044 0.107648 0.107648 0.00053245 -0.169037
0.0045 0.107473 0.107473 0.000512433 -0.168763
