# Time Dx Dy Dz magD
0.0004 0 1.85697e-08 -1.38814e-07 1.4005e-07
0.0004 0 1.85697e-08 -1.38814e-07 1.4005e-07
0.0008 0 1.0606e-07 -8.8066e-07 8.87024e-07
0.0008 0 1.0606e-07 -8.8066e-07 8.87024e-07
0.0012 0 3.58705e-07 -2.95265e-06 2.97436e-06
0.0012 0 3.58705e-07 -2.95265e-06 2.97436e-06
0.0016 0 9.34728e-07 -7.00406e-06 7.06616e-06
0.0016 0 9.34728e-07 -7.00406e-06 7.06616e-06
0.002 0 2.06526e-06 -1.32689e-05 1.34286e-05
0.002 0 2.06526e-06 -1.32689e-05 1.34286e-05
0.0024 0 4.05301e-06 -2.14601e-05 2.18395e-05
0.0024 0 4.05301e-06 -2.14601e-05 2.18395e-05
0.0028 0 7.25e-06 -3.08854e-05 3.17249e-05
0.0028 0 7.25e-06 -3.08854e-05 3.17249e-05
0.0032 0 1.19847e-05 -4.05063e-05 4.22421e-05
0.0032 0 1.19847e-05 -4.05063e-05 4.22421e-05
0.0036 0 1.84764e-05 -4.89315e-05 5.23037e-05
0.0036 0 1.84764e-05 -4.89315e-05 5.23037e-05
0.004 0 2.67449e-05 -5.46096e-05 6.08071e-05
0.004 0 2.67449e-05 -5.46096e-05 6.08071e-05
0.0044 0 3.65353e-05 -5.62534e-05 6.70766e-05
0.0044 0 3.65353e-05 -5.62534e-05 6.70766e-05
0.0048 0 4.72854e-05 -5.3228e-05 7.11978e-05
0.0048 0 4.72854e-05 -5.3228e-05 7.11978e-05
0.0052 0 5.81495e-05 -4.56796e-05 7.39458e-05
0.0052 0 5.81495e-05 -4.56796e-05 7.39458e-05
0.0056 0 6.809e-05 -3.44146e-05 7.62929e-05
0.0056 0 6.809e-05 -3.44146e-05 7.62929e-05
0.006 0 7.6023e-05 -2.06645e-05 7.87815e-05
0.006 0 7.6023e-05 -2.06645e-05 7.87815e-05
0.0064 0 8.099e-05 -5.84826e-06 8.12009e-05
0.0064 0 8.099e-05 -5.84826e-06 8.12009e-05
0.0068 0 8.23291e-05 8.62256e-06 8.27794e-05
0.0068 0 8.23291e-05 8.62256e-06 8.27794e-05
0.0072 0 7.98246e-05 2.151e-05 8.26719e-05
0.0072 0 7.98246e-05 2.151e-05 8.26719e-05
0.0076 0 7.36667e-05 3.18892e-05 8.02726e-05
0.0076 0 7.36667e-05 3.18892e-05 8.02726e-05
0.008 0 6.44034e-05 3.91706e-05 7.53799e-05
0.008 0 6.44034e-05 3.91706e-05 7.53799e-05
0.0084 0 5.29366e-05 4.31396e-05 6.82884e-05
0.0084 0 5.29366e-05 4.31396e-05 6.82884e-05
0.0088 0 4.03188e-05 4.39246e-05 5.96236e-05
0.0088 0 4.03188e-05 4.39246e-05 5.96236e-05
0.0092 0 2.76039e-05 4.19195e-05 5.01918e-05
0.0092 0 2.76039e-05 4.19195e-05 5.01918e-05
0.0096 0 1.57073e-05 3.76884e-05 4.08305e-05
0.0096 0 1.57073e-05 3.76884e-05 4.08305e-05
0.01 0 5.30298e-06 3.18665e-05 3.23047e-05
0.01 0 5.30298e-06 3.18665e-05 3.23047e-05
0.0104 0 -3.23425e-06 2.50743e-05 2.5282e-05
0.0104 0 -3.23425e-06 2.50743e-05 2.5282e-05
0.0108 0 -9.82906e-06 1.78569e-05 2.03833e-05
0.0108 0 -9.82906e-06 1.78569e-05 2.03833e-05
0.0112 0 -1.46771e-05 1.06477e-05 1.81326e-05
0.0112 0 -1.46771e-05 1.06477e-05 1.81326e-05
0.0116 0 -1.81659e-05 3.7593e-06 1.85508e-05
0.0116 0 -1.81659e-05 3.7593e-06 1.85508e-05
0.012 0 -2.07763e-05 -2.60579e-06 2.09391e-05
0.012 0 -2.07763e-05 -2.60579e-06 2.09391e-05
0.0124 0 -2.29722e-05 -8.32423e-06 2.44339e-05
0.0124 0 -2.29722e-05 -8.32423e-06 2.44339e-05
0.0128 0 -2.51223e-05 -1.33106e-05 2.84307e-05
0.0128 0 -2.51223e-05 -1.33106e-05 2.84307e-05
0.0132 0 -2.74772e-05 -1.74837e-05 3.2568e-05
0.0132 0 -2.74772e-05 -1.74837e-05 3.2568e-05
