# Time forceX forceY forceZ normalForce
0 0 0 0 0
1 -6.30247 -553.154 -2.64561e-14 -553.387
2 -1.74811 -987.472 -7.62299e-15 -987.599
3 -2.73943 -1440.58 7.90167e-14 -1440.59
4 -4.77992 -1980.35 2.65279e-14 -1980.25
5 -14.0396 -2595.03 1.26456e-15 -2594.97
6 -13.9662 -3275.31 -3.55715e-15 -3274.72
7 -13.2776 -4064.71 1.60806e-13 -4069.62
8 -59.5653 -5023.07 -5.29848e-15 -5050.94
9 -97.4581 -6048.12 3.65464e-14 -6093.7
10 -76.8625 -6950.51 1.06205e-13 -6993.48
11 -128.998 -8182.75 1.1657e-13 -8243.71
12 -1.11835 -8575.99 1.15838e-13 -8556.89
13 3.40341 -10171.2 -1.45149e-14 -10155.7
14 -138.576 -11908.8 2.45884e-14 -11967.6
15 -110.815 -13722.5 1.19968e-13 -13784.9
16 -122.704 -15678.7 3.10969e-13 -15739.6
17 -104.507 -17381.7 -2.42032e-13 -17445.9
18 -107.279 -19580.8 -1.23221e-13 -19627.9
19 63.164 -20399.3 2.76177e-13 -20354.7
20 70.8387 -21956.4 -2.8653e-13 -21870.8
21 -111.526 -27394 -5.30749e-13 -27464.6
22 51.9993 -27652.7 -1.65047e-13 -27576.1
23 -115.302 -33498.6 -2.72125e-13 -33564.3
24 -67.2212 -36328.4 1.45784e-14 -36329.7
25 -11.712 -40437.6 1.18266e-12 -40437.8
26 -73.7263 -45362 6.97506e-13 -45363.5
27 -20.2002 -50590 1.39839e-13 -50590.2
28 -77.8595 -56841 -5.33937e-14 -56842.8
29 -33.7922 -63613.9 -6.46352e-13 -63614.3
30 -84.2147 -71630.9 2.5717e-12 -71633.4
