# Time Dx Dy Dz magD
1 0 -0.00332302 -2.49167e-19 0.00332302
2 0 -0.00664941 -2.51082e-19 0.00664941
3 0 -0.00999734 -1.27598e-19 0.00999734
4 0 -0.0133311 -1.54939e-19 0.0133311
5 0 -0.0166836 -9.23969e-20 0.0166836
6 0 -0.0200004 -1.4677e-19 0.0200004
7 0 -0.0233297 -1.42473e-19 0.0233297
8 0 -0.0266564 -9.82411e-20 0.0266564
9 0 -0.0299865 4.98216e-20 0.0299865
10 0 -0.0333151 2.153e-20 0.0333151
11 0 -0.0366504 5.35457e-20 0.0366504
12 0 -0.0399859 4.68152e-19 0.0399859
13 0 -0.0433308 4.74334e-19 0.0433308
14 0 -0.0466391 1.98495e-19 0.0466391
15 0 -0.0499864 -5.74798e-21 0.0499864
16 0 -0.0533332 6.91337e-19 0.0533332
17 0 -0.0566514 2.73631e-19 0.0566514
18 0 -0.0600042 -7.48203e-20 0.0600042
19 0 -0.0633311 -4.09948e-21 0.0633311
20 0 -0.0666485 -1.00495e-18 0.0666485
21 0 -0.0699811 -5.69984e-19 0.0699811
22 0 -0.0733089 2.77533e-19 0.0733089
23 0 -0.0766267 -1.47832e-19 0.0766267
24 0 -0.0799726 1.46146e-19 0.0799726
25 0 -0.083304 9.97916e-19 0.083304
26 0 -0.0866352 7.07867e-19 0.0866352
27 0 -0.0899662 -2.57467e-20 0.0899662
28 0 -0.093297 2.41513e-18 0.093297
29 0 -0.0966277 1.64593e-18 0.0966277
30 0 -0.099958 1.15604e-18 0.099958
